motion_name,SG ASL Defend Alt 2026-3-23
pose_name,SG ASL Defend Alt 2026-3-23 P3
export_date,2026-3-23
current_frame,64
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.8577,0.2936,0.0137,0.4219
forearmfk_L,0.6256,-0.0476,-0.0402,0.7777
handfk_L,0.9933,0.0246,0.0817,0.078
bicepfk_R,0.7509,0.382,-0.1755,-0.5093
forearmfk_R,0.4758,-0.0533,0.0293,-0.8774
handfk_R,0.9743,-0.1127,-0.0825,0.177
thighfk_L,0.9996,-0.0114,-0.0261,0.0006
shinfk_L,0.9996,0.0271,0.0084,0.0041
footfk_L,0.0288,-0.0267,0.9991,0.0179
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0109,0.0224,0.0002
shinfk_R,0.9996,0.0271,-0.0092,-0.0042
footfk_R,0.029,-0.0263,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7742,0.3277,0.4849,0.2411
thumbfk_02_L,0.9687,0.2321,-0.0731,-0.0497
thumbfk_03_L,0.9413,0.3142,0.0602,0.1078
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.0286
pinkyfk_01_L,0.6841,0.7277,-0.0486,0.0137
pinkyfk_02_L,0.6667,0.7454,0.0001,-0.0004
pinkyfk_03_L,0.7699,0.6341,0.0539,0.0465
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9945,-0.0,0.0743,-0.0743
indexfk_01_L,0.7363,0.6767,0.0025,0.0023
indexfk_02_L,0.7049,0.7092,0.0001,-0.0124
indexfk_03_L,0.796,0.6036,0.0248,0.0373
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0073,-0.0073
middlefk_01_L,0.7451,0.6669,0.0071,-0.0034
middlefk_02_L,0.6622,0.7491,-0.0175,0.0099
middlefk_03_L,0.7594,0.6503,-0.0212,-0.0075
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0238,0.0159
ringfk_01_L,0.7008,0.7133,-0.0021,0.0097
ringfk_02_L,0.677,0.7358,0.0003,-0.0134
ringfk_03_L,0.7834,0.6152,-0.0327,0.0821
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8014,0.3,-0.4721,-0.2118
thumbfk_02_R,0.9716,0.2221,0.0627,0.0527
thumbfk_03_R,0.9457,0.3045,-0.069,-0.0905
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,-0.0,-0.0,-0.0287
pinkyfk_01_R,0.6823,0.7293,0.0501,-0.0054
pinkyfk_02_R,0.6765,0.7364,-0.0002,0.0003
pinkyfk_03_R,0.786,0.6141,-0.0552,-0.045
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9946,-0.0,-0.0735,0.0735
indexfk_01_R,0.7417,0.6707,-0.0052,-0.0032
indexfk_02_R,0.6974,0.7166,-0.0001,0.0124
indexfk_03_R,0.7971,0.6022,-0.0247,-0.0374
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0073,0.0073
middlefk_01_R,0.7448,0.6673,-0.0034,0.0049
middlefk_02_R,0.6508,0.759,0.0177,-0.0095
middlefk_03_R,0.753,0.6576,0.021,0.0078
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0244,-0.0163
ringfk_01_R,0.6876,0.7259,0.0133,-0.0073
ringfk_02_R,0.7249,0.6887,0.0003,0.0135
ringfk_03_R,0.7785,0.6215,0.0333,-0.0818
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9842,0.0225,0.1492,-0.0925
collar_L,0.9898,0.0695,-0.034,0.1199
neckfk,1.0,-0.0067,0.006,-0.0021
headfk,0.9999,-0.0124,0.0102,-0.006
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0006,-0.0014,-0.0008
chest_3,0.9998,-0.0184,-0.005,-0.0085
chest_2,1.0,0.0008,-0.002,-0.0009
chest_1,1.0,0.002,-0.0042,-0.002
hip,1.0,0.0002,-0.0019,-0.0005
