motion_name,SG ASL Defend Alt Var 2026-3-23 metarig T
pose_name,SG ASL Defend Alt Var 2026-3-23 metarig T P4
export_date,2026-3-23
current_frame,81
frame_budget,10

bone_name,w,x,y,z
spine,0.9916,-0.1291,0.0004,0.0008
spine.001,0.9979,0.0655,0.0009,0.001
spine.002,0.9968,0.0778,0.0177,0.0017
spine.003,0.9995,-0.0234,-0.0206,-0.0074
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.995,0.0997,-0.0007,-0.0014
spine.006,0.995,0.0999,-0.0012,-0.0024
face,1.0,0.0,-0.0,-0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,-0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,0.0,-0.0,-0.0
chin.001,1.0,0.0,0.0,0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,0.0,-0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,-0.0,-0.0,0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,-0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.L,1.0,0.0,-0.0,-0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,0.0,0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,0.0,0.0,-0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,0.0,-0.0,-0.0
brow.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,-0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,-0.0,0.0,-0.0
lid.T.R.002,1.0,0.0,-0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,-0.0
lid.B.R,1.0,-0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,-0.0
forehead.L,1.0,0.0,-0.0,0.0
forehead.L.001,1.0,-0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,0.0,-0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,0.0,0.0,-0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,0.0,0.0,-0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,0.0,-0.0,-0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,-0.0,0.0,0.0
cheek.B.R,1.0,0.0,-0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,-0.0,-0.0,0.0
brow.T.R.001,1.0,0.0,0.0,0.0
brow.T.R.002,1.0,0.0,-0.0,0.0
brow.T.R.003,1.0,0.0,-0.0,-0.0
eye.L,1.0,-0.0,-0.0,-0.0
eye.R,1.0,-0.0,-0.0,-0.0
cheek.T.L,1.0,-0.0,0.0,-0.0
cheek.T.L.001,1.0,-0.0,-0.0,-0.0
nose.L,1.0,0.0,-0.0,0.0
nose.L.001,1.0,-0.0,0.0,0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,-0.0,-0.0,0.0
nose.R,1.0,0.0,-0.0,-0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,-0.0,0.0,-0.0
teeth.B,1.0,-0.0,0.0,-0.0
tongue,1.0,-0.0,-0.0,-0.0
tongue.001,1.0,0.0,0.0,-0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.4119,0.5455,0.6633,0.3045
forearm.L,0.6341,-0.155,0.0877,0.7525
hand.L,0.9499,-0.1145,-0.2681,-0.1131
palm.01.L,0.9039,-0.1683,-0.3932,0.0076
f_index.01.L,0.9861,-0.1598,-0.0326,0.0313
f_index.02.L,0.9971,-0.072,0.0248,-0.0004
f_index.03.L,0.9927,-0.1157,0.0077,0.033
thumb.01.L,0.9132,-0.0667,0.1046,0.3882
thumb.02.L,0.9965,0.0355,-0.0117,0.075
thumb.03.L,0.9655,0.2344,-0.1121,0.0177
palm.02.L,0.922,-0.0869,-0.377,-0.0159
f_middle.01.L,0.9166,0.3895,-0.0151,0.0884
f_middle.02.L,0.9567,0.2883,0.0401,-0.0045
f_middle.03.L,0.9612,0.2745,0.0261,0.0123
palm.03.L,0.9201,-0.0326,-0.3901,-0.0163
f_ring.01.L,0.9161,0.3947,0.0016,0.0702
f_ring.02.L,0.8291,0.5583,0.0277,-0.0093
f_ring.03.L,0.9003,0.4268,0.0608,0.0592
palm.04.L,0.9247,0.0244,-0.3736,-0.0687
f_pinky.01.L,0.9407,0.2701,0.1453,0.1448
f_pinky.02.L,0.848,0.5299,0.0069,-0.0044
f_pinky.03.L,0.8554,0.5134,0.0272,0.0627
shoulder.R,1.0,-0.0,-0.0,0.0
upper_arm.R,0.3769,0.5856,-0.6402,-0.3242
forearm.R,0.5685,-0.1458,-0.0961,-0.8039
hand.R,0.8595,-0.1598,0.4619,0.1492
palm.01.R,0.9378,-0.1797,0.2929,-0.0493
f_index.01.R,0.9914,-0.1251,0.0386,-0.0006
f_index.02.R,0.9993,-0.028,-0.0249,0.0008
f_index.03.R,0.9948,-0.0962,-0.0084,-0.0329
thumb.01.R,0.8867,-0.0125,-0.1378,-0.4411
thumb.02.R,0.9974,0.0322,0.0036,-0.0649
thumb.03.R,0.9594,0.2547,0.1186,-0.026
palm.02.R,0.9545,-0.1096,0.2764,-0.0217
f_middle.01.R,0.9025,0.4194,0.0317,-0.0922
f_middle.02.R,0.9478,0.3162,-0.0399,0.0056
f_middle.03.R,0.9382,0.345,-0.0269,-0.0104
palm.03.R,0.9529,-0.0662,0.295,-0.0253
f_ring.01.R,0.9033,0.4214,-0.0114,-0.0793
f_ring.02.R,0.862,0.5061,-0.0275,0.0075
f_ring.03.R,0.8638,0.4972,-0.0565,-0.0596
palm.04.R,0.9581,-0.0415,0.2831,-0.0084
f_pinky.01.R,0.9277,0.3317,-0.1195,-0.123
f_pinky.02.R,0.7313,0.6819,-0.0134,0.0092
f_pinky.03.R,0.7494,0.6592,-0.0116,-0.0614
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,0.0,0.0,-0.0
thigh.L,0.0019,-0.0018,-0.9838,-0.1794
shin.L,0.9953,-0.0899,-0.0366,0.0034
foot.L,0.458,0.8882,0.0368,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,0.0
thigh.R,0.0017,-0.0034,0.9838,0.1794
shin.R,0.9952,-0.0901,0.037,-0.0033
foot.R,0.4568,0.8888,-0.0372,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,0.0,-0.0
