motion_name,SG ASL Defer 2026-3-24 metarig A
pose_name,SG ASL Defer 2026-3-24 metarig A P1
export_date,2026-3-24
current_frame,32
frame_budget,32

bone_name,w,x,y,z
spine,0.992,-0.1261,0.0006,-0.0003
spine.001,0.998,0.0632,0.0044,-0.0071
spine.002,0.9968,0.077,0.0193,-0.0019
spine.003,0.9995,-0.0244,-0.0189,-0.0109
spine.004,0.9799,-0.1996,0.0009,-0.0026
spine.005,0.9953,0.0954,-0.015,0.0077
spine.006,0.9952,0.0924,-0.0237,0.02
face,1.0,0.0,0.0,0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,-0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,-0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,0.0,-0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,-0.0,-0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,0.0,-0.0,0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,0.0,0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,-0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,0.0,-0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,0.0
lip.B.R,1.0,-0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,-0.0,0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,-0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,-0.0,0.0
brow.B.R.002,1.0,0.0,0.0,0.0
brow.B.R.003,1.0,0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,-0.0
lid.T.R.003,1.0,0.0,0.0,-0.0
lid.B.R,1.0,0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,0.0,0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,-0.0,0.0
temple.L,1.0,0.0,-0.0,0.0
jaw.L,1.0,0.0,-0.0,-0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,-0.0
brow.T.L.002,1.0,0.0,-0.0,-0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,-0.0,-0.0
forehead.R.002,1.0,0.0,0.0,-0.0
temple.R,1.0,-0.0,-0.0,0.0
jaw.R,1.0,0.0,0.0,-0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,0.0
cheek.B.R.001,1.0,-0.0,-0.0,0.0
brow.T.R,1.0,0.0,0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,-0.0,-0.0
eye.L,1.0,-0.0,-0.0,0.0
eye.R,1.0,-0.0,-0.0,0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,0.0,-0.0,0.0
nose.L.001,1.0,-0.0,0.0,0.0
cheek.T.R,1.0,-0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,-0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,0.0,-0.0
teeth.T,1.0,0.0,0.0,0.0
teeth.B,1.0,0.0,0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,-0.0,-0.0,-0.0
shoulder.L,1.0,0.0,0.0,0.0
upper_arm.L,0.4292,0.6505,0.6229,0.0686
forearm.L,0.7768,-0.1703,0.0565,0.6037
hand.L,0.9243,-0.2632,-0.2757,0.0196
palm.01.L,0.9336,-0.0593,-0.3533,0.0079
f_index.01.L,0.91,0.4022,-0.0347,0.0947
f_index.02.L,0.8784,0.4773,0.0142,-0.0184
f_index.03.L,0.9644,0.2615,0.0345,0.0186
thumb.01.L,0.9283,-0.0633,0.1946,0.3105
thumb.02.L,0.9899,0.132,-0.0277,0.0433
thumb.03.L,0.9587,0.271,-0.0579,0.0641
palm.02.L,0.9269,0.0021,-0.373,0.0411
f_middle.01.L,0.993,-0.0139,0.0555,-0.1031
f_middle.02.L,0.9964,-0.0801,0.0203,0.0188
f_middle.03.L,0.9985,-0.0477,0.0203,0.0199
palm.03.L,0.933,0.0622,-0.3537,0.0232
f_ring.01.L,0.9731,-0.2181,0.0294,0.0677
f_ring.02.L,0.9983,-0.0515,0.0258,0.0055
f_ring.03.L,0.9874,-0.1484,0.0415,0.0363
palm.04.L,0.935,0.0987,-0.3405,0.0085
f_pinky.01.L,0.8831,-0.4659,0.0554,0.0047
f_pinky.02.L,0.9999,-0.012,0.0108,0.0061
f_pinky.03.L,0.9962,-0.0673,0.0267,0.048
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.4566,0.5202,-0.7204,0.0438
forearm.R,0.5677,-0.0862,-0.0956,-0.8131
hand.R,0.6961,-0.0069,0.7159,0.0532
palm.01.R,0.9764,-0.1675,0.0751,0.1142
f_index.01.R,0.9286,0.3603,0.0416,-0.0785
f_index.02.R,0.8659,0.4997,-0.0144,0.0187
f_index.03.R,0.961,0.2738,-0.0349,-0.0185
thumb.01.R,0.9398,-0.1059,-0.1366,-0.2948
thumb.02.R,0.9871,0.149,0.039,-0.0429
thumb.03.R,0.9667,0.2494,0.0383,-0.0431
palm.02.R,0.983,-0.1247,0.1027,0.0877
f_middle.01.R,0.9955,-0.0389,-0.0709,0.0495
f_middle.02.R,0.9966,-0.0771,-0.0204,-0.0187
f_middle.03.R,0.9985,-0.0476,-0.0203,-0.0199
palm.03.R,0.9844,-0.1035,0.1008,0.1002
f_ring.01.R,0.9698,-0.2298,-0.0296,-0.0769
f_ring.02.R,0.9989,-0.038,-0.0262,-0.0053
f_ring.03.R,0.9876,-0.1469,-0.0416,-0.0363
palm.04.R,0.9786,-0.0987,0.119,0.1356
f_pinky.01.R,0.8847,-0.4626,-0.0578,-0.0033
f_pinky.02.R,0.9998,-0.0178,-0.0106,-0.0061
f_pinky.03.R,0.996,-0.0707,-0.0268,-0.048
breast.L,1.0,0.0,0.0,0.0
breast.R,1.0,0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0025,-0.0027,-0.9843,-0.1766
shin.L,0.9953,-0.0898,-0.0368,0.0032
foot.L,0.4571,0.8886,0.0369,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,0.0
thigh.R,0.0011,-0.0025,0.9843,0.1767
shin.R,0.9953,-0.0898,0.0367,-0.0032
foot.R,0.4571,0.8886,-0.0371,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
