motion_name,SG ASL Defer Other 2026-3-24
pose_name,SG ASL Defer Other 2026-3-24 P2
export_date,2026-3-24
current_frame,59
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.7623,0.5218,-0.023,0.3824
forearmfk_L,0.8228,-0.0345,-0.0529,0.5648
handfk_L,0.9795,-0.1803,0.0667,-0.0604
bicepfk_R,0.8577,0.4902,-0.1517,0.0324
forearmfk_R,0.4143,-0.0582,0.0255,-0.9079
handfk_R,0.9407,0.0752,0.3121,0.1101
thighfk_L,0.9997,-0.0109,-0.0205,-0.0002
shinfk_L,0.9996,0.0271,0.007,0.0041
footfk_L,0.0282,-0.0279,0.999,0.0192
toefk_L,1.0,-0.001,0.0055,0.0001
thighfk_R,0.9995,-0.0117,0.028,-0.0006
shinfk_R,0.9996,0.0271,-0.0092,-0.0041
footfk_R,0.0292,-0.0255,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8387,0.1912,0.5095,0.0207
thumbfk_02_L,1.0,-0.0005,0.0005,0.0001
thumbfk_03_L,1.0,0.0004,-0.0004,0.0002
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.029
pinkyfk_01_L,0.6753,0.7353,-0.0567,0.0087
pinkyfk_02_L,0.6766,0.7364,0.0002,-0.0003
pinkyfk_03_L,0.7872,0.6126,0.0552,0.045
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9929,-0.0,0.0838,-0.0838
indexfk_01_L,0.6688,0.7434,0.0023,0.0013
indexfk_02_L,0.7117,0.7024,-0.0001,-0.0123
indexfk_03_L,0.8058,0.5905,0.0251,0.037
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0084,-0.0084
middlefk_01_L,0.6664,0.7456,0.0004,-0.0003
middlefk_02_L,0.7468,0.6648,-0.0183,0.0082
middlefk_03_L,0.7702,0.6374,-0.0212,-0.0072
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0242,0.0161
ringfk_01_L,0.6922,0.7215,-0.0102,0.0093
ringfk_02_L,0.7072,0.7069,-0.0,-0.0135
ringfk_03_L,0.782,0.617,-0.033,0.0819
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8398,0.19,-0.508,-0.0219
thumbfk_02_R,1.0,-0.001,-0.0011,0.0001
thumbfk_03_R,1.0,-0.0004,-0.0004,0.0002
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0291
pinkyfk_01_R,0.6746,0.7359,0.0581,-0.0085
pinkyfk_02_R,0.6756,0.7372,-0.0002,0.0003
pinkyfk_03_R,0.7873,0.6125,-0.0551,-0.0449
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9929,0.0,-0.0838,0.0838
indexfk_01_R,0.6688,0.7434,-0.0009,-0.0006
indexfk_02_R,0.7156,0.6984,0.0002,0.0123
indexfk_03_R,0.8047,0.592,-0.025,-0.037
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0084,0.0084
middlefk_01_R,0.6665,0.7455,-0.0004,0.0005
middlefk_02_R,0.7459,0.6657,0.0183,-0.0082
middlefk_03_R,0.7585,0.6513,0.0211,0.0076
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0243,-0.0162
ringfk_01_R,0.6891,0.7245,0.0107,-0.0101
ringfk_02_R,0.7093,0.7048,0.0,0.0134
ringfk_03_R,0.7822,0.6167,0.033,-0.0818
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9943,0.0684,0.0793,-0.0215
collar_L,0.9926,0.099,-0.0265,0.0651
neckfk,1.0,0.0035,0.0001,-0.0005
headfk,1.0,0.0065,-0.0001,-0.0012
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.0002,-0.0004
chest_3,0.9998,-0.0192,-0.0029,-0.0078
chest_2,1.0,-0.0,0.0002,-0.0007
chest_1,1.0,0.0001,0.0006,-0.0016
hip,1.0,-0.0,0.0038,0.0005
