motion_name,SG ASL Defiant 2026-3-25
pose_name,SG ASL Defiant 2026-3-25 P3
export_date,2026-3-25
current_frame,66
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.7953,0.5878,0.0169,0.1474
forearmfk_L,0.6405,-0.0477,-0.0451,0.7652
handfk_L,0.8488,0.5252,-0.0613,0.0015
bicepfk_R,0.7862,0.4443,0.2952,-0.3121
forearmfk_R,0.6971,-0.046,0.0441,-0.7142
handfk_R,0.7901,-0.1671,-0.5897,0.0073
thighfk_L,0.9997,-0.0127,-0.0196,0.0007
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.0289,-0.0262,0.9991,0.0189
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0136,0.0289,0.0004
shinfk_R,0.9996,0.0268,-0.009,-0.0041
footfk_R,0.0289,-0.0262,-0.9991,-0.0186
toefk_R,1.0,-0.0001,-0.0003,-0.0
thumbfk_01_L,0.7652,0.4303,0.4329,0.2044
thumbfk_02_L,0.9874,0.1219,-0.046,-0.0901
thumbfk_03_L,0.9916,0.1101,-0.0377,-0.0564
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0193
pinkyfk_01_L,0.8484,0.5136,-0.1193,0.0461
pinkyfk_02_L,0.7028,0.7108,0.0005,-0.028
pinkyfk_03_L,0.6514,0.751,-0.0663,0.0853
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,-0.0,0.0034,-0.0034
indexfk_01_L,0.9994,0.0335,0.0015,-0.0091
indexfk_02_L,0.9981,0.0617,0.0002,-0.0
indexfk_03_L,0.9994,0.0337,0.0002,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0068,-0.0068
middlefk_01_L,0.7791,0.6232,-0.0615,-0.0287
middlefk_02_L,0.7306,0.6826,-0.0167,0.0075
middlefk_03_L,0.7438,0.667,-0.0258,-0.0337
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0174,0.0116
ringfk_01_L,0.8353,0.5454,-0.0682,-0.0134
ringfk_02_L,0.7101,0.704,0.0,-0.0122
ringfk_03_L,0.7848,0.6154,-0.0315,0.0662
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6925,0.4313,-0.4884,-0.3097
thumbfk_02_R,0.9651,0.2444,0.0812,0.0486
thumbfk_03_R,0.9064,0.3906,-0.0308,-0.1578
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9994,0.0,0.0,-0.0334
pinkyfk_01_R,0.5781,0.813,0.0675,-0.0159
pinkyfk_02_R,0.5986,0.801,0.0005,0.0008
pinkyfk_03_R,0.7558,0.6509,-0.0529,-0.048
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9905,-0.0,-0.0971,0.0971
indexfk_01_R,0.5637,0.8256,0.0107,-0.0217
indexfk_02_R,0.6843,0.729,-0.0005,0.0132
indexfk_03_R,0.7292,0.6827,-0.022,-0.0408
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0077,0.0077
middlefk_01_R,0.7182,0.6956,0.0104,0.013
middlefk_02_R,0.6451,0.7638,0.0179,-0.0094
middlefk_03_R,0.6263,0.7792,0.0205,0.0102
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9994,-0.0,0.0277,-0.0185
ringfk_01_R,0.6033,0.7971,0.0148,-0.0228
ringfk_02_R,0.6911,0.7226,-0.0007,0.0138
ringfk_03_R,0.6147,0.7838,0.045,-0.0756
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9783,0.0027,0.1526,-0.1404
collar_L,0.9888,0.0553,-0.0259,0.1363
neckfk,0.9999,-0.009,0.0117,-0.0045
headfk,0.9996,-0.0167,0.0197,-0.0124
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,-0.0072,-0.0022
chest_3,0.9997,-0.0187,-0.0128,-0.0106
chest_2,1.0,0.0006,-0.0098,-0.0019
chest_1,0.9997,0.0011,-0.0219,-0.0045
hip,1.0,-0.002,0.0046,-0.0005
