motion_name,SG ASL Define 2026-3-25
pose_name,SG ASL Define 2026-3-25 P4
export_date,2026-3-25
current_frame,84
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.7789,0.5864,0.1556,0.1588
forearmfk_L,0.6841,-0.0429,-0.0451,0.7267
handfk_L,0.8558,-0.5131,-0.0092,0.0643
bicepfk_R,0.7839,0.5916,-0.1757,-0.0679
forearmfk_R,0.6691,-0.0453,0.0428,-0.7405
handfk_R,0.969,0.1701,0.0261,-0.1775
thighfk_L,0.9999,-0.0122,-0.0118,-0.0006
shinfk_L,0.9996,0.0269,0.0091,0.0041
footfk_L,0.0291,-0.026,0.999,0.0202
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9992,-0.0148,0.0367,-0.0008
shinfk_R,0.9996,0.0269,-0.0086,-0.0044
footfk_R,0.0289,-0.0266,-0.9991,-0.0174
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6989,0.2473,0.596,0.3085
thumbfk_02_L,0.9654,0.2591,-0.0247,-0.0175
thumbfk_03_L,0.9661,0.2563,-0.0284,0.0109
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,-0.0,0.0,0.0049
pinkyfk_01_L,0.9758,-0.1457,0.023,-0.1615
pinkyfk_02_L,0.9998,0.0145,0.0112,-0.0101
pinkyfk_03_L,0.9994,0.0109,0.0037,0.0341
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9986,-0.0,0.0376,-0.0376
indexfk_01_L,0.9301,0.3673,-0.0001,0.0048
indexfk_02_L,0.831,0.5561,0.0017,-0.0124
indexfk_03_L,0.9257,0.3778,0.0161,-0.0074
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0022,-0.0022
middlefk_01_L,0.9664,0.2029,0.0985,-0.1229
middlefk_02_L,0.9989,0.0433,-0.0195,0.0058
middlefk_03_L,0.9999,0.0107,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0012,0.0008
ringfk_01_L,0.9992,0.0402,0.002,-0.0057
ringfk_02_L,0.9994,0.0297,0.0057,-0.0143
ringfk_03_L,1.0,-0.0046,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6825,0.2536,-0.608,-0.3167
thumbfk_02_R,0.9695,0.2448,0.0048,0.0086
thumbfk_03_R,0.9716,0.236,0.0148,0.0039
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,-0.0,-0.0,0.0046
pinkyfk_01_R,0.9765,-0.136,-0.0243,0.1655
pinkyfk_02_R,0.9997,0.017,-0.0113,0.0101
pinkyfk_03_R,0.9993,0.0141,-0.0035,-0.0341
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9974,-0.0,-0.0506,0.0506
indexfk_01_R,0.8741,0.4848,-0.0278,-0.0122
indexfk_02_R,0.8642,0.5031,-0.001,0.0125
indexfk_03_R,0.9334,0.3584,-0.0159,0.0077
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0024,0.0024
middlefk_01_R,0.9633,0.2217,-0.0957,0.1174
middlefk_02_R,0.9995,0.0259,0.0196,-0.0061
middlefk_03_R,1.0,-0.0057,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0012,-0.0008
ringfk_01_R,0.9991,0.0411,0.0013,-0.0075
ringfk_02_R,0.9999,0.0072,-0.0053,0.0144
ringfk_03_R,1.0,0.0015,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9979,0.016,0.056,-0.0278
collar_L,0.9989,0.0206,0.0043,0.0422
neckfk,1.0,-0.0025,-0.0041,0.0012
headfk,1.0,-0.0045,-0.0069,0.0038
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0012,0.0006,-0.0005
chest_3,0.9998,-0.0177,-0.0023,-0.0081
chest_2,1.0,0.0016,0.0007,-0.0006
chest_1,1.0,0.0036,0.0016,-0.0018
hip,0.9999,-0.0024,0.0124,0.0009
