motion_name,SG ASL Define Alt 2026-3-25
pose_name,SG ASL Define Alt 2026-3-25 P4
export_date,2026-3-25
current_frame,103
frame_budget,37

bone_name,w,x,y,z
bicepfk_L,0.7972,0.5525,0.1718,0.1724
forearmfk_L,0.5279,-0.0534,-0.0289,0.8471
handfk_L,0.9846,-0.1465,0.0365,-0.0877
bicepfk_R,0.8034,0.5354,-0.2057,-0.1597
forearmfk_R,0.5335,-0.0486,0.0361,-0.8436
handfk_R,0.9906,-0.1249,-0.0262,0.049
thighfk_L,0.9997,-0.0122,-0.0233,-0.001
shinfk_L,0.9996,0.0272,0.0095,0.004
footfk_L,0.0289,-0.0265,0.999,0.0197
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0125,0.0252,-0.0013
shinfk_R,0.9996,0.0271,-0.0083,-0.0044
footfk_R,0.0289,-0.0262,-0.9991,-0.018
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6971,0.2477,0.5988,0.3067
thumbfk_02_L,0.9655,0.2587,-0.0269,-0.0113
thumbfk_03_L,0.9661,0.2561,-0.0315,0.0128
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,-0.0,0.0,0.0048
pinkyfk_01_L,0.975,-0.1425,0.0268,-0.1684
pinkyfk_02_L,0.9997,0.0192,0.0112,-0.0101
pinkyfk_03_L,0.9992,0.0228,0.0032,0.0341
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9985,-0.0,0.0385,-0.0385
indexfk_01_L,0.9268,0.3754,0.0005,0.0058
indexfk_02_L,0.8368,0.5473,0.0018,-0.0123
indexfk_03_L,0.9291,0.3693,0.016,-0.0075
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0019,-0.0019
middlefk_01_L,0.9723,0.1772,0.0978,-0.117
middlefk_02_L,0.9991,0.0371,-0.0195,0.0059
middlefk_03_L,1.0,0.0087,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.001,0.0007
ringfk_01_L,0.9994,0.0345,0.0026,-0.006
ringfk_02_L,0.9996,0.0234,0.0055,-0.0143
ringfk_03_L,1.0,0.0071,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6836,0.2584,-0.6033,-0.3193
thumbfk_02_R,0.9688,0.2477,0.0114,0.0031
thumbfk_03_R,0.973,0.2306,0.0118,0.0076
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,-0.0,-0.0,0.0048
pinkyfk_01_R,0.9753,-0.1429,-0.0265,0.1666
pinkyfk_02_R,0.9997,0.0174,-0.0112,0.0101
pinkyfk_03_R,0.9993,0.0172,-0.0034,-0.0341
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9985,-0.0,-0.039,0.039
indexfk_01_R,0.9249,0.3803,-0.001,-0.0063
indexfk_02_R,0.8411,0.5408,-0.0016,0.0123
indexfk_03_R,0.9306,0.3655,-0.016,0.0075
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.002,0.002
middlefk_01_R,0.9708,0.1838,-0.0994,0.1179
middlefk_02_R,0.9993,0.0315,0.0194,-0.006
middlefk_03_R,1.0,0.0054,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0009,-0.0006
ringfk_01_R,0.9995,0.0302,-0.002,0.0047
ringfk_02_R,0.9995,0.0262,-0.0055,0.0143
ringfk_03_R,1.0,0.0032,-0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.996,0.0596,0.0522,0.0418
collar_L,0.9982,0.0593,0.0054,0.0031
neckfk,1.0,-0.0038,0.0032,-0.0001
headfk,1.0,-0.0076,0.0061,-0.001
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,-0.001,-0.0001
chest_3,0.9998,-0.0189,-0.0045,-0.0077
chest_2,1.0,0.0001,-0.0014,0.0
chest_1,1.0,0.0008,-0.0033,0.0001
hip,1.0,-0.0011,0.001,0.0012
