motion_name,SG ASL Definite Ext 2026-3-26
pose_name,SG ASL Definite Ext 2026-3-26 P1
export_date,2026-3-26
current_frame,43
frame_budget,43

bone_name,w,x,y,z
bicepfk_L,0.7228,0.5775,0.3211,0.2025
forearmfk_L,0.8796,-0.0317,-0.0543,0.4715
handfk_L,0.9384,0.2011,0.2512,-0.1261
bicepfk_R,0.8302,0.4062,0.154,-0.3494
forearmfk_R,0.2197,-0.0613,0.0146,-0.9735
handfk_R,0.893,-0.1015,0.3583,0.2528
thighfk_L,0.9996,-0.0118,-0.026,0.0002
shinfk_L,0.9996,0.027,0.009,0.0041
footfk_L,0.0291,-0.0261,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0114,0.0225,-0.0001
shinfk_R,0.9996,0.027,-0.0083,-0.0043
footfk_R,0.0287,-0.0269,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9944,0.0677,-0.0546,-0.0594
thumbfk_02_L,0.9946,0.0494,-0.0486,-0.077
thumbfk_03_L,0.9943,0.0587,-0.0548,-0.0696
thumbfk_04_L,0.9943,0.0725,-0.0354,-0.0691
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.002
pinkyfk_01_L,0.9967,0.0545,0.0571,-0.0186
pinkyfk_02_L,0.9997,0.018,0.0111,-0.0104
pinkyfk_03_L,0.9993,0.0174,0.0028,0.0342
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9998,0.0,0.0148,-0.0148
indexfk_01_L,0.9568,0.1249,0.261,-0.0293
indexfk_02_L,0.9997,-0.0197,0.0123,-0.0024
indexfk_03_L,0.9944,-0.1045,0.0108,0.0091
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0012,-0.0012
middlefk_01_L,0.9904,0.1136,0.0769,-0.0194
middlefk_02_L,0.9996,0.0204,-0.0193,0.0059
middlefk_03_L,0.9955,-0.0874,-0.0002,-0.0375
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0034,0.0023
ringfk_01_L,0.9917,0.112,0.0582,-0.0233
ringfk_02_L,0.9995,0.0289,0.0055,-0.0143
ringfk_03_L,0.9933,-0.1118,-0.0002,0.0285
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8097,0.4111,-0.3922,-0.147
thumbfk_02_R,0.9896,0.1041,0.0311,0.0943
thumbfk_03_R,0.9913,0.1071,0.0316,0.0697
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0201
pinkyfk_01_R,0.8365,0.5319,0.1177,-0.0592
pinkyfk_02_R,0.6959,0.7175,-0.0004,0.0297
pinkyfk_03_R,0.6343,0.764,0.0735,-0.0925
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9999,-0.0143,-0.0032,-0.0034
indexfk_02_R,1.0,0.0,0.0,0.0
indexfk_03_R,1.0,0.0024,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0067,0.0067
middlefk_01_R,0.78,0.6219,0.0654,0.0219
middlefk_02_R,0.7257,0.6877,0.018,-0.008
middlefk_03_R,0.7065,0.7062,0.0264,0.0382
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0181,-0.0121
ringfk_01_R,0.8226,0.5652,0.0619,0.0057
ringfk_02_R,0.6891,0.7245,-0.0001,0.013
ringfk_03_R,0.7667,0.6369,0.0359,-0.0717
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9945,0.0348,0.0926,0.0339
collar_L,0.9988,0.041,0.02,-0.02
neckfk,0.9988,0.0262,0.0044,0.0409
headfk,0.9959,0.052,0.0232,0.0697
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.001,-0.0014,-0.0029
chest_3,0.9997,-0.0206,-0.0049,-0.0114
chest_2,1.0,-0.0012,-0.0022,-0.0039
chest_1,0.9999,-0.003,-0.0049,-0.0087
hip,1.0,-0.0003,-0.0017,-0.0001
