motion_name,SG ASL Deformity 2026-3-29
pose_name,SG ASL Deformity 2026-3-29 P1
export_date,2026-3-29
current_frame,34
frame_budget,34

bone_name,w,x,y,z
bicepfk_L,0.7377,0.5681,0.3253,0.1652
forearmfk_L,0.8674,-0.0301,-0.0528,0.4938
handfk_L,0.9032,0.2711,0.3233,-0.0784
bicepfk_R,0.8493,0.2495,0.1773,-0.4301
forearmfk_R,0.4639,-0.0579,0.0312,-0.8834
handfk_R,0.8993,-0.3978,0.0431,0.1765
thighfk_L,0.9994,-0.0143,-0.0314,-0.0001
shinfk_L,0.9996,0.0271,0.0089,0.0043
footfk_L,0.0291,-0.0262,0.9991,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0128,0.0171,-0.0003
shinfk_R,0.9996,0.027,-0.0081,-0.0041
footfk_R,0.0286,-0.0269,-0.999,-0.0191
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6965,0.258,-0.5968,-0.3037
thumbfk_02_R,0.9948,0.1,0.0119,0.0135
thumbfk_03_R,0.9996,0.0183,0.0166,-0.0113
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0027
pinkyfk_01_R,0.9803,0.0901,0.0772,0.1579
pinkyfk_02_R,0.989,0.1363,0.0505,0.0254
pinkyfk_03_R,0.9881,0.1536,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.002,0.002
indexfk_01_R,0.9996,0.02,0.0209,-0.0022
indexfk_02_R,0.9749,0.2225,-0.002,-0.0119
indexfk_03_R,0.9859,0.1674,0.0,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0007,0.0007
middlefk_01_R,0.9956,0.0728,0.0578,0.0087
middlefk_02_R,0.9762,0.2108,0.0506,0.0061
middlefk_03_R,0.9932,0.115,0.0061,0.0173
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0035,-0.0024
ringfk_01_R,0.9793,0.128,0.0798,0.1347
ringfk_02_R,0.9862,0.1597,0.0418,0.0098
ringfk_03_R,0.9903,0.1389,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9938,0.0872,0.0642,-0.0261
collar_L,0.9979,0.0645,0.0097,0.0018
neckfk,1.0,-0.0002,-0.0029,-0.003
headfk,1.0,-0.0006,-0.0065,-0.0043
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0006,0.0006,0.0014
chest_3,0.9998,-0.02,-0.0025,-0.0055
chest_2,1.0,-0.0008,0.001,0.0017
chest_1,1.0,-0.0015,0.0021,0.0045
hip,1.0,-0.0025,-0.0071,0.0001
