motion_name,SG ASL Defrost 2026-3-30
pose_name,SG ASL Defrost 2026-3-30 P3
export_date,2026-3-30
current_frame,51
frame_budget,24

bone_name,w,x,y,z
bicepfk_L,0.8285,0.5229,0.0327,0.1977
forearmfk_L,0.6189,-0.0471,-0.0401,0.783
handfk_L,0.9114,-0.0431,-0.4047,0.0602
bicepfk_R,0.7528,0.5911,-0.0975,-0.2726
forearmfk_R,0.6745,-0.0446,0.0441,-0.7356
handfk_R,0.8057,-0.0053,0.5736,-0.1476
thighfk_L,0.9996,-0.0113,-0.0243,0.0002
shinfk_L,0.9996,0.027,0.0086,0.0042
footfk_L,0.0288,-0.0265,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0113,0.0243,-0.0002
shinfk_R,0.9996,0.0269,-0.009,-0.0042
footfk_R,0.0285,-0.0272,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.5605,0.3854,0.6911,0.2443
thumbfk_02_L,0.9996,0.0116,-0.0217,0.0112
thumbfk_03_L,0.9996,0.0137,-0.019,0.0163
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0139
pinkyfk_01_L,0.9138,0.3809,-0.0723,0.1207
pinkyfk_02_L,0.9666,0.2562,0.0001,0.0006
pinkyfk_03_L,0.9596,0.2814,0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9964,-0.0,0.0601,-0.0601
indexfk_01_L,0.8235,0.5654,-0.0088,0.0455
indexfk_02_L,0.9549,0.2926,0.0503,-0.0069
indexfk_03_L,0.9931,0.1171,-0.0001,-0.0003
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0056,-0.0056
middlefk_01_L,0.8449,0.5272,-0.0168,0.0884
middlefk_02_L,0.9099,0.4149,-0.0,0.0
middlefk_03_L,0.9761,0.2172,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0151,0.0101
ringfk_01_L,0.8739,0.4775,-0.0894,0.0158
ringfk_02_L,0.9429,0.333,-0.0,0.0001
ringfk_03_L,0.9594,0.2821,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.5687,0.3845,-0.6855,-0.2424
thumbfk_02_R,0.9996,0.0127,0.0233,-0.0112
thumbfk_03_R,0.9993,0.0202,0.0257,-0.0186
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0138
pinkyfk_01_R,0.9154,0.377,0.0755,-0.1189
pinkyfk_02_R,0.9675,0.2528,-0.0001,-0.0006
pinkyfk_03_R,0.9613,0.2753,-0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9964,0.0,-0.0596,0.0596
indexfk_01_R,0.8263,0.5612,0.0077,-0.0467
indexfk_02_R,0.9511,0.3046,-0.0504,0.007
indexfk_03_R,0.993,0.1181,0.0001,0.0003
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0056,0.0056
middlefk_01_R,0.8425,0.5314,0.0189,-0.0866
middlefk_02_R,0.905,0.4253,-0.0,-0.0
middlefk_03_R,0.9742,0.2258,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.015,-0.01
ringfk_01_R,0.876,0.4738,0.0885,-0.0151
ringfk_02_R,0.9442,0.3294,0.0,-0.0001
ringfk_03_R,0.9584,0.2856,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9963,0.0441,0.0731,-0.012
collar_L,0.9961,0.0653,-0.042,0.0429
neckfk,1.0,-0.006,-0.0009,0.001
headfk,0.9999,-0.011,-0.0012,0.0024
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0014,-0.0014,0.0004
chest_3,0.9998,-0.0173,-0.0051,-0.0069
chest_2,1.0,0.0019,-0.0018,0.0009
chest_1,1.0,0.0051,-0.0038,0.0014
hip,1.0,0.0,0.0,0.0
