motion_name,SG ASL Defunct Alt 2026-3-31
pose_name,SG ASL Defunct Alt 2026-3-31 P5
export_date,2026-3-31
current_frame,108
frame_budget,28

bone_name,w,x,y,z
bicepfk_L,0.8473,0.4942,-0.1615,0.1084
forearmfk_L,0.6719,-0.043,-0.0446,0.7381
handfk_L,0.8394,-0.2175,0.4978,-0.0177
bicepfk_R,0.8791,0.4655,0.1009,0.019
forearmfk_R,0.6425,-0.0421,0.0441,-0.7639
handfk_R,0.959,-0.1871,-0.2126,0.0096
thighfk_L,0.9998,-0.009,-0.0175,-0.0006
shinfk_L,0.9996,0.0268,0.009,0.0042
footfk_L,0.029,-0.0262,0.9991,0.0191
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0105,0.031,-0.001
shinfk_R,0.9996,0.0269,-0.0082,-0.0042
footfk_R,0.0287,-0.0269,-0.9991,-0.0172
toefk_R,1.0,0.0002,-0.0007,-0.0
thumbfk_01_L,0.9838,0.0636,0.1676,-0.0089
thumbfk_02_L,0.9974,0.0501,-0.0524,0.001
thumbfk_03_L,0.9997,-0.0178,0.0161,-0.011
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0002
pinkyfk_01_L,0.9986,-0.0051,-0.0102,-0.0512
pinkyfk_02_L,1.0,-0.0052,0.0,0.0001
pinkyfk_03_L,0.9995,0.0308,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9974,-0.0633,-0.0005,0.0344
indexfk_02_L,0.9999,-0.0143,-0.0,0.0
indexfk_03_L,1.0,0.0032,0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9999,-0.0158,-0.0003,0.0061
middlefk_02_L,0.9989,-0.0463,0.0,0.0
middlefk_03_L,0.9996,-0.0293,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9994,-0.0087,-0.0056,-0.0337
ringfk_02_L,0.9999,0.0144,-0.0,0.0
ringfk_03_L,0.9999,0.0141,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9857,0.0465,-0.1601,0.0253
thumbfk_02_R,0.9971,0.053,0.055,0.0027
thumbfk_03_R,0.9996,-0.0186,-0.0168,0.0114
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0002
pinkyfk_01_R,0.9989,-0.0061,0.0132,0.0451
pinkyfk_02_R,1.0,-0.0061,-0.0,-0.0001
pinkyfk_03_R,0.9996,0.0296,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9973,-0.0646,0.0008,-0.0345
indexfk_02_R,0.9998,-0.0208,0.0,-0.0
indexfk_03_R,1.0,0.0015,-0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9999,-0.0038,0.0007,-0.0163
middlefk_02_R,0.9991,-0.0415,-0.0,-0.0
middlefk_03_R,0.9995,-0.0317,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,-0.0
ringfk_01_R,0.9994,0.0008,0.0074,0.0345
ringfk_02_R,0.9997,0.0233,-0.0,-0.0
ringfk_03_R,1.0,0.0032,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9947,-0.0363,0.0956,-0.0119
collar_L,0.9986,-0.052,0.0107,0.0019
neckfk,1.0,0.0019,-0.0032,0.0019
headfk,1.0,0.0035,-0.005,0.0046
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0016,0.0016,-0.0
chest_3,0.9998,-0.0171,-0.001,-0.0075
chest_2,1.0,0.0022,0.0021,-0.0002
chest_1,1.0,0.0049,0.0049,-0.0005
hip,1.0,0.0017,0.0068,0.0009
