motion_name,SG ASL Defy 2 2026-3-31
pose_name,SG ASL Defy 2 2026-3-31 P2
export_date,2026-3-31
current_frame,54
frame_budget,24

bone_name,w,x,y,z
bicepfk_L,0.6817,0.6325,0.3203,0.1805
forearmfk_L,0.8816,-0.0279,-0.0562,0.4677
handfk_L,0.9074,0.2159,0.3454,-0.1037
bicepfk_R,0.8288,0.5242,0.1923,-0.0359
forearmfk_R,0.6176,-0.0419,0.0481,-0.7839
handfk_R,0.7887,-0.1475,-0.5866,-0.1099
thighfk_L,0.9998,-0.0121,-0.017,0.0015
shinfk_L,0.9996,0.0268,0.0076,0.0043
footfk_L,0.0284,-0.0272,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0135,0.0315,0.0012
shinfk_R,0.9996,0.0266,-0.0092,-0.0041
footfk_R,0.0289,-0.0264,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7423,0.4756,-0.4292,-0.1963
thumbfk_02_R,0.988,0.1175,0.0463,0.0885
thumbfk_03_R,0.988,0.1359,0.0504,0.0529
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0232
pinkyfk_01_R,0.7862,0.6013,0.1409,-0.0231
pinkyfk_02_R,0.6823,0.7304,-0.0014,0.0309
pinkyfk_03_R,0.5986,0.7922,0.0744,-0.0926
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9963,0.0,-0.0611,0.0611
indexfk_01_R,0.8186,0.5738,0.0057,0.0247
indexfk_02_R,0.6577,0.7533,-0.0,0.0
indexfk_03_R,0.8616,0.5076,0.0003,-0.0005
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0078,0.0078
middlefk_01_R,0.7111,0.699,0.0702,0.028
middlefk_02_R,0.7487,0.6626,0.0183,-0.0082
middlefk_03_R,0.7034,0.7092,0.0268,0.0389
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0206,-0.0138
ringfk_01_R,0.7722,0.632,0.0654,-0.0023
ringfk_02_R,0.6955,0.7184,-0.0005,0.0138
ringfk_03_R,0.7003,0.7093,0.0395,-0.0701
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9855,-0.0497,0.1438,-0.0753
collar_L,0.9987,-0.0117,-0.0079,0.0485
neckfk,0.9999,-0.0062,-0.012,0.0096
headfk,0.9995,-0.0115,-0.0179,0.0222
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0026,0.0025,-0.0063
chest_3,0.9997,-0.0159,0.0003,-0.0158
chest_2,1.0,0.0037,0.0024,-0.0086
chest_1,0.9998,0.0076,0.0057,-0.0196
hip,1.0,-0.0016,0.0071,-0.0014
