motion_name,SG ASL Degrade Alt 2026-4-1
pose_name,SG ASL Degrade Alt 2026-4-1 P2
export_date,2026-4-1
current_frame,39
frame_budget,16

bone_name,w,x,y,z
bicepfk_L,0.8139,0.538,0.0659,0.2092
forearmfk_L,0.7002,-0.0394,-0.0405,0.7117
handfk_L,0.8626,0.0871,0.4482,-0.2179
bicepfk_R,0.829,0.5188,-0.1037,-0.1813
forearmfk_R,0.6788,-0.0409,0.0406,-0.7321
handfk_R,0.8689,-0.0102,-0.4129,0.2729
thighfk_L,0.9994,-0.0155,-0.0299,0.0001
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.0287,-0.0268,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0144,0.0185,-0.0001
shinfk_R,0.9996,0.0272,-0.0092,-0.004
footfk_R,0.0288,-0.0263,-0.9991,-0.0195
toefk_R,1.0,-0.0004,0.0003,0.0
thumbfk_01_L,0.8133,0.4016,0.4031,0.1219
thumbfk_02_L,0.9805,0.1784,-0.0316,-0.0761
thumbfk_03_L,0.9821,0.1705,-0.0147,-0.0781
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0221
pinkyfk_01_L,0.8051,0.5781,-0.1187,0.0595
pinkyfk_02_L,0.6984,0.7151,0.0001,-0.0299
pinkyfk_03_L,0.636,0.7625,-0.0737,0.0936
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,-0.0,0.0027,-0.0027
indexfk_01_L,0.9874,0.0356,0.1371,0.0701
indexfk_02_L,1.0,0.0008,0.0,-0.0
indexfk_03_L,1.0,-0.0031,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0007,-0.0007
middlefk_01_L,0.9969,0.0687,0.005,0.0388
middlefk_02_L,0.9999,-0.0117,-0.0001,-0.0
middlefk_03_L,1.0,-0.0031,0.0,-0.0001
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0178,0.0119
ringfk_01_L,0.8289,0.5566,-0.0556,0.0075
ringfk_02_L,0.6979,0.7161,0.0001,-0.0135
ringfk_03_L,0.7462,0.6608,-0.0383,0.071
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8097,0.405,-0.4106,-0.1081
thumbfk_02_R,0.9792,0.1824,0.0345,0.0817
thumbfk_03_R,0.9798,0.1867,0.0299,0.0647
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0222
pinkyfk_01_R,0.8023,0.5819,0.1156,-0.0654
pinkyfk_02_R,0.6882,0.7249,-0.0002,0.03
pinkyfk_03_R,0.6274,0.7695,0.0748,-0.0931
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0031,0.0031
indexfk_01_R,0.987,0.0406,-0.1355,-0.076
indexfk_02_R,1.0,-0.004,-0.0,0.0
indexfk_03_R,1.0,-0.004,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0008,0.0008
middlefk_01_R,0.9966,0.076,-0.0038,-0.0306
middlefk_02_R,0.9999,-0.0146,0.0001,0.0
middlefk_03_R,1.0,-0.0062,-0.0,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0182,-0.0121
ringfk_01_R,0.8219,0.5666,0.0577,-0.0064
ringfk_02_R,0.6688,0.7433,-0.0005,0.0136
ringfk_03_R,0.7581,0.6471,0.0371,-0.0717
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9966,0.0567,0.0532,0.0285
collar_L,0.9985,0.0515,-0.0084,0.0133
neckfk,0.9999,-0.0142,-0.0018,-0.0002
headfk,0.9996,-0.0264,-0.0032,0.0006
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0014,0.0006,0.0004
chest_3,0.9998,-0.0175,-0.0023,-0.0068
chest_2,1.0,0.0018,0.0009,0.0006
chest_1,1.0,0.0038,0.0016,0.0014
hip,1.0,-0.004,-0.0057,-0.0001
