motion_name,SG ASL Degrade Var 2026-4-1
pose_name,SG ASL Degrade Var 2026-4-1 P1
export_date,2026-4-1
current_frame,35
frame_budget,35

bone_name,w,x,y,z
bicepfk_L,0.8175,0.5522,0.0675,0.1489
forearmfk_L,0.4847,-0.0532,-0.0337,0.8724
handfk_L,0.8733,0.2909,-0.3371,-0.1978
bicepfk_R,0.8092,0.5656,-0.1047,-0.1197
forearmfk_R,0.414,-0.0571,0.026,-0.9081
handfk_R,0.7668,-0.071,-0.6375,0.0225
thighfk_L,0.9996,-0.0107,-0.025,0.0006
shinfk_L,0.9996,0.0272,0.0081,0.0042
footfk_L,0.0289,-0.0267,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0105,0.0235,0.0002
shinfk_R,0.9996,0.0271,-0.0092,-0.0042
footfk_R,0.0287,-0.0262,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0024,0.0045,-0.0001
thumbfk_02_L,0.9957,0.0698,-0.0607,-0.01
thumbfk_03_L,0.9986,-0.0361,0.0328,-0.0222
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0018
pinkyfk_01_L,0.9685,0.0768,-0.1197,-0.2045
pinkyfk_02_L,0.9861,0.1659,-0.0,-0.0001
pinkyfk_03_L,0.9785,0.2062,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.007,-0.0005,0.002
indexfk_02_L,0.9836,0.1805,-0.0,-0.0
indexfk_03_L,0.9838,0.1795,-0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0004,-0.0004
middlefk_01_L,0.9928,0.0457,-0.0794,-0.0777
middlefk_02_L,0.9901,0.1404,0.0,-0.0
middlefk_03_L,0.9776,0.2103,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.001,0.0006
ringfk_01_L,0.9773,0.0512,-0.1674,-0.119
ringfk_02_L,0.9865,0.1636,0.0,0.0
ringfk_03_L,0.9885,0.1515,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.81,0.4073,-0.4084,-0.106
thumbfk_02_R,0.9791,0.1828,0.0347,0.082
thumbfk_03_R,0.9801,0.1865,0.032,0.0607
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0227
pinkyfk_01_R,0.7945,0.5927,0.1163,-0.0624
pinkyfk_02_R,0.6873,0.7258,-0.0003,0.0301
pinkyfk_03_R,0.6339,0.7642,0.0733,-0.0933
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,0.0,-0.0141,0.0141
indexfk_01_R,0.9632,0.1527,-0.0419,-0.2171
indexfk_02_R,0.9764,0.2158,0.0,0.0
indexfk_03_R,0.9764,0.216,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0022,0.0022
middlefk_01_R,0.9763,0.2164,0.0001,-0.0003
middlefk_02_R,0.9762,0.2168,0.0,-0.0
middlefk_03_R,0.9763,0.2162,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0181,-0.0121
ringfk_01_R,0.8226,0.5655,0.0583,-0.0059
ringfk_02_R,0.6913,0.7224,-0.0001,0.0136
ringfk_03_R,0.7634,0.6409,0.0351,-0.0723
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9937,0.0274,0.1059,-0.0263
collar_L,0.9973,0.0439,-0.0019,0.0594
neckfk,0.9999,0.0007,0.0031,0.0106
headfk,0.9998,0.0015,0.0099,0.0179
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0014,-0.0021,-0.0027
chest_3,0.9997,-0.021,-0.0061,-0.0112
chest_2,1.0,-0.0016,-0.0034,-0.0035
chest_1,0.9999,-0.0038,-0.0078,-0.008
hip,1.0,0.0008,-0.0008,-0.0004
