motion_name,SG ASL Degree College 2026-4-2
pose_name,SG ASL Degree College 2026-4-2 P1
export_date,2026-4-2
current_frame,39
frame_budget,39

bone_name,w,x,y,z
bicepfk_L,0.716,0.6136,0.2443,0.2263
forearmfk_L,0.7371,-0.0377,-0.0451,0.6732
handfk_L,0.7689,-0.2396,0.5922,0.0255
bicepfk_R,0.767,0.5753,-0.2652,-0.1025
forearmfk_R,0.6483,-0.0463,0.0416,-0.7588
handfk_R,0.8119,-0.1393,-0.5602,0.087
thighfk_L,0.9996,-0.0121,-0.025,0.0001
shinfk_L,0.9996,0.0271,0.0086,0.0042
footfk_L,0.029,-0.0264,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0119,0.0235,-0.0002
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.029,-0.0262,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7093,0.3637,0.4905,0.3522
thumbfk_02_L,0.9826,0.1398,-0.0685,-0.1015
thumbfk_03_L,0.9853,0.1438,-0.0494,-0.0781
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.005
pinkyfk_01_L,0.9897,0.1431,-0.0,-0.0
pinkyfk_02_L,1.0,0.003,0.0002,-0.0003
pinkyfk_03_L,1.0,0.0025,0.0001,0.0007
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9973,-0.0,0.0516,-0.0516
indexfk_01_L,0.8697,0.4927,0.0235,-0.0197
indexfk_02_L,0.808,0.589,0.0022,-0.0108
indexfk_03_L,0.9578,0.2872,0.0043,0.0065
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0042,-0.0042
middlefk_01_L,0.9129,0.4063,-0.0098,-0.0383
middlefk_02_L,0.9927,0.1206,-0.0004,0.0002
middlefk_03_L,0.9934,0.115,-0.0001,-0.0008
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0065,0.0043
ringfk_01_L,0.9749,0.2102,0.0647,-0.0348
ringfk_02_L,0.9887,0.1491,0.0036,-0.0142
ringfk_03_L,0.9936,0.1127,0.0001,0.0006
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7093,0.3637,-0.4905,-0.3522
thumbfk_02_R,0.9826,0.1398,0.0685,0.1015
thumbfk_03_R,0.9853,0.1438,0.0494,0.0781
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.005
pinkyfk_01_R,0.9897,0.1431,0.0,0.0
pinkyfk_02_R,1.0,0.0031,-0.0002,0.0003
pinkyfk_03_R,1.0,0.0025,-0.0001,-0.0007
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9973,0.0,-0.0516,0.0516
indexfk_01_R,0.8697,0.4927,-0.0235,0.0197
indexfk_02_R,0.808,0.589,-0.0022,0.0108
indexfk_03_R,0.9578,0.2872,-0.0043,-0.0065
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0042,0.0042
middlefk_01_R,0.9129,0.4063,0.0098,0.0383
middlefk_02_R,0.9927,0.1206,0.0004,-0.0002
middlefk_03_R,0.9934,0.115,0.0001,0.0008
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0065,-0.0043
ringfk_01_R,0.9749,0.2102,-0.0647,0.0348
ringfk_02_R,0.9887,0.1491,-0.0036,0.0142
ringfk_03_R,0.9936,0.1127,-0.0001,-0.0006
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9971,0.0447,0.0615,-0.0008
collar_L,0.9965,0.0731,-0.024,0.031
neckfk,1.0,-0.0023,-0.0003,-0.0002
headfk,1.0,-0.0044,-0.0006,-0.0002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0191,-0.0032,-0.0076
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0005,-0.0001,-0.0005
hip,1.0,-0.0008,-0.0008,0.0001
