motion_name,SG ASL Degree Temp 2026-4-3
pose_name,SG ASL Degree Temp 2026-4-3 P2
export_date,2026-4-3
current_frame,58
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.7358,0.5265,-0.0875,0.4169
forearmfk_L,0.6923,-0.0447,-0.0447,0.7188
handfk_L,0.6987,-0.126,0.7034,-0.0328
bicepfk_R,0.8057,0.5473,-0.015,-0.2261
forearmfk_R,0.5447,-0.0533,0.0351,-0.8362
handfk_R,0.9458,-0.1359,-0.2941,-0.0217
thighfk_L,0.9997,-0.0119,-0.0223,0.0002
shinfk_L,0.9996,0.0271,0.0088,0.0043
footfk_L,0.029,-0.0263,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0123,0.0262,-0.0001
shinfk_R,0.9996,0.0271,-0.0091,-0.0041
footfk_R,0.029,-0.0263,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6965,0.3703,0.5149,0.3356
thumbfk_02_L,0.9864,0.159,0.0336,0.0248
thumbfk_03_L,0.9705,0.225,-0.0591,-0.0634
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0172
pinkyfk_01_L,0.8797,0.4664,-0.0923,0.0059
pinkyfk_02_L,0.7293,0.6842,0.0,-0.007
pinkyfk_03_L,0.8124,0.5831,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0016,0.0006,0.0
indexfk_02_L,0.9998,-0.0189,-0.0,0.0
indexfk_03_L,0.9999,-0.0118,0.0,-0.0004
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.006,-0.006
middlefk_01_L,0.8147,0.5594,-0.1331,-0.0759
middlefk_02_L,0.8398,0.5429,-0.0,0.0
middlefk_03_L,0.9366,0.3503,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0152,0.0101
ringfk_01_L,0.8699,0.4808,-0.1009,-0.0429
ringfk_02_L,0.6269,0.7791,0.0,0.0001
ringfk_03_L,0.87,0.4931,-0.0,-0.0001
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.5584,0.3356,-0.6993,-0.294
thumbfk_02_R,0.9969,0.0563,0.0152,0.0533
thumbfk_03_R,1.0,-0.0037,-0.0034,0.0023
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0289
pinkyfk_01_R,0.6789,0.7272,0.1013,-0.0047
pinkyfk_02_R,0.7052,0.7083,-0.0002,0.0303
pinkyfk_03_R,0.6355,0.763,0.072,-0.0931
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9973,0.0,-0.0522,0.0522
indexfk_01_R,0.8654,0.4967,0.0623,0.0199
indexfk_02_R,0.9861,0.1657,-0.0118,0.0041
indexfk_03_R,0.9888,0.1405,-0.0454,-0.0219
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0087,0.0087
middlefk_01_R,0.6422,0.7629,0.058,0.0457
middlefk_02_R,0.6448,0.7644,0.0,0.0
middlefk_03_R,0.7422,0.6686,0.0284,0.0369
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0227,-0.0151
ringfk_01_R,0.7274,0.6862,0.0016,-0.0002
ringfk_02_R,0.6999,0.7142,-0.0,-0.0001
ringfk_03_R,0.7623,0.6423,0.0343,-0.0722
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9902,0.0495,0.1224,-0.0463
collar_L,0.9953,0.0575,-0.0294,0.0716
neckfk,1.0,0.0019,0.0004,-0.0015
headfk,1.0,0.0039,0.0002,-0.0028
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0012,0.001,-0.0009
chest_3,0.9998,-0.0177,-0.0017,-0.0086
chest_2,1.0,0.0017,0.0013,-0.0013
chest_1,1.0,0.0039,0.0035,-0.003
hip,1.0,-0.0009,0.0019,-0.0001
