motion_name,SG ASL Deject Alt 2026-4-4
pose_name,SG ASL Deject Alt 2026-4-4 P2
export_date,2026-4-4
current_frame,59
frame_budget,25

bone_name,w,x,y,z
bicepfk_L,0.7351,0.5642,0.3712,-0.0591
forearmfk_L,0.6786,-0.0389,-0.0459,0.732
handfk_L,0.9185,0.3304,0.2171,-0.0005
bicepfk_R,0.6801,0.559,-0.4701,0.0636
forearmfk_R,0.6242,-0.0453,0.041,-0.7789
handfk_R,0.9317,0.0975,-0.3059,0.17
thighfk_L,0.9996,-0.0158,-0.0252,-0.0007
shinfk_L,0.9996,0.027,0.0088,0.0042
footfk_L,0.0288,-0.0265,0.999,0.0191
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0156,0.0233,-0.0008
shinfk_R,0.9996,0.0269,-0.0089,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9993,0.0035,0.0299,0.0221
thumbfk_02_L,0.9981,0.0463,-0.0393,-0.0077
thumbfk_03_L,0.998,-0.0428,0.0389,-0.0264
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0016
pinkyfk_01_L,0.9966,0.0456,-0.0686,0.0086
pinkyfk_02_L,0.9985,0.0543,0.0,-0.0006
pinkyfk_03_L,0.9998,-0.0203,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9996,0.0,0.0203,-0.0203
indexfk_01_L,0.9774,0.203,0.0293,0.0513
indexfk_02_L,0.9999,0.0147,0.0,-0.0
indexfk_03_L,0.9997,0.0243,-0.0,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0014,-0.0014
middlefk_01_L,0.9891,0.1434,0.0256,-0.0212
middlefk_02_L,1.0,0.0078,-0.0,-0.0
middlefk_03_L,1.0,-0.0012,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0043,0.0029
ringfk_01_L,0.9872,0.143,-0.0649,-0.0262
ringfk_02_L,0.9994,-0.0339,-0.0,-0.0
ringfk_03_L,0.9997,0.0254,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9993,-0.0099,-0.02,-0.0298
thumbfk_02_R,0.9987,0.0392,0.0327,0.0071
thumbfk_03_R,0.9977,-0.0456,-0.0414,0.0281
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0026
pinkyfk_01_R,0.9949,0.0728,0.0673,-0.016
pinkyfk_02_R,0.9987,0.0505,0.0,0.0005
pinkyfk_03_R,0.9992,-0.0401,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9996,0.0,-0.0202,0.0202
indexfk_01_R,0.9776,0.2018,-0.0305,-0.0522
indexfk_02_R,0.9999,0.0119,-0.0,-0.0
indexfk_03_R,0.9998,0.0195,0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0019,0.0019
middlefk_01_R,0.9816,0.1881,-0.033,0.0086
middlefk_02_R,1.0,-0.007,-0.0,-0.0
middlefk_03_R,1.0,-0.0055,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0068,-0.0045
ringfk_01_R,0.9725,0.2233,0.0623,0.0242
ringfk_02_R,0.9996,-0.0278,-0.0,0.0
ringfk_03_R,1.0,-0.0077,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9973,-0.0157,0.0676,-0.0232
collar_L,0.9989,-0.0252,-0.0151,0.036
neckfk,1.0,-0.0009,-0.0047,-0.0012
headfk,1.0,-0.0019,-0.0091,-0.0003
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0011,0.0016,0.0003
chest_3,0.9998,-0.0179,-0.001,-0.007
chest_2,1.0,0.0014,0.0022,0.0002
chest_1,1.0,0.0032,0.005,0.0006
hip,1.0,-0.0048,-0.001,0.0008
