motion_name,SG ASL Delay 2026-4-11 metarig T
pose_name,SG ASL Delay 2026-4-11 metarig T P2
export_date,2026-4-11
current_frame,57
frame_budget,23

bone_name,w,x,y,z
spine,0.9923,-0.1238,-0.0013,0.0007
spine.001,0.9978,0.0664,0.0015,-0.0086
spine.002,0.9968,0.0784,0.0182,-0.0024
spine.003,0.9995,-0.0231,-0.0201,-0.0114
spine.004,0.9801,-0.1985,0.0,-0.0028
spine.005,0.9929,0.118,-0.0087,0.01
spine.006,0.9907,0.1341,-0.0122,0.0207
face,1.0,-0.0,0.0,0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,-0.0,0.0,0.0
nose.002,1.0,0.0,0.0,-0.0
nose.003,1.0,-0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,0.0,0.0
lip.B.L,1.0,-0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,0.0,-0.0,0.0
ear.L,1.0,-0.0,-0.0,0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,-0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,0.0
brow.B.L.003,1.0,-0.0,-0.0,0.0
lid.T.L,1.0,0.0,-0.0,0.0
lid.T.L.001,1.0,-0.0,0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,-0.0
lid.B.L.002,1.0,0.0,0.0,-0.0
lid.B.L.003,1.0,-0.0,0.0,0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,0.0,0.0,0.0
lid.T.R,1.0,0.0,0.0,0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,0.0,0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,-0.0
lid.B.R,1.0,0.0,0.0,0.0
lid.B.R.001,1.0,0.0,0.0,-0.0
lid.B.R.002,1.0,0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,0.0,0.0
forehead.L,1.0,0.0,0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,0.0,0.0,0.0
jaw.L,1.0,-0.0,0.0,0.0
jaw.L.001,1.0,0.0,-0.0,-0.0
chin.L,1.0,0.0,0.0,0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,-0.0,-0.0
brow.T.L.003,1.0,0.0,-0.0,-0.0
forehead.R,1.0,-0.0,0.0,0.0
forehead.R.001,1.0,0.0,0.0,-0.0
forehead.R.002,1.0,0.0,0.0,-0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,0.0,-0.0,-0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,0.0,0.0,0.0
cheek.B.R,1.0,0.0,0.0,-0.0
cheek.B.R.001,1.0,-0.0,0.0,-0.0
brow.T.R,1.0,0.0,0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,0.0
brow.T.R.002,1.0,0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,-0.0,0.0
eye.L,1.0,0.0,-0.0,0.0
eye.R,1.0,0.0,-0.0,0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,-0.0,-0.0,-0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,-0.0,-0.0,0.0
cheek.T.R,1.0,-0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,-0.0,-0.0,-0.0
nose.R.001,1.0,-0.0,-0.0,0.0
teeth.T,1.0,-0.0,-0.0,0.0
teeth.B,1.0,-0.0,-0.0,0.0
tongue,1.0,-0.0,-0.0,0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,0.0,0.0,0.0
upper_arm.L,0.3787,0.514,0.7668,-0.0668
forearm.L,0.6633,-0.1599,0.0831,0.7263
hand.L,0.9385,-0.287,-0.1247,0.1456
palm.01.L,0.9015,0.0061,-0.4327,0.0033
f_index.01.L,0.9392,0.3305,-0.0423,0.0835
f_index.02.L,0.9426,0.333,0.0171,-0.0159
f_index.03.L,0.9616,0.2715,0.0348,0.0184
thumb.01.L,0.94,-0.093,0.2287,0.2355
thumb.02.L,0.9919,0.1073,-0.0237,0.0629
thumb.03.L,0.9783,0.1506,0.0119,0.1418
palm.02.L,0.8938,0.0731,-0.4415,0.0288
f_middle.01.L,0.9816,-0.0983,0.1488,-0.0689
f_middle.02.L,0.9971,-0.0666,0.0291,0.0234
f_middle.03.L,0.9991,-0.0218,0.0291,0.024
palm.03.L,0.9009,0.1422,-0.41,0.0079
f_ring.01.L,0.9576,-0.2775,0.0733,-0.0251
f_ring.02.L,0.999,-0.0356,0.0262,0.0052
f_ring.03.L,0.9865,-0.1541,0.0413,0.0366
palm.04.L,0.9036,0.1872,-0.3853,-0.002
f_pinky.01.L,0.8849,-0.4622,0.0571,-0.0069
f_pinky.02.L,0.9996,-0.025,0.0105,0.0061
f_pinky.03.L,0.9948,-0.085,0.0268,0.0483
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.683,0.3857,-0.6199,0.0211
forearm.R,0.6195,-0.1527,-0.0918,-0.7645
hand.R,0.5903,0.0404,0.7711,-0.2352
palm.01.R,0.9856,0.0123,0.0589,0.158
f_index.01.R,0.9695,0.2335,0.0534,-0.0521
f_index.02.R,0.9136,0.4059,-0.0176,0.0168
