motion_name,SG ASL Delay Var Other 2026-4-4
pose_name,SG ASL Delay Var Other 2026-4-4 P2
export_date,2026-4-4
current_frame,47
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.8555,0.4971,0.1371,-0.0473
forearmfk_L,0.6081,-0.0508,-0.0382,0.7913
handfk_L,0.9403,-0.1881,-0.2814,0.0352
bicepfk_R,0.7808,0.5842,-0.195,-0.1048
forearmfk_R,0.6509,-0.0469,0.0425,-0.7565
handfk_R,0.9475,-0.2713,0.1684,0.0149
thighfk_L,0.9996,-0.0108,-0.0258,0.0001
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.0289,-0.0261,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0104,0.0227,-0.0003
shinfk_R,0.9996,0.027,-0.0083,-0.0042
footfk_R,0.0288,-0.0265,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7071,0.2506,0.5663,0.3413
thumbfk_02_L,0.9733,0.2281,-0.0233,-0.01
thumbfk_03_L,0.945,0.3261,0.0229,-0.0117
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0009
pinkyfk_01_L,0.9902,-0.0178,-0.0808,-0.1126
pinkyfk_02_L,0.9995,0.0302,0.0,-0.0003
pinkyfk_03_L,0.9999,-0.0172,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9973,-0.0,0.0522,-0.0522
indexfk_01_L,0.8666,0.4987,0.0141,-0.0069
indexfk_02_L,0.815,0.5794,0.0014,-0.0091
indexfk_03_L,0.9149,0.4032,0.0036,-0.0201
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0019,-0.0019
middlefk_01_L,0.9801,0.1847,-0.0728,0.0013
middlefk_02_L,0.9799,0.1995,0.0,0.0
middlefk_03_L,0.9978,0.066,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0028,0.0018
ringfk_01_L,0.9881,0.0953,-0.1136,-0.0414
ringfk_02_L,0.9944,0.1056,0.0,0.0
ringfk_03_L,0.9994,0.0349,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6986,0.2554,-0.5738,-0.3428
thumbfk_02_R,0.9726,0.2307,0.0286,-0.0024
thumbfk_03_R,0.9445,0.3284,-0.0096,-0.0005
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0007
pinkyfk_01_R,0.9819,-0.0075,0.0775,0.1727
pinkyfk_02_R,0.9996,0.028,-0.0,0.0003
pinkyfk_03_R,1.0,-0.0003,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9973,-0.0,-0.0518,0.0518
indexfk_01_R,0.8686,0.4952,-0.0188,0.0073
indexfk_02_R,0.8125,0.583,-0.0017,0.009
indexfk_03_R,0.9143,0.4045,-0.0038,0.0199
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0014,0.0014
middlefk_01_R,0.9872,0.1414,0.0731,-0.0082
middlefk_02_R,0.9841,0.1775,-0.0,-0.0
middlefk_03_R,0.999,0.0446,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0023,-0.0016
ringfk_01_R,0.9886,0.0822,0.1154,0.0507
ringfk_02_R,0.9975,0.0703,-0.0,-0.0
ringfk_03_R,0.9992,0.0408,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9943,0.0231,0.1041,-0.0067
collar_L,0.9956,0.0677,-0.0346,0.0547
neckfk,1.0,0.0,0.0021,-0.0002
headfk,1.0,0.0001,0.0038,-0.0011
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0003,-0.001,-0.0002
chest_3,0.9998,-0.0198,-0.0047,-0.0076
chest_2,1.0,-0.0005,-0.0015,-0.0
chest_1,1.0,-0.0012,-0.0037,0.0004
hip,1.0,0.0008,-0.0015,0.0001
