motion_name,SG ASL Delete Alt 2026-4-12
pose_name,SG ASL Delete Alt 2026-4-12 P2
export_date,2026-4-12
current_frame,42
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.8424,0.5108,0.1408,0.0981
forearmfk_L,0.6769,-0.0451,-0.043,0.7334
handfk_L,0.9545,0.2098,-0.2117,-0.0004
bicepfk_R,0.8834,0.4534,0.0703,-0.0958
forearmfk_R,0.5116,-0.0489,0.0379,-0.857
handfk_R,0.9404,-0.181,0.2866,0.0263
thighfk_L,0.9998,-0.0091,-0.0174,-0.0002
shinfk_L,0.9996,0.0266,0.007,0.0042
footfk_L,0.0286,-0.0268,0.9991,0.0187
toefk_L,1.0,0.0001,0.0005,0.0
thighfk_R,0.9995,-0.0106,0.0312,-0.0006
shinfk_R,0.9996,0.0268,-0.0094,-0.0044
footfk_R,0.0301,-0.0245,-0.9991,-0.0175
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9953,-0.0235,0.0501,0.0793
thumbfk_02_L,0.9999,-0.0102,0.011,0.0028
thumbfk_03_L,0.9915,-0.0876,0.0795,-0.054
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0015
pinkyfk_01_L,0.9937,0.0454,-0.1002,-0.0223
pinkyfk_02_L,0.9994,0.0337,0.0,-0.0003
pinkyfk_03_L,0.9985,-0.0552,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0041,-0.0041
indexfk_01_L,0.9973,0.0427,-0.0305,-0.0509
indexfk_02_L,0.9999,0.013,-0.0,0.0
indexfk_03_L,1.0,0.0069,-0.0,-0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
middlefk_01_L,0.9856,0.022,0.1661,-0.0224
middlefk_02_L,0.9961,0.088,0.0,0.0
middlefk_03_L,1.0,-0.0068,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0008,0.0005
ringfk_01_L,0.9893,0.0312,-0.1372,-0.0376
ringfk_02_L,1.0,-0.0043,-0.0,-0.0
ringfk_03_L,0.9982,0.0604,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9829,0.1035,-0.1477,-0.038
thumbfk_02_R,0.9953,0.0925,0.0235,-0.0176
thumbfk_03_R,0.9958,-0.0416,-0.0803,-0.0131
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0262
pinkyfk_01_R,0.7193,0.6483,0.2192,0.1196
pinkyfk_02_R,0.6606,0.7507,-0.0,0.0077
pinkyfk_03_R,0.9008,0.4342,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9959,-0.0,-0.0637,0.0637
indexfk_01_R,0.8026,0.5943,0.0328,0.0392
indexfk_02_R,0.7828,0.6222,-0.0,0.0
indexfk_03_R,0.9213,0.3889,0.0001,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0076,0.0076
middlefk_01_R,0.7216,0.6876,0.08,0.0075
middlefk_02_R,0.7385,0.6742,0.0,0.0
middlefk_03_R,0.7376,0.6752,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0227,-0.0151
ringfk_01_R,0.724,0.6686,0.1558,0.0665
ringfk_02_R,0.7731,0.6343,-0.0,-0.0001
ringfk_03_R,0.8518,0.5238,-0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9993,0.0329,0.0168,0.0009
collar_L,0.9952,0.0878,0.0004,0.0444
neckfk,1.0,0.0006,0.0024,0.0005
headfk,1.0,0.0013,0.0047,-0.0001
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0005,-0.0002,0.0003
chest_3,0.9998,-0.0199,-0.0036,-0.007
chest_2,1.0,-0.0006,-0.0002,0.0004
chest_1,1.0,-0.0015,-0.0004,0.001
hip,1.0,0.0016,0.0069,0.0005
