motion_name,SG ASL Delete Alt Other 2026-4-12
pose_name,SG ASL Delete Alt Other 2026-4-12 P3
export_date,2026-4-12
current_frame,85
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.8542,0.4168,-0.0682,0.3033
forearmfk_L,0.6788,-0.0459,-0.0431,0.7316
handfk_L,0.8824,0.2699,-0.3844,-0.0262
bicepfk_R,0.7799,0.5756,-0.1099,-0.2197
forearmfk_R,0.5228,-0.0515,0.0336,-0.8502
handfk_R,0.7562,-0.1363,0.6248,0.1383
thighfk_L,0.9997,-0.0118,-0.0225,0.0004
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0264,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0121,0.026,0.0
shinfk_R,0.9996,0.027,-0.0092,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0025,-0.0048,0.0073
thumbfk_02_L,0.9999,-0.0082,0.008,0.0018
thumbfk_03_L,0.9939,-0.0744,0.0675,-0.0459
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0033
pinkyfk_01_L,0.991,0.0938,-0.0942,-0.0169
pinkyfk_02_L,0.9993,0.0381,0.0,-0.0004
pinkyfk_03_L,0.9979,-0.0651,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,0.0,0.01,-0.01
indexfk_01_L,0.9923,0.1017,-0.0356,-0.0608
indexfk_02_L,1.0,-0.0006,0.0,0.0
indexfk_03_L,1.0,0.0005,-0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0009,-0.0009
middlefk_01_L,0.9946,0.0889,0.0334,-0.0415
middlefk_02_L,0.9995,0.0311,0.0,0.0
middlefk_03_L,0.9992,-0.0394,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0038,0.0026
ringfk_01_L,0.9814,0.13,-0.1352,-0.0415
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9848,0.1354,-0.0877,0.0649
thumbfk_02_R,0.9663,0.2234,0.0074,0.1279
thumbfk_03_R,0.991,0.088,-0.0646,0.0774
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0261
pinkyfk_01_R,0.7233,0.6454,0.217,0.1149
pinkyfk_02_R,0.6598,0.7514,0.0,0.0077
pinkyfk_03_R,0.8958,0.4445,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.996,0.0,-0.063,0.063
indexfk_01_R,0.8067,0.5889,0.0314,0.0383
indexfk_02_R,0.7853,0.6191,0.0,-0.0
indexfk_03_R,0.9227,0.3856,0.0001,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0076,0.0076
middlefk_01_R,0.722,0.6873,0.0789,0.0068
middlefk_02_R,0.7371,0.6758,0.0,0.0
middlefk_03_R,0.7376,0.6752,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0225,-0.015
ringfk_01_R,0.727,0.6658,0.1544,0.0662
ringfk_02_R,0.7714,0.6363,0.0,-0.0001
ringfk_03_R,0.8519,0.5237,0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9966,0.0652,0.0393,-0.0319
collar_L,0.991,0.1155,0.0016,0.068
neckfk,1.0,0.0054,-0.0038,0.0018
headfk,0.9999,0.01,-0.0069,0.0056
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.002,0.0028,0.0021
chest_3,0.9997,-0.022,0.0004,-0.0044
chest_2,1.0,-0.0028,0.004,0.0024
chest_1,0.9999,-0.0066,0.0092,0.0056
hip,1.0,-0.0007,0.0017,-0.0002
