motion_name,SG ASL Delicious Alt 2h 2026-4-13 metarig T
pose_name,SG ASL Delicious Alt 2h 2026-4-13 metarig T P1
export_date,2026-4-13
current_frame,39
frame_budget,39

bone_name,w,x,y,z
spine,0.9915,-0.1299,0.0039,-0.0002
spine.001,0.9978,0.066,-0.0034,-0.0001
spine.002,0.9968,0.0781,0.016,0.0013
spine.003,0.9995,-0.0231,-0.0223,-0.0078
spine.004,0.9801,-0.1986,-0.0011,0.0002
spine.005,0.9954,0.096,0.0048,-0.0024
spine.006,0.9962,0.0867,0.0086,-0.0062
face,1.0,0.0,-0.0,-0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,-0.0,0.0,0.0
nose.002,1.0,-0.0,-0.0,0.0
nose.003,1.0,-0.0,0.0,0.0
nose.004,1.0,0.0,0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,-0.0,0.0,0.0
lip.B.L.001,1.0,0.0,-0.0,-0.0
jaw,1.0,-0.0,-0.0,-0.0
chin,1.0,0.0,0.0,0.0
chin.001,1.0,0.0,0.0,0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,0.0,-0.0,-0.0
ear.L.004,1.0,-0.0,0.0,0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,0.0
lip.B.R,1.0,-0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,0.0
lid.T.L.003,1.0,0.0,0.0,-0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,-0.0,0.0,0.0
brow.B.R.001,1.0,0.0,0.0,0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,-0.0
lid.T.R,1.0,0.0,0.0,0.0
lid.T.R.001,1.0,-0.0,-0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,-0.0
lid.B.R,1.0,0.0,0.0,0.0
lid.B.R.001,1.0,0.0,0.0,0.0
lid.B.R.002,1.0,0.0,-0.0,-0.0
lid.B.R.003,1.0,-0.0,0.0,-0.0
forehead.L,1.0,0.0,-0.0,0.0
forehead.L.001,1.0,0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,0.0,-0.0,0.0
jaw.L,1.0,0.0,-0.0,-0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,-0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,-0.0,0.0,0.0
forehead.R.001,1.0,-0.0,-0.0,-0.0
forehead.R.002,1.0,-0.0,0.0,0.0
temple.R,1.0,-0.0,0.0,-0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,-0.0,-0.0,0.0
cheek.B.R,1.0,0.0,0.0,0.0
cheek.B.R.001,1.0,-0.0,0.0,0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,-0.0
brow.T.R.002,1.0,0.0,0.0,0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,-0.0,-0.0,-0.0
eye.R,1.0,-0.0,-0.0,-0.0
cheek.T.L,1.0,-0.0,0.0,0.0
cheek.T.L.001,1.0,-0.0,0.0,0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,-0.0,0.0,0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,0.0,0.0,-0.0
teeth.B,1.0,0.0,0.0,-0.0
tongue,1.0,0.0,0.0,0.0
tongue.001,1.0,-0.0,0.0,-0.0
tongue.002,1.0,0.0,-0.0,-0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.5665,0.6326,0.4511,0.2748
forearm.L,0.2931,-0.1101,0.15,0.9378
hand.L,0.8556,-0.1458,-0.4762,-0.1414
palm.01.L,0.9455,-0.1733,-0.2744,0.0258
f_index.01.L,0.998,0.0394,-0.0378,0.0319
f_index.02.L,0.9998,0.0095,0.0148,0.0011
f_index.03.L,0.9969,-0.0709,0.0092,0.0323
thumb.01.L,0.9633,-0.0148,-0.0356,0.2658
thumb.02.L,0.9946,0.0909,0.0004,0.0505
thumb.03.L,0.973,0.2257,-0.021,0.0425
palm.02.L,0.9567,-0.1078,-0.27,0.0157
f_middle.01.L,0.9491,0.2906,-0.1096,0.0523
f_middle.02.L,0.9246,0.3789,0.0395,-0.0081
f_middle.03.L,0.954,0.2984,0.0259,0.0118
palm.03.L,0.9607,-0.0621,-0.2705,0.0051
f_ring.01.L,0.9828,-0.1499,-0.1078,-0.0
f_ring.02.L,0.9993,0.0234,0.0229,0.0186
f_ring.03.L,0.9943,-0.0915,0.0436,0.0339
palm.04.L,0.9603,-0.0354,-0.2761,-0.0199
f_pinky.01.L,0.9362,-0.348,-0.0409,-0.0282
f_pinky.02.L,0.9997,0.0203,0.0004,0.0161
f_pinky.03.L,0.9991,-0.0334,0.0209,0.0136
shoulder.R,1.0,0.0,-0.0,-0.0
upper_arm.R,0.5014,0.6826,-0.502,-0.1751
forearm.R,0.2554,-0.1035,-0.1457,-0.9502
hand.R,0.8549,-0.0635,0.4442,0.2603
palm.01.R,0.9266,-0.2485,0.2823,-0.0074
f_index.01.R,0.998,0.0394,0.0378,-0.0319
f_index.02.R,0.9998,0.0095,-0.0148,-0.0011
f_index.03.R,0.9969,-0.0709,-0.0092,-0.0323
thumb.01.R,0.9633,-0.0148,0.0356,-0.2658
thumb.02.R,0.9946,0.0909,-0.0004,-0.0505
thumb.03.R,0.973,0.2257,0.021,-0.0425
palm.02.R,0.9406,-0.1823,0.2864,0.0025
f_middle.01.R,0.9491,0.2906,0.1096,-0.0523
f_middle.02.R,0.9246,0.3789,-0.0395,0.0081
f_middle.03.R,0.954,0.2984,-0.0259,-0.0118
palm.03.R,0.9453,-0.1341,0.297,0.0117
f_ring.01.R,0.9828,-0.1499,0.1078,0.0
f_ring.02.R,0.9993,0.0234,-0.0229,-0.0186
f_ring.03.R,0.9943,-0.0914,-0.0436,-0.0339
palm.04.R,0.9432,-0.1006,0.314,0.0409
f_pinky.01.R,0.9365,-0.3475,0.0398,0.0253
f_pinky.02.R,0.9997,0.0204,-0.0004,-0.0161
f_pinky.03.R,0.9991,-0.0333,-0.0209,-0.0136
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,-0.0,0.0,-0.0
thigh.L,0.0057,-0.0018,-0.9837,-0.1797
shin.L,0.9953,-0.0899,-0.0368,0.0032
foot.L,0.458,0.8882,0.0366,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,-0.0021,-0.0035,0.9836,0.1804
shin.R,0.9953,-0.0898,0.0368,-0.0032
foot.R,0.4574,0.8885,-0.037,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,0.0,-0.0
