motion_name,SG ASL Delighted 2026-4-19
pose_name,SG ASL Delighted 2026-4-19 P1
export_date,2026-4-19
current_frame,24
frame_budget,24

bone_name,w,x,y,z
bicepfk_L,0.7585,0.5385,0.3413,0.1353
forearmfk_L,0.8398,-0.0319,-0.0527,0.5394
handfk_L,0.9015,0.2696,0.3173,-0.1181
bicepfk_R,0.7882,0.57,-0.2091,-0.1007
forearmfk_R,0.448,-0.058,0.0292,-0.8916
handfk_R,0.9275,0.3538,0.093,0.0767
thighfk_L,0.9997,-0.0113,-0.0216,-0.0001
shinfk_L,0.9996,0.027,0.0089,0.0042
footfk_L,0.0292,-0.0257,0.9991,0.0193
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0118,0.0269,-0.0004
shinfk_R,0.9996,0.0271,-0.0084,-0.0042
footfk_R,0.0287,-0.0268,-0.9991,-0.0182
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0003,-0.0,0.0002
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0003,-0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0002,-0.0001,0.0017
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,0.003,-0.0012,0.0028
thumbfk_02_R,1.0,-0.0007,-0.001,-0.0003
thumbfk_03_R,0.9923,-0.0832,-0.0756,0.0513
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0034
pinkyfk_01_R,0.988,0.102,0.0964,0.0648
pinkyfk_02_R,0.9998,0.0218,-0.0,0.0002
pinkyfk_03_R,0.9962,-0.0868,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9995,-0.0,-0.0224,0.0224
indexfk_01_R,0.9746,0.2226,-0.0131,-0.0196
indexfk_02_R,0.9917,0.1284,0.0,0.0
indexfk_03_R,0.9989,0.0478,0.0,0.0003
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0034,0.0034
middlefk_01_R,0.9407,0.3341,0.0491,-0.0316
middlefk_02_R,1.0,0.0025,-0.0,-0.0
middlefk_03_R,0.9989,-0.0475,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0062,-0.0041
ringfk_01_R,0.9731,0.205,0.1,0.0332
ringfk_02_R,0.9997,-0.023,-0.0,0.0
ringfk_03_R,0.9996,-0.0296,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9965,0.0345,0.0757,0.0101
collar_L,0.9956,0.0919,0.0129,0.0141
neckfk,1.0,0.0012,0.0025,0.0096
headfk,0.9998,0.0028,0.008,0.0165
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0002,-0.0001,-0.0014
chest_3,0.9998,-0.0195,-0.0037,-0.0091
chest_2,1.0,-0.0002,-0.0007,-0.0016
chest_1,1.0,-0.0005,-0.0015,-0.0037
hip,1.0,-0.0003,0.0026,0.0003
