motion_name,SG ASL Delirious 2026-4-20
pose_name,SG ASL Delirious 2026-4-20 P8
export_date,2026-4-20
current_frame,109
frame_budget,3

bone_name,w,x,y,z
bicepfk_L,0.8353,0.239,-0.3012,0.393
forearmfk_L,0.5289,-0.0531,-0.033,0.8464
handfk_L,0.8825,-0.1279,-0.4484,0.0611
bicepfk_R,0.8696,0.1954,0.3067,-0.3341
forearmfk_R,0.5232,-0.0557,0.0335,-0.8497
handfk_R,0.8021,-0.164,0.574,0.0184
thighfk_L,0.9993,-0.0201,-0.0302,-0.0007
shinfk_L,0.9996,0.027,0.0095,0.0042
footfk_L,0.0287,-0.0268,0.999,0.019
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0189,0.0182,-0.0006
shinfk_R,0.9996,0.0274,-0.0087,-0.0042
footfk_R,0.0287,-0.0266,-0.999,-0.0199
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9996,-0.0222,-0.0173,0.0019
thumbfk_02_L,0.997,0.0573,-0.0506,-0.0092
thumbfk_03_L,0.9991,-0.0292,0.0265,-0.018
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0018
pinkyfk_01_L,0.9863,-0.0379,-0.1204,-0.106
pinkyfk_02_L,1.0,0.0007,0.0,-0.0
pinkyfk_03_L,0.9996,-0.0298,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9976,-0.0416,0.0019,0.0546
indexfk_02_L,0.9971,0.0756,-0.0,0.0
indexfk_03_L,0.9987,0.0513,-0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0006,-0.0006
middlefk_01_L,0.9954,0.0629,-0.0706,-0.016
middlefk_02_L,0.9984,0.0558,0.0,0.0
middlefk_03_L,1.0,-0.0069,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0012,0.0008
ringfk_01_L,0.9838,0.0489,-0.156,-0.0734
ringfk_02_L,1.0,-0.002,0.0,-0.0
ringfk_03_L,0.9999,0.011,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,-0.0002,-0.0075,-0.0022
thumbfk_02_R,0.9952,0.0719,0.0659,0.0122
thumbfk_03_R,0.9999,-0.0072,-0.0065,0.0044
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0018
pinkyfk_01_R,0.9767,-0.0336,0.0962,0.1888
pinkyfk_02_R,1.0,-0.0012,-0.0,-0.0
pinkyfk_03_R,0.9999,-0.0101,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9991,0.0,-0.03,0.03
indexfk_01_R,0.954,0.2963,-0.0231,-0.0404
indexfk_02_R,0.9804,0.1969,0.0,0.0
indexfk_03_R,0.9952,0.0981,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0001,0.0001
middlefk_01_R,0.9964,0.017,0.0684,0.0462
middlefk_02_R,0.9961,0.0885,-0.0,0.0
middlefk_03_R,0.9998,0.0208,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9922,-0.0273,0.1093,0.0533
ringfk_02_R,0.9997,-0.026,-0.0,0.0
ringfk_03_R,0.9998,-0.0178,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9896,-0.0519,0.1343,0.0053
collar_L,0.9977,-0.0155,-0.0638,0.0137
neckfk,0.9996,0.0283,0.0085,0.0046
headfk,0.9985,0.0526,0.017,0.0062
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0018,0.0003,-0.0001
chest_3,0.9997,-0.0217,-0.0028,-0.0075
chest_2,1.0,-0.0024,0.0003,-0.0002
chest_1,1.0,-0.0055,0.0007,-0.0004
hip,0.9999,-0.009,-0.006,0.0007
