motion_name,SG ASL Delirious 2026-4-20 metarig A
pose_name,SG ASL Delirious 2026-4-20 metarig A P7
export_date,2026-4-20
current_frame,106
frame_budget,7

bone_name,w,x,y,z
spine,0.991,-0.1335,-0.0065,0.0017
spine.001,0.9981,0.0612,0.0027,-0.0
spine.002,0.9969,0.0761,0.0187,0.0014
spine.003,0.9995,-0.0253,-0.0195,-0.0077
spine.004,0.9798,-0.2002,0.0009,-0.0002
spine.005,0.9929,0.1189,0.0066,0.0034
spine.006,0.9907,0.1355,0.0138,0.0046
face,1.0,0.0,0.0,-0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,-0.0,-0.0,-0.0
nose.002,1.0,-0.0,0.0,-0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,-0.0,-0.0,-0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,0.0,0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,0.0,0.0,-0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,-0.0,0.0,0.0
lip.T.R,1.0,-0.0,-0.0,0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.L,1.0,-0.0,-0.0,-0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,-0.0,-0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,0.0,0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,0.0
lid.T.L.003,1.0,0.0,-0.0,-0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,0.0,-0.0,0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,0.0,-0.0
brow.B.R.003,1.0,0.0,0.0,-0.0
lid.T.R,1.0,0.0,0.0,-0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,0.0,-0.0,-0.0
lid.B.R.002,1.0,-0.0,-0.0,0.0
lid.B.R.003,1.0,-0.0,0.0,0.0
forehead.L,1.0,0.0,0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,-0.0,-0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,-0.0,0.0,0.0
jaw.L.001,1.0,0.0,0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,0.0
brow.T.L,1.0,0.0,0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,-0.0
brow.T.L.002,1.0,-0.0,0.0,-0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,-0.0
temple.R,1.0,0.0,-0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,0.0,-0.0,-0.0
cheek.B.R,1.0,-0.0,0.0,0.0
cheek.B.R.001,1.0,-0.0,0.0,0.0
brow.T.R,1.0,-0.0,0.0,0.0
brow.T.R.001,1.0,-0.0,-0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,-0.0,-0.0
eye.L,1.0,0.0,0.0,-0.0
eye.R,1.0,0.0,0.0,-0.0
cheek.T.L,1.0,-0.0,-0.0,0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,-0.0,-0.0,-0.0
cheek.T.R,1.0,-0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,-0.0,0.0,0.0
nose.R.001,1.0,-0.0,-0.0,0.0
teeth.T,1.0,0.0,0.0,0.0
teeth.B,1.0,0.0,0.0,0.0
tongue,1.0,0.0,0.0,0.0
tongue.001,1.0,-0.0,-0.0,0.0
tongue.002,1.0,0.0,-0.0,0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.7138,0.4435,0.3549,0.4097
forearm.L,0.4949,-0.1389,0.117,0.8498
hand.L,0.1087,-0.0603,-0.9811,0.1485
palm.01.L,0.9852,0.0235,0.1697,0.0032
f_index.01.L,0.9871,-0.149,-0.0305,0.0507
f_index.02.L,0.9998,-0.011,0.0148,0.0014
f_index.03.L,0.9974,-0.0632,0.0094,0.032
thumb.01.L,0.8431,-0.2005,-0.4989,-0.011
thumb.02.L,0.9944,-0.076,-0.0561,0.0475
thumb.03.L,0.9995,-0.0233,-0.006,0.0192
palm.02.L,0.9782,0.0403,0.2017,-0.0278
f_middle.01.L,0.9887,-0.115,-0.0918,0.0276
f_middle.02.L,0.9976,-0.0566,0.0392,0.0097
f_middle.03.L,0.9977,-0.0617,0.02,0.0202
palm.03.L,0.9738,0.0172,0.2234,-0.0379
f_ring.01.L,0.9686,-0.1822,-0.1682,0.0182
f_ring.02.L,0.9966,-0.0764,0.0209,0.0207
f_ring.03.L,0.9881,-0.1437,0.0417,0.0361
palm.04.L,0.9718,-0.0321,0.2219,-0.0728
f_pinky.01.L,0.9524,-0.2884,-0.0371,0.092
f_pinky.02.L,0.9994,-0.0305,-0.0004,0.0166
f_pinky.03.L,0.9923,-0.1214,0.0196,0.0153
shoulder.R,1.0,-0.0,-0.0,0.0
upper_arm.R,0.7708,0.3359,-0.2902,-0.4569
forearm.R,0.4824,-0.1392,-0.1154,-0.8571
hand.R,-0.2481,-0.0698,0.9649,-0.0497
palm.01.R,0.9255,-0.0365,-0.3712,-0.0661
f_index.01.R,0.976,0.1975,0.0194,-0.0898
