motion_name,SG ASL Deliver 2026-4-22 metarig T
pose_name,SG ASL Deliver 2026-4-22 metarig T P1
export_date,2026-4-22
current_frame,31
frame_budget,31

bone_name,w,x,y,z
spine,0.992,-0.1259,-0.0009,-0.0001
spine.001,0.9978,0.0656,-0.0012,-0.0004
spine.002,0.9968,0.0776,0.017,0.0013
spine.003,0.9995,-0.0237,-0.0212,-0.0078
spine.004,0.98,-0.199,-0.0003,0.0
spine.005,0.995,0.0994,0.0005,0.001
spine.006,0.9951,0.0993,0.002,0.0016
face,1.0,0.0,0.0,0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,-0.0,-0.0,-0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,0.0,-0.0,0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,0.0,0.0,0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,-0.0,0.0,0.0
ear.R.003,1.0,0.0,0.0,0.0
ear.R.004,1.0,0.0,-0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,-0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,0.0,-0.0
brow.B.L,1.0,-0.0,0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,-0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,0.0,0.0,0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,-0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,-0.0,-0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,0.0
forehead.L,1.0,0.0,-0.0,-0.0
forehead.L.001,1.0,-0.0,-0.0,0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,0.0,0.0,-0.0
chin.L,1.0,-0.0,0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,-0.0
cheek.B.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L,1.0,0.0,0.0,-0.0
brow.T.L.001,1.0,-0.0,0.0,-0.0
brow.T.L.002,1.0,-0.0,-0.0,-0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,0.0,-0.0,0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,-0.0,-0.0,0.0
brow.T.R.001,1.0,-0.0,0.0,-0.0
brow.T.R.002,1.0,0.0,0.0,0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,-0.0,0.0,-0.0
eye.R,1.0,-0.0,0.0,-0.0
cheek.T.L,1.0,-0.0,-0.0,0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,-0.0,0.0,0.0
cheek.T.R.001,1.0,-0.0,-0.0,0.0
nose.R,1.0,-0.0,-0.0,-0.0
nose.R.001,1.0,-0.0,-0.0,-0.0
teeth.T,1.0,0.0,-0.0,0.0
teeth.B,1.0,0.0,-0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,-0.0,0.0
tongue.002,1.0,-0.0,-0.0,0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.4986,0.4898,0.7148,-0.0248
forearm.L,0.6702,-0.158,0.0748,0.7213
hand.L,-0.5042,0.2335,-0.8311,-0.0219
palm.01.L,0.7947,-0.2918,0.4682,-0.2531
f_index.01.L,0.997,-0.0668,-0.0386,-0.0064
f_index.02.L,0.9999,-0.0043,0.0148,0.0013
f_index.03.L,0.9969,-0.0715,0.0091,0.0323
thumb.01.L,0.8661,-0.1493,-0.4766,0.0205
thumb.02.L,0.9942,-0.0353,-0.0911,0.045
thumb.03.L,0.9995,-0.0289,-0.0012,0.0157
palm.02.L,0.7883,-0.3088,0.449,-0.2857
f_middle.01.L,0.9902,-0.1074,-0.0886,-0.0086
f_middle.02.L,0.9973,-0.0617,0.0391,0.0099
f_middle.03.L,0.9984,-0.0484,0.0202,0.0199
palm.03.L,0.7804,-0.3692,0.418,-0.2827
f_ring.01.L,0.9837,-0.1651,-0.0659,0.0254
f_ring.02.L,0.9968,-0.0742,0.0209,0.0207
f_ring.03.L,0.9906,-0.1251,0.0424,0.0353
palm.04.L,0.7632,-0.4327,0.3504,-0.3278
f_pinky.01.L,0.9358,-0.303,0.036,0.1764
f_pinky.02.L,0.9998,0.0113,0.0002,0.0162
f_pinky.03.L,0.9959,-0.0873,0.0202,0.0147
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.4496,0.562,-0.6942,0.0086
forearm.R,0.6594,-0.1576,-0.0784,-0.7309
hand.R,-0.5443,0.1491,0.8255,-0.0044
palm.01.R,0.8196,-0.2205,-0.5102,0.1389
f_index.01.R,0.997,-0.0668,0.0386,0.0064
f_index.02.R,0.9999,-0.0043,-0.0148,-0.0013
f_index.03.R,0.9969,-0.0715,-0.0091,-0.0323
thumb.01.R,0.8861,-0.0164,0.4631,0.0081
thumb.02.R,0.9942,-0.0353,0.0911,-0.045
thumb.03.R,0.9995,-0.0289,0.0012,-0.0157
palm.02.R,0.8121,-0.2429,-0.5018,0.1725
f_middle.01.R,0.9902,-0.1074,0.0886,0.0086
f_middle.02.R,0.9973,-0.0617,-0.0391,-0.0099
f_middle.03.R,0.9984,-0.0482,-0.0202,-0.0199
palm.03.R,0.8042,-0.3093,-0.4783,0.1699
f_ring.01.R,0.9837,-0.1651,0.0659,-0.0254
f_ring.02.R,0.9968,-0.0742,-0.0209,-0.0207
f_ring.03.R,0.9906,-0.1251,-0.0424,-0.0353
palm.04.R,0.7913,-0.3871,-0.4214,0.2153
f_pinky.01.R,0.9358,-0.303,-0.036,-0.1763
f_pinky.02.R,0.9998,0.0114,-0.0002,-0.0162
f_pinky.03.R,0.9959,-0.0873,-0.0202,-0.0147
breast.L,1.0,-0.0,0.0,-0.0
breast.R,1.0,-0.0,0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,0.0
pelvis.R,1.0,0.0,0.0,0.0
thigh.L,0.001,-0.003,-0.9843,-0.1765
shin.L,0.9953,-0.0899,-0.0366,0.0032
foot.L,0.4573,0.8886,0.0368,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,0.0
thigh.R,0.0026,-0.0023,0.9843,0.1763
shin.R,0.9953,-0.09,0.0368,-0.0032
foot.R,0.4576,0.8884,-0.0364,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,0.0,0.0
