motion_name,SG ASL Delivery Alt 2026-4-22
pose_name,SG ASL Delivery Alt 2026-4-22 P1
export_date,2026-4-22
current_frame,31
frame_budget,31

bone_name,w,x,y,z
bicepfk_L,0.8753,0.4207,0.142,0.1916
forearmfk_L,0.6742,-0.0456,-0.0419,0.7359
handfk_L,0.6804,-0.0355,-0.7317,0.0217
bicepfk_R,0.794,0.52,-0.0997,-0.2987
forearmfk_R,0.7006,-0.0422,0.0462,-0.7108
handfk_R,0.6313,-0.0172,0.7739,0.0467
thighfk_L,0.9997,-0.0112,-0.0215,0.0003
shinfk_L,0.9996,0.0271,0.0092,0.0042
footfk_L,0.0288,-0.0265,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0117,0.027,-0.0001
shinfk_R,0.9996,0.027,-0.009,-0.0042
footfk_R,0.0291,-0.0263,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6598,0.2123,0.7068,0.1417
thumbfk_02_L,0.9999,0.013,-0.0099,-0.0023
thumbfk_03_L,0.9995,-0.0221,0.0201,-0.0136
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0033
pinkyfk_01_L,0.9954,0.0944,-0.0098,0.0095
pinkyfk_02_L,0.9996,0.0271,0.0,-0.0003
pinkyfk_03_L,0.9987,-0.0511,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0067,-0.0067
indexfk_01_L,0.9978,0.0667,-0.0011,-0.0021
indexfk_02_L,1.0,0.0036,-0.0,0.0
indexfk_03_L,0.9999,-0.0107,0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0004,-0.0004
middlefk_01_L,0.9988,0.0422,-0.0221,0.0143
middlefk_02_L,0.9997,0.0249,0.0,-0.0
middlefk_03_L,0.9999,0.0126,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0021,0.0014
ringfk_01_L,0.9962,0.0679,-0.0304,0.0452
ringfk_02_L,0.9999,-0.0126,-0.0,-0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6598,0.2123,-0.7068,-0.1417
thumbfk_02_R,0.9999,0.013,0.0099,0.0023
thumbfk_03_R,0.9995,-0.0221,-0.0201,0.0136
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0033
pinkyfk_01_R,0.9954,0.0944,0.0098,-0.0095
pinkyfk_02_R,0.9996,0.0271,-0.0,0.0003
pinkyfk_03_R,0.9987,-0.0511,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0067,0.0067
indexfk_01_R,0.9978,0.0667,0.0011,0.0021
indexfk_02_R,1.0,0.0036,0.0,-0.0
indexfk_03_R,0.9999,-0.0107,-0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0004,0.0004
middlefk_01_R,0.9988,0.0422,0.0221,-0.0143
middlefk_02_R,0.9997,0.0249,-0.0,0.0
middlefk_03_R,0.9999,0.0126,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0021,-0.0014
ringfk_01_R,0.9962,0.0679,0.0304,-0.0452
ringfk_02_R,0.9999,-0.0126,0.0,0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9958,0.0431,0.0623,-0.0509
collar_L,0.9901,0.1183,-0.0214,0.0721
neckfk,1.0,-0.0025,0.0011,-0.0002
headfk,1.0,-0.0046,0.002,-0.0009
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0001,-0.001,0.0002
chest_3,0.9998,-0.0195,-0.0047,-0.0072
chest_2,1.0,-0.0002,-0.0015,0.0004
chest_1,1.0,-0.0004,-0.0033,0.0008
hip,1.0,-0.0002,0.0027,-0.0001
