motion_name,SG ASL Demo 2026-4-26
pose_name,SG ASL Demo 2026-4-26 P3
export_date,2026-4-26
current_frame,67
frame_budget,17

bone_name,w,x,y,z
bicepfk_L,0.7866,0.5442,0.1771,0.2316
forearmfk_L,0.5507,-0.0492,-0.0333,0.8326
handfk_L,0.9465,-0.0747,0.1469,0.2774
bicepfk_R,0.8387,0.5091,-0.1845,-0.058
forearmfk_R,0.4454,-0.05,0.0303,-0.8934
handfk_R,0.8341,0.4022,0.3407,0.1629
thighfk_L,0.9997,-0.0082,-0.0218,0.0
shinfk_L,0.9996,0.0271,0.0079,0.0041
footfk_L,0.0286,-0.027,0.9991,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0087,0.0267,-0.0005
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.029,-0.0262,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9923,0.0003,0.0813,0.0939
thumbfk_02_L,0.9912,0.097,-0.089,-0.0167
thumbfk_03_L,0.9931,-0.0787,0.0715,-0.0485
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0015
pinkyfk_01_L,0.9754,-0.0272,-0.0835,-0.202
pinkyfk_02_L,1.0,-0.0078,0.0,0.0001
pinkyfk_03_L,1.0,-0.0083,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9979,-0.0314,0.0007,0.0575
indexfk_02_L,1.0,0.0005,0.0,0.0
indexfk_03_L,0.9999,0.0158,0.0,-0.0008
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0002,-0.0002
middlefk_01_L,0.9973,0.0159,-0.0714,0.0115
middlefk_02_L,0.9994,0.0342,-0.0,-0.0
middlefk_03_L,0.9997,-0.0248,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.002,0.0013
ringfk_01_L,0.9883,0.0651,-0.1371,-0.0121
ringfk_02_L,0.9999,-0.0162,0.0,-0.0
ringfk_03_L,0.9996,-0.0274,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7789,0.435,-0.3795,-0.245
thumbfk_02_R,0.9879,0.1211,0.0686,0.069
thumbfk_03_R,0.9854,0.1486,0.08,0.0199
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0215
pinkyfk_01_R,0.8149,0.5682,0.1094,-0.0323
pinkyfk_02_R,0.7046,0.7092,0.0,0.0226
pinkyfk_03_R,0.7437,0.6633,0.0491,-0.0665
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,0.0,-0.0078,0.0078
indexfk_01_R,0.9969,0.078,-0.01,-0.0094
indexfk_02_R,0.9999,0.0162,-0.0007,0.0006
indexfk_03_R,1.0,0.0079,-0.0005,-0.0003
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0069,0.0069
middlefk_01_R,0.7704,0.6364,0.0372,0.0054
middlefk_02_R,0.8116,0.584,0.0122,-0.0061
middlefk_03_R,0.774,0.6323,0.0199,0.0253
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0194,-0.0129
ringfk_01_R,0.7973,0.5978,0.08,0.0244
ringfk_02_R,0.7176,0.6964,0.0001,0.0094
ringfk_03_R,0.786,0.6157,0.0242,-0.0504
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9968,0.0739,0.03,0.0086
collar_L,0.9962,0.0782,0.0374,0.0115
neckfk,1.0,-0.0047,-0.0035,0.0025
headfk,0.9999,-0.0088,-0.0056,0.0057
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,0.0009,-0.0002
chest_3,0.9998,-0.0189,-0.0018,-0.0077
chest_2,1.0,0.0004,0.0013,-0.0004
chest_1,1.0,0.0007,0.0027,-0.0009
hip,1.0,0.0031,0.0025,0.0003
