motion_name,SG ASL Democracy 2026-4-24
pose_name,SG ASL Democracy 2026-4-24 P3
export_date,2026-4-24
current_frame,52
frame_budget,8

bone_name,w,x,y,z
bicepfk_L,0.7952,0.5725,0.1043,0.1705
forearmfk_L,0.7485,-0.0415,-0.0489,0.66
handfk_L,0.947,0.2914,-0.135,0.0133
bicepfk_R,0.7807,0.6049,-0.0999,-0.121
forearmfk_R,0.5167,-0.0526,0.0341,-0.8538
handfk_R,0.8575,0.2233,-0.4469,0.1225
thighfk_L,0.9998,-0.0101,-0.0169,-0.0004
shinfk_L,0.9996,0.027,0.009,0.0041
footfk_L,0.029,-0.026,0.9991,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0117,0.0316,-0.0008
shinfk_R,0.9996,0.027,-0.0089,-0.0042
footfk_R,0.029,-0.0263,-0.9991,-0.0176
toefk_R,1.0,0.0009,0.0033,0.0001
thumbfk_01_L,0.7112,0.3412,0.5569,0.2602
thumbfk_02_L,0.9999,-0.0091,0.0072,0.0075
thumbfk_03_L,0.9922,0.1099,0.0148,-0.0573
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0169
pinkyfk_01_L,0.8837,0.4578,-0.0957,0.0187
pinkyfk_02_L,0.9503,0.3114,-0.0,-0.0032
pinkyfk_03_L,0.9833,0.1819,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9993,-0.0,0.0271,-0.0271
indexfk_01_L,0.9618,0.2684,-0.0112,-0.0525
indexfk_02_L,0.8944,0.4472,-0.0,-0.0
indexfk_03_L,0.9729,0.2314,-0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0041,-0.0041
middlefk_01_L,0.913,0.3982,-0.0845,-0.0256
middlefk_02_L,0.8664,0.4993,-0.0,0.0
middlefk_03_L,0.97,0.243,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0136,0.0091
ringfk_01_L,0.8953,0.4332,-0.102,-0.0162
ringfk_02_L,0.8972,0.4417,0.0,0.0
ringfk_03_L,0.9941,0.1088,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6855,0.388,-0.4737,-0.3939
thumbfk_02_R,0.9827,0.1834,-0.007,-0.0241
thumbfk_03_R,0.9651,0.2459,0.0724,0.0542
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0245
pinkyfk_01_R,0.7622,0.6413,0.061,-0.0636
pinkyfk_02_R,0.8026,0.5962,0.002,0.0211
pinkyfk_03_R,0.7637,0.6413,0.001,-0.0743
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9944,-0.1043,0.0054,-0.0164
indexfk_02_R,0.9994,0.0331,-0.0126,0.0022
indexfk_03_R,1.0,-0.0036,-0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0065,0.0065
middlefk_01_R,0.7967,0.6017,0.0322,-0.0468
middlefk_02_R,0.9538,0.3003,0.0001,0.0002
middlefk_03_R,0.9695,0.245,-0.0006,0.0002
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0215,-0.0143
ringfk_01_R,0.7527,0.6534,0.0692,-0.0421
ringfk_02_R,0.7865,0.6174,0.0021,0.0152
ringfk_03_R,0.9869,0.161,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9962,0.0123,0.0715,-0.0487
collar_L,0.9923,0.0665,-0.0193,0.1031
neckfk,1.0,-0.003,-0.0041,0.0007
headfk,1.0,-0.0058,-0.007,0.0032
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0013,0.0015,-0.001
chest_3,0.9998,-0.0176,-0.0012,-0.0087
chest_2,1.0,0.0017,0.0018,-0.0015
chest_1,1.0,0.0038,0.0042,-0.0034
hip,1.0,0.0004,0.0073,0.0007
