motion_name,SG ASL Democratic 2026-4-24
pose_name,SG ASL Democratic 2026-4-24 P3
export_date,2026-4-24
current_frame,49
frame_budget,16

bone_name,w,x,y,z
bicepfk_L,0.746,0.5471,0.3583,0.1261
forearmfk_L,0.8439,-0.0325,-0.0532,0.5328
handfk_L,0.9024,0.2685,0.3197,-0.1065
bicepfk_R,0.8515,0.506,-0.0789,-0.1127
forearmfk_R,0.6507,-0.0425,0.0467,-0.7567
handfk_R,0.7529,-0.3109,-0.55,-0.1845
thighfk_L,0.9996,-0.0122,-0.0262,0.0011
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.0289,-0.0263,0.9991,0.018
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0118,0.0223,0.0008
shinfk_R,0.9996,0.0271,-0.0089,-0.0042
footfk_R,0.029,-0.0265,-0.999,-0.0194
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7089,0.3738,-0.4719,-0.3674
thumbfk_02_R,0.9867,0.1593,-0.0234,-0.0221
thumbfk_03_R,0.9697,0.2285,0.066,0.0564
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0243
pinkyfk_01_R,0.7673,0.6361,0.0586,-0.0559
pinkyfk_02_R,0.7758,0.6307,0.0006,0.0208
pinkyfk_03_R,0.7543,0.6526,0.0063,-0.0717
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0043,0.0043
indexfk_01_R,0.9971,0.0422,0.0221,-0.0599
indexfk_02_R,0.9998,0.0182,-0.0119,0.0021
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0058,0.0058
middlefk_01_R,0.8352,0.5464,0.0247,-0.0575
middlefk_02_R,0.908,0.419,0.0001,0.0002
middlefk_03_R,0.9478,0.3188,-0.0006,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.022,-0.0147
ringfk_01_R,0.7418,0.6654,0.071,-0.0448
ringfk_02_R,0.7687,0.6394,0.0009,0.0146
ringfk_03_R,0.7964,0.6017,0.0023,-0.0604
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9983,0.0503,0.0256,0.0132
collar_L,0.9959,0.0885,-0.0133,0.0091
neckfk,1.0,-0.0011,-0.0008,0.0012
headfk,1.0,-0.002,-0.0005,0.0026
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,0.0004,-0.0
chest_3,0.9998,-0.0192,-0.0027,-0.0075
chest_2,1.0,0.0001,0.0005,-0.0002
chest_1,1.0,0.0011,0.001,-0.0004
hip,1.0,-0.0007,-0.002,-0.0011
