motion_name,SG ASL Democrats 2026-4-24
pose_name,SG ASL Democrats 2026-4-24 P3
export_date,2026-4-24
current_frame,49
frame_budget,10

bone_name,w,x,y,z
bicepfk_L,0.7188,0.6031,0.3122,0.149
forearmfk_L,0.8736,-0.0271,-0.0539,0.4829
handfk_L,0.9069,0.2421,0.336,-0.0779
bicepfk_R,0.8078,0.5699,-0.1371,-0.0629
forearmfk_R,0.5094,-0.0537,0.0226,-0.8585
handfk_R,0.6759,-0.239,-0.6938,-0.0683
thighfk_L,0.9997,-0.0129,-0.0218,-0.0
shinfk_L,0.9996,0.0269,0.0092,0.0043
footfk_L,0.0286,-0.0272,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0134,0.0267,-0.0003
shinfk_R,0.9996,0.0271,-0.0085,-0.0042
footfk_R,0.0288,-0.0269,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0002,-0.0001,0.0003
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0005,-0.0004,0.0003
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7165,0.3619,-0.4915,-0.3378
thumbfk_02_R,0.9848,0.1696,-0.004,-0.038
thumbfk_03_R,0.9631,0.2533,0.0779,0.046
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0246
pinkyfk_01_R,0.7604,0.6437,0.052,-0.0686
pinkyfk_02_R,0.7545,0.6559,0.0003,0.0211
pinkyfk_03_R,0.7204,0.6897,0.0082,-0.0719
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0034,0.0034
indexfk_01_R,0.9934,0.0327,0.0173,-0.1082
indexfk_02_R,0.9998,0.0151,-0.0117,0.0021
indexfk_03_R,1.0,0.0031,0.0,-0.0003
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.006,0.006
middlefk_01_R,0.8203,0.5653,0.0052,-0.0867
middlefk_02_R,0.9124,0.4093,0.0001,0.0002
middlefk_03_R,0.9529,0.3033,-0.0006,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0229,-0.0153
ringfk_01_R,0.7209,0.6884,0.0715,-0.0356
ringfk_02_R,0.7508,0.6604,0.0005,0.0146
ringfk_03_R,0.8307,0.5535,-0.0009,-0.0601
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9977,0.0158,0.062,-0.0223
collar_L,0.9986,0.0346,-0.001,0.0404
neckfk,1.0,-0.0043,-0.0012,0.0043
headfk,0.9999,-0.0086,-0.0,0.0082
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,0.0005,-0.0004
chest_3,0.9998,-0.0187,-0.0024,-0.008
chest_2,1.0,0.0005,0.0007,-0.0007
chest_1,1.0,0.0014,0.0014,-0.0017
hip,1.0,-0.002,0.0025,0.0002
