motion_name,SG ASL Demolish 2026-4-25
pose_name,SG ASL Demolish 2026-4-25 P3
export_date,2026-4-25
current_frame,66
frame_budget,9

bone_name,w,x,y,z
bicepfk_L,0.8855,0.384,-0.21,0.1561
forearmfk_L,0.5054,-0.0517,-0.0308,0.8608
handfk_L,0.954,0.2639,-0.109,0.0911
bicepfk_R,0.8909,0.4098,-0.0477,-0.1899
forearmfk_R,0.4647,-0.0464,0.0273,-0.8838
handfk_R,0.991,0.0896,-0.0972,0.0207
thighfk_L,0.9996,-0.0177,-0.0217,-0.0003
shinfk_L,0.9996,0.027,0.0091,0.0043
footfk_L,0.029,-0.0262,0.999,0.0196
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0182,0.0267,-0.0004
shinfk_R,0.9996,0.0271,-0.0089,-0.0041
footfk_R,0.029,-0.0263,-0.9991,-0.0189
toefk_R,1.0,-0.0012,0.0001,0.0
thumbfk_01_L,0.9646,0.0436,0.1566,0.2077
thumbfk_02_L,0.9951,0.0693,-0.0702,0.0012
thumbfk_03_L,0.9931,0.0787,-0.0715,0.0485
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0047
pinkyfk_01_L,0.9889,0.1302,-0.0442,0.0558
pinkyfk_02_L,0.9648,0.2629,-0.0,-0.0027
pinkyfk_03_L,0.9821,0.1883,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9988,0.0,0.0347,-0.0347
indexfk_01_L,0.9403,0.34,0.009,-0.0113
indexfk_02_L,0.9024,0.431,-0.0,0.0
indexfk_03_L,0.9686,0.2488,-0.0001,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0022,-0.0022
middlefk_01_L,0.9744,0.2193,-0.038,-0.033
middlefk_02_L,0.9185,0.3955,0.0,-0.0
middlefk_03_L,0.9753,0.221,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0055,0.0036
ringfk_01_L,0.9817,0.1826,-0.027,-0.0477
ringfk_02_L,0.9491,0.315,-0.0,0.0
ringfk_03_L,0.9712,0.2383,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9486,0.1186,-0.2447,-0.1618
thumbfk_02_R,0.9823,0.1263,0.1369,0.0196
thumbfk_03_R,0.972,0.1582,0.1436,-0.0975
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0081
pinkyfk_01_R,0.9659,0.2222,0.0721,-0.1119
pinkyfk_02_R,0.9266,0.3759,0.0,0.0038
pinkyfk_03_R,0.9531,0.3025,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9976,0.0,-0.0486,0.0486
indexfk_01_R,0.8827,0.4676,-0.031,-0.0348
indexfk_02_R,0.9,0.436,0.0,0.0
indexfk_03_R,0.9641,0.2657,0.0001,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0054,0.0054
middlefk_01_R,0.8543,0.5162,0.0037,-0.0605
middlefk_02_R,0.8972,0.4416,0.0,0.0
middlefk_03_R,0.9275,0.3739,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,-0.0,0.011,-0.0073
ringfk_01_R,0.9325,0.3565,0.0487,-0.0319
ringfk_02_R,0.8642,0.5032,0.0,-0.0001
ringfk_03_R,0.9932,0.116,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9866,-0.0224,0.1511,-0.0565
collar_L,0.9956,0.0107,-0.0507,0.0785
neckfk,1.0,0.0036,-0.0009,0.0027
headfk,1.0,0.0067,-0.0006,0.0053
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0015,-0.0002,-0.0008
chest_3,0.9998,-0.0173,-0.0035,-0.0086
chest_2,1.0,0.002,-0.0005,-0.001
chest_1,1.0,0.0045,-0.001,-0.0025
hip,1.0,-0.0072,0.0025,0.0004
