motion_name,SG ASL Demon 1H 2026-4-25
pose_name,SG ASL Demon 1H 2026-4-25 P1
export_date,2026-4-25
current_frame,34
frame_budget,34

bone_name,w,x,y,z
bicepfk_L,0.7328,0.5707,0.3494,0.1231
forearmfk_L,0.8531,-0.0314,-0.0535,0.5181
handfk_L,0.9038,0.262,0.3243,-0.0965
bicepfk_R,0.8587,0.2488,0.2367,-0.3804
forearmfk_R,0.5764,-0.0569,0.0214,-0.8149
handfk_R,0.9673,-0.2135,0.0955,0.098
thighfk_L,0.9997,-0.0112,-0.0235,0.0002
shinfk_L,0.9996,0.027,0.0095,0.0038
footfk_L,0.029,-0.0256,0.9991,0.0189
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0114,0.025,-0.0002
shinfk_R,0.9996,0.0271,-0.008,-0.0044
footfk_R,0.0288,-0.0267,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0,-0.0001,0.0006
thumbfk_02_L,1.0,-0.0005,0.0004,0.0001
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.809,0.4086,-0.4094,-0.1048
thumbfk_02_R,0.9793,0.182,0.0346,0.0817
thumbfk_03_R,0.9801,0.1864,0.0323,0.06
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.022
pinkyfk_01_R,0.8053,0.5781,0.1173,-0.0595
pinkyfk_02_R,0.6995,0.714,-0.0002,0.0297
pinkyfk_03_R,0.6403,0.7589,0.073,-0.0935
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0012,0.0012
indexfk_01_R,0.9361,0.0279,-0.3473,-0.0482
indexfk_02_R,0.9979,0.0651,0.0,-0.0
indexfk_03_R,0.9991,0.0419,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9956,-0.0017,-0.0079,0.0929
middlefk_02_R,0.993,0.117,0.016,-0.0047
middlefk_03_R,0.9984,0.0571,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0177,-0.0118
ringfk_01_R,0.8308,0.5536,0.0573,-0.0046
ringfk_02_R,0.7076,0.7065,0.0,0.0134
ringfk_03_R,0.7734,0.6288,0.0354,-0.0724
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9918,0.027,0.1236,-0.0169
collar_L,0.9972,0.0689,-0.0174,0.022
neckfk,1.0,0.0005,-0.0019,0.0032
headfk,1.0,-0.0012,-0.0021,0.0066
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0002,-0.0001,-0.0004
chest_3,0.9998,-0.0196,-0.0033,-0.008
chest_2,1.0,-0.0002,-0.0002,-0.0005
chest_1,1.0,-0.0006,-0.0006,-0.0013
hip,1.0,0.0,0.0007,0.0
