motion_name,SG ASL Demonstrate Alt 2026-4-25
pose_name,SG ASL Demonstrate Alt 2026-4-25 P3
export_date,2026-4-25
current_frame,63
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.7803,0.5559,0.0764,0.2762
forearmfk_L,0.6938,-0.0423,-0.0415,0.7177
handfk_L,0.8101,-0.1802,0.5427,0.1295
bicepfk_R,0.8311,0.5377,-0.1163,-0.0813
forearmfk_R,0.6491,-0.0456,0.0434,-0.7581
handfk_R,0.9141,0.349,0.2042,-0.0311
thighfk_L,0.9997,-0.0118,-0.0189,0.002
shinfk_L,0.9996,0.0271,0.0091,0.0043
footfk_L,0.0288,-0.0263,0.9991,0.0179
toefk_L,1.0,0.0009,-0.0014,-0.0
thighfk_R,0.9995,-0.0128,0.0296,0.0016
shinfk_R,0.9996,0.027,-0.009,-0.0042
footfk_R,0.029,-0.0266,-0.999,-0.0189
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0041,-0.0043,0.0041
thumbfk_02_L,0.9853,0.1239,-0.1153,-0.0221
thumbfk_03_L,0.9949,-0.068,0.0618,-0.0419
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0006
pinkyfk_01_L,0.9784,-0.0159,-0.0141,-0.2054
pinkyfk_02_L,1.0,0.0028,0.0,-0.0
pinkyfk_03_L,0.9998,0.0188,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9964,-0.0458,0.0012,0.0715
indexfk_02_L,0.9999,0.011,-0.0,0.0
indexfk_03_L,0.9998,0.0184,0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9967,-0.0175,-0.0736,0.0286
middlefk_02_L,0.9998,0.0203,-0.0,0.0
middlefk_03_L,0.9998,-0.0214,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0018,0.0012
ringfk_01_L,0.9862,0.0611,-0.152,-0.0259
ringfk_02_L,0.9997,-0.026,0.0,-0.0
ringfk_03_L,0.9994,-0.0335,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7934,0.4179,-0.4157,-0.1519
thumbfk_02_R,0.9896,0.103,0.0262,0.0968
thumbfk_03_R,0.9906,0.1135,0.0313,0.0696
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0205
pinkyfk_01_R,0.8314,0.5409,0.1176,-0.0482
pinkyfk_02_R,0.7111,0.7025,-0.0,0.0288
pinkyfk_03_R,0.6574,0.7446,0.0707,-0.0918
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0022,0.0022
indexfk_01_R,0.9997,0.0221,-0.0053,0.0014
indexfk_02_R,0.9997,0.0253,-0.001,0.0009
indexfk_03_R,0.9999,0.016,-0.0008,-0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0069,0.0069
middlefk_01_R,0.7704,0.6349,0.0534,0.0233
middlefk_02_R,0.749,0.6623,0.0184,-0.0078
middlefk_03_R,0.755,0.6542,0.0276,0.0363
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0181,-0.012
ringfk_01_R,0.8236,0.5639,0.0609,0.0083
ringfk_02_R,0.7281,0.6853,0.0,0.0134
ringfk_03_R,0.7697,0.6334,0.0353,-0.0713
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9949,0.0682,0.0562,-0.0477
collar_L,0.9958,0.0729,0.0083,0.0555
neckfk,1.0,-0.0019,-0.0034,0.0023
headfk,1.0,-0.0036,-0.0048,0.005
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,0.0015,-0.0004
chest_3,0.9998,-0.0187,-0.001,-0.0078
chest_2,1.0,0.0006,0.0021,-0.0008
chest_1,1.0,0.0012,0.0042,-0.0021
hip,1.0,-0.0011,0.0053,-0.0019
