motion_name,SG ASL Demote 2026-4-25
pose_name,SG ASL Demote 2026-4-25 P2
export_date,2026-4-25
current_frame,46
frame_budget,10

bone_name,w,x,y,z
bicepfk_L,0.8212,0.533,0.0927,0.1816
forearmfk_L,0.5444,-0.052,-0.0343,0.8365
handfk_L,0.956,0.2756,-0.0933,-0.036
bicepfk_R,0.8209,0.5298,-0.1918,-0.0932
forearmfk_R,0.5079,-0.0549,0.0268,-0.8592
handfk_R,0.8585,-0.1892,-0.4765,0.0135
thighfk_L,0.9994,-0.0123,-0.0323,0.0007
shinfk_L,0.9996,0.0271,0.0092,0.0043
footfk_L,0.0291,-0.0261,0.9991,0.0178
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0106,0.0163,0.0003
shinfk_R,0.9996,0.0271,-0.0088,-0.0042
footfk_R,0.0288,-0.0266,-0.999,-0.0195
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8653,-0.0058,0.3491,0.3596
thumbfk_02_L,0.9969,0.0591,-0.0505,-0.0089
thumbfk_03_L,0.9958,-0.0616,0.0559,-0.038
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0015
pinkyfk_01_L,0.9928,0.0422,-0.1123,-0.0076
pinkyfk_02_L,0.9997,0.0235,0.0,-0.0002
pinkyfk_03_L,0.998,-0.064,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0047,-0.0047
indexfk_01_L,0.9985,0.0472,-0.0262,-0.0058
indexfk_02_L,0.996,0.0891,0.0,-0.0
indexfk_03_L,1.0,0.0093,0.0,-0.0005
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0005,-0.0005
middlefk_01_L,0.9937,0.0536,-0.0641,-0.0752
middlefk_02_L,0.9976,0.0698,0.0,-0.0
middlefk_03_L,0.9997,-0.026,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0026,0.0018
ringfk_01_L,0.9887,0.0921,-0.1072,-0.0509
ringfk_02_L,0.9997,-0.026,0.0,-0.0
ringfk_03_L,1.0,0.0033,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8179,0.3923,-0.4076,-0.1047
thumbfk_02_R,0.9794,0.1806,0.0304,0.0847
thumbfk_03_R,0.9801,0.1863,0.032,0.0604
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0215
pinkyfk_01_R,0.814,0.5653,0.1191,-0.0603
pinkyfk_02_R,0.7138,0.6997,0.0003,0.0296
pinkyfk_03_R,0.7959,0.6055,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0044,0.0044
indexfk_01_R,0.9893,0.0495,-0.0408,-0.131
indexfk_02_R,0.9439,0.3302,-0.0,0.0
indexfk_03_R,0.9956,0.0939,-0.0,0.0005
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0001,0.0001
middlefk_01_R,0.9944,0.0134,0.1046,0.0099
middlefk_02_R,0.9119,0.4104,-0.0,0.0
middlefk_03_R,0.9933,0.1157,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0175,-0.0117
ringfk_01_R,0.8343,0.5483,0.0582,-0.001
ringfk_02_R,0.7114,0.7027,0.0001,0.0135
ringfk_03_R,0.7758,0.6257,0.0347,-0.0729
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9964,0.056,0.0577,0.0267
collar_L,0.997,0.066,0.0131,0.0371
neckfk,1.0,0.0004,-0.0042,0.004
headfk,0.9999,0.001,-0.0063,0.0088
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.001,-0.0013
chest_3,0.9998,-0.0191,-0.0018,-0.0094
chest_2,1.0,0.0003,0.0011,-0.0019
chest_1,1.0,0.0007,0.0029,-0.0042
hip,1.0,-0.0001,-0.008,-0.0007
