motion_name,SG ASL Demote 2026-4-25 metarig A
pose_name,SG ASL Demote 2026-4-25 metarig A P1
export_date,2026-4-25
current_frame,36
frame_budget,36

bone_name,w,x,y,z
spine,0.9921,-0.1258,0.0,-0.0
spine.001,0.9978,0.0658,-0.0012,-0.0042
spine.002,0.9968,0.078,0.0168,-0.0006
spine.003,0.9995,-0.0233,-0.0213,-0.0098
spine.004,0.98,-0.1988,-0.0006,-0.0012
spine.005,0.9951,0.0991,-0.0022,0.0036
spine.006,0.9951,0.0989,-0.0021,0.0073
face,1.0,-0.0,0.0,0.0
nose,1.0,-0.0,-0.0,0.0
nose.001,1.0,-0.0,-0.0,-0.0
nose.002,1.0,0.0,0.0,-0.0
nose.003,1.0,-0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,-0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,-0.0,-0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,-0.0,0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,0.0,-0.0,-0.0
ear.R,1.0,-0.0,-0.0,-0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,0.0,0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,-0.0,0.0,0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,0.0,-0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,0.0,-0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,-0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,0.0,0.0,0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,-0.0
lid.B.R,1.0,0.0,0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,-0.0,-0.0,-0.0
lid.B.R.003,1.0,-0.0,0.0,0.0
forehead.L,1.0,-0.0,-0.0,0.0
forehead.L.001,1.0,-0.0,-0.0,-0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,0.0,0.0,-0.0
chin.L,1.0,0.0,0.0,0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,0.0,0.0,0.0
brow.T.L,1.0,0.0,0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,-0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,-0.0,0.0,0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,0.0,0.0,0.0
temple.R,1.0,-0.0,-0.0,0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,-0.0,-0.0,-0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,-0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,0.0,0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,0.0,-0.0,-0.0
eye.R,1.0,0.0,-0.0,-0.0
cheek.T.L,1.0,-0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,-0.0,-0.0,-0.0
nose.L.001,1.0,-0.0,0.0,0.0
cheek.T.R,1.0,-0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,-0.0,0.0,-0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,-0.0,-0.0,0.0
teeth.B,1.0,-0.0,-0.0,0.0
tongue,1.0,-0.0,0.0,0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.4918,0.4681,0.7328,-0.0455
forearm.L,0.5033,-0.1398,0.1139,0.8451
hand.L,0.6267,0.5258,-0.5729,0.0504
palm.01.L,0.8844,-0.2093,-0.1824,-0.3751
f_index.01.L,0.9953,-0.0684,-0.0688,0.0015
f_index.02.L,0.9999,0.0008,0.0148,0.0012
f_index.03.L,0.9939,-0.1053,0.008,0.0326
thumb.01.L,0.9077,-0.3446,-0.0582,0.2324
thumb.02.L,0.9946,-0.0723,-0.0573,0.0477
thumb.03.L,0.9979,-0.0599,0.0256,-0.0041
palm.02.L,0.887,-0.1507,-0.1888,-0.3935
f_middle.01.L,0.9839,-0.1498,-0.0909,-0.0349
f_middle.02.L,0.9977,-0.0541,0.0392,0.0096
f_middle.03.L,0.9961,-0.0837,0.0195,0.0207
palm.03.L,0.8861,-0.1232,-0.187,-0.4059
f_ring.01.L,0.9818,-0.1627,-0.0834,0.0522
f_ring.02.L,0.9945,-0.1001,0.0204,0.0212
f_ring.03.L,0.9869,-0.1518,0.0414,0.0365
palm.04.L,0.8708,-0.093,-0.2108,-0.4344
f_pinky.01.L,0.948,-0.2614,0.0095,0.1813
f_pinky.02.L,0.9998,-0.0114,-0.0001,0.0164
f_pinky.03.L,0.9872,-0.1575,0.0191,0.0161
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.457,0.433,-0.7714,0.0924
forearm.R,0.3612,-0.1212,-0.1357,-0.9146
hand.R,0.8067,-0.0331,-0.5843,-0.0823
palm.01.R,0.652,-0.0763,0.75,0.0808
f_index.01.R,0.9879,-0.0577,-0.0279,-0.1413
f_index.02.R,0.9385,0.3449,-0.0143,0.0039
f_index.03.R,0.9993,-0.0146,-0.011,-0.0317
thumb.01.R,0.9667,0.1459,0.026,-0.2085
thumb.02.R,0.9971,0.0538,0.0465,0.0259
thumb.03.R,0.9793,0.1939,0.0549,0.0182
palm.02.R,0.6691,0.0311,0.7384,0.0787
f_middle.01.R,0.9745,-0.1673,0.1482,-0.0191
f_middle.02.R,0.9257,0.3761,-0.0396,0.008
f_middle.03.R,0.998,0.0573,-0.0222,-0.0177
palm.03.R,0.6694,0.1304,0.725,0.0962
f_ring.01.R,0.9439,0.3263,-0.0119,-0.0496
f_ring.02.R,0.7576,0.6519,-0.0284,0.0136
f_ring.03.R,0.8631,0.4977,-0.0319,-0.0798
palm.04.R,0.6829,0.2257,0.6892,0.0874
f_pinky.01.R,0.9403,0.2994,-0.0713,-0.1454
f_pinky.02.R,0.7298,0.6834,-0.0105,0.0175
f_pinky.03.R,0.8453,0.5338,-0.0249,0.0005
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0014,-0.0028,-0.9843,-0.1765
shin.L,0.9952,-0.0898,-0.038,0.0035
foot.L,0.4571,0.8886,0.0373,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,0.0021,-0.0024,0.9843,0.1764
shin.R,0.9953,-0.0898,0.0365,-0.003
foot.R,0.4574,0.8885,-0.0365,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,0.0
