motion_name,SG ASL Demure 2026-4-26
pose_name,SG ASL Demure 2026-4-26 P2
export_date,2026-4-26
current_frame,48
frame_budget,18

bone_name,w,x,y,z
bicepfk_L,0.7829,0.5157,0.3379,0.0832
forearmfk_L,0.8179,-0.0354,-0.0517,0.572
handfk_L,0.8995,0.2773,0.3118,-0.1294
bicepfk_R,0.858,0.0954,0.2829,-0.418
forearmfk_R,0.3199,-0.0636,0.0262,-0.9449
handfk_R,0.6793,-0.0181,0.7333,-0.022
thighfk_L,0.9996,-0.0117,-0.0269,-0.0
shinfk_L,0.9996,0.0271,0.0087,0.0042
footfk_L,0.0288,-0.0267,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0112,0.0216,-0.0004
shinfk_R,0.9996,0.0271,-0.009,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.983,0.1777,0.0099,0.0444
thumbfk_02_R,0.9955,0.0715,0.0616,0.0126
thumbfk_03_R,0.9966,-0.0558,-0.0507,0.0344
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.025
pinkyfk_01_R,0.7544,0.641,0.1407,0.0134
pinkyfk_02_R,0.9016,0.4326,-0.0,0.0044
pinkyfk_03_R,0.9812,0.1928,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9953,0.0,-0.0683,0.0683
indexfk_01_R,0.7749,0.6292,-0.057,-0.0201
indexfk_02_R,0.8532,0.5216,-0.0,-0.0
indexfk_03_R,0.997,0.077,0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0064,0.0064
middlefk_01_R,0.7999,0.5962,-0.0367,-0.0585
middlefk_02_R,0.878,0.4784,0.0009,-0.0176
middlefk_03_R,0.9589,0.2839,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0171,-0.0114
ringfk_01_R,0.8411,0.5406,0.0042,0.0163
ringfk_02_R,0.8724,0.4889,0.0,-0.0001
ringfk_03_R,0.9681,0.2506,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9897,0.1158,0.0196,-0.0823
collar_L,0.9912,0.1246,0.015,0.0416
neckfk,0.9998,0.0129,-0.0096,0.0119
headfk,0.9993,0.0244,-0.0122,0.0249
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0005,-0.0001,-0.0012
chest_3,0.9998,-0.0201,-0.0031,-0.0085
chest_2,1.0,-0.0006,-0.0002,-0.0015
chest_1,1.0,-0.0019,0.0001,-0.0025
hip,1.0,-0.0001,-0.0026,0.0002
