motion_name,SG ASL Denominator 2026-4-28 metarig A
pose_name,SG ASL Denominator 2026-4-28 metarig A P3
export_date,2026-4-28
current_frame,67
frame_budget,17

bone_name,w,x,y,z
spine,0.992,-0.1255,-0.01,0.0002
spine.001,0.9978,0.0643,-0.0161,-0.0054
spine.002,0.9969,0.0775,0.0105,-0.001
spine.003,0.9993,-0.0238,-0.0281,-0.0102
spine.004,0.98,-0.1991,-0.0058,-0.0006
spine.005,0.9948,0.1011,0.0067,0.0063
spine.006,0.9946,0.1027,0.0128,0.0089
face,1.0,0.0,-0.0,0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,0.0,0.0,0.0
nose.002,1.0,0.0,0.0,-0.0
nose.003,1.0,-0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,0.0,0.0,-0.0
lip.T.L.001,1.0,-0.0,0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,-0.0,0.0,0.0
jaw,1.0,0.0,-0.0,-0.0
chin,1.0,0.0,0.0,0.0
chin.001,1.0,0.0,0.0,-0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,0.0,-0.0,0.0
ear.L.002,1.0,0.0,0.0,0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,-0.0,-0.0,0.0
ear.R.001,1.0,-0.0,0.0,0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,0.0,-0.0,-0.0
lip.T.R,1.0,-0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,0.0
lip.B.R,1.0,-0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,-0.0
brow.B.L.001,1.0,-0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,-0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,-0.0
lid.B.L,1.0,-0.0,-0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,0.0
lid.B.L.002,1.0,0.0,-0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,0.0,-0.0,0.0
brow.B.R.001,1.0,-0.0,0.0,0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,-0.0,0.0,0.0
lid.B.R,1.0,-0.0,-0.0,-0.0
lid.B.R.001,1.0,0.0,0.0,0.0
lid.B.R.002,1.0,0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,-0.0,-0.0,0.0
forehead.L.001,1.0,0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,-0.0,-0.0
temple.L,1.0,0.0,0.0,0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,-0.0,-0.0,0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,-0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,0.0,0.0,-0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,0.0,-0.0
temple.R,1.0,0.0,0.0,0.0
jaw.R,1.0,0.0,-0.0,0.0
jaw.R.001,1.0,-0.0,-0.0,0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,-0.0,-0.0,-0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,-0.0,-0.0,0.0
brow.T.R.001,1.0,0.0,-0.0,-0.0
brow.T.R.002,1.0,-0.0,0.0,0.0
brow.T.R.003,1.0,0.0,-0.0,0.0
eye.L,1.0,-0.0,0.0,-0.0
eye.R,1.0,-0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,0.0
nose.L,1.0,-0.0,0.0,-0.0
nose.L.001,1.0,-0.0,-0.0,0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,-0.0,-0.0,0.0
nose.R.001,1.0,-0.0,0.0,-0.0
teeth.T,1.0,0.0,-0.0,-0.0
teeth.B,1.0,0.0,-0.0,-0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,0.0,0.0,-0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.4561,0.599,0.6581,-0.0017
forearm.L,0.6526,-0.1564,0.0827,0.7367
hand.L,0.7385,-0.2152,-0.3948,0.5025
palm.01.L,0.9239,0.1832,-0.3339,-0.0354
f_index.01.L,0.9894,-0.1385,-0.0364,0.0239
f_index.02.L,0.9973,-0.0687,0.0267,-0.0009
f_index.03.L,0.9927,-0.1161,0.0077,0.0331
thumb.01.L,0.8914,-0.0286,0.13,0.4333
thumb.02.L,0.997,0.025,0.0302,0.0674
thumb.03.L,0.9655,0.2463,-0.0838,-0.0144
palm.02.L,0.9246,0.2566,-0.2761,-0.0548
f_middle.01.L,0.8851,0.4522,-0.0039,0.1104
f_middle.02.L,0.9762,0.2132,0.0403,-0.0014
f_middle.03.L,0.9605,0.2769,0.0262,0.0122
palm.03.L,0.9205,0.293,-0.2502,-0.0649
f_ring.01.L,0.8747,0.4784,0.0156,0.0762
f_ring.02.L,0.8076,0.5889,0.0275,-0.0127
f_ring.03.L,0.8711,0.4828,0.0621,0.0652
palm.04.L,0.9251,0.3208,-0.1711,-0.1098
f_pinky.01.L,0.8968,0.3821,0.1797,0.1321
f_pinky.02.L,0.7845,0.62,0.0093,-0.0083
f_pinky.03.L,0.7945,0.6026,0.0237,0.0712
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.6047,0.5771,-0.5178,-0.182
forearm.R,0.5605,-0.149,-0.1024,-0.8082
hand.R,0.623,0.7749,-0.0623,-0.0868
palm.01.R,0.6776,-0.2179,0.5021,0.4912
f_index.01.R,0.9936,-0.1082,0.0326,0.0013
f_index.02.R,0.9968,-0.0787,-0.0149,-0.0023
f_index.03.R,0.9929,-0.1143,-0.0079,-0.0332
thumb.01.R,0.9581,0.1316,0.0125,-0.2542
thumb.02.R,0.9978,-0.0247,0.0457,0.0412
thumb.03.R,0.9915,0.1133,0.0552,0.0314
palm.02.R,0.6853,-0.1202,0.5098,0.506
f_middle.01.R,0.8704,0.4882,0.0553,-0.0327
f_middle.02.R,0.8209,0.5707,-0.0196,0.0061
f_middle.03.R,0.7698,0.6373,0.0014,0.0352
palm.03.R,0.6851,-0.0707,0.5174,0.5079
f_ring.01.R,0.9316,0.362,0.0025,-0.0339
f_ring.02.R,0.7577,0.6519,-0.0285,0.0136
f_ring.03.R,0.8619,0.4997,-0.0317,-0.0798
palm.04.R,0.6828,0.0185,0.5186,0.5142
f_pinky.01.R,0.9527,0.2588,-0.0651,-0.1456
f_pinky.02.R,0.7268,0.6866,-0.0106,0.0177
f_pinky.03.R,0.7118,0.6949,0.0395,-0.0949
breast.L,1.0,0.0,0.0,0.0
breast.R,1.0,0.0,0.0,0.0
pelvis.L,1.0,0.0,0.0,0.0
pelvis.R,1.0,0.0,0.0,-0.0
thigh.L,-0.0078,-0.0051,-0.9842,-0.1771
shin.L,0.9953,-0.09,-0.0365,0.0031
foot.L,0.4562,0.8891,0.0368,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,0.0
thigh.R,0.0114,-0.0001,0.9845,0.1751
shin.R,0.9952,-0.09,0.0373,-0.0033
foot.R,0.4582,0.888,-0.0372,0.0031
toe.R,0.9989,-0.0374,0.027,-0.0046
heel.02.R,1.0,-0.0,0.0,0.0
