motion_name,SG ASL Denounce 2026-4-28 metarig A
pose_name,SG ASL Denounce 2026-4-28 metarig A P4
export_date,2026-4-28
current_frame,78
frame_budget,17

bone_name,w,x,y,z
spine,0.9921,-0.1258,-0.0,0.0
spine.001,0.9978,0.066,-0.0047,-0.0011
spine.002,0.9968,0.0781,0.0154,0.0009
spine.003,0.9994,-0.0231,-0.0228,-0.0082
spine.004,0.9801,-0.1987,-0.0015,-0.0001
spine.005,0.9955,0.0943,0.001,-0.0007
spine.006,0.996,0.0898,0.0023,-0.0015
face,1.0,-0.0,-0.0,0.0
nose,1.0,-0.0,-0.0,0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,-0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,-0.0,0.0,-0.0
lip.T.L.001,1.0,-0.0,-0.0,-0.0
lip.B.L,1.0,-0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,-0.0,0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,0.0,-0.0,-0.0
chin.001,1.0,0.0,-0.0,-0.0
ear.L,1.0,-0.0,0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,0.0,0.0,-0.0
ear.R.004,1.0,0.0,0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,-0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,0.0,0.0,0.0
brow.B.L.002,1.0,0.0,-0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,0.0
lid.T.L.002,1.0,0.0,-0.0,0.0
lid.T.L.003,1.0,-0.0,-0.0,-0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,0.0,0.0
brow.B.R,1.0,0.0,-0.0,0.0
brow.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,0.0,0.0,-0.0
lid.T.R.003,1.0,0.0,-0.0,0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,-0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,-0.0
forehead.L,1.0,-0.0,-0.0,0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,-0.0,0.0
temple.L,1.0,0.0,0.0,0.0
jaw.L,1.0,0.0,0.0,0.0
jaw.L.001,1.0,-0.0,0.0,-0.0
chin.L,1.0,-0.0,0.0,-0.0
cheek.B.L,1.0,-0.0,0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,0.0
brow.T.L,1.0,-0.0,-0.0,-0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,0.0,0.0,-0.0
forehead.R,1.0,0.0,-0.0,0.0
forehead.R.001,1.0,-0.0,-0.0,-0.0
forehead.R.002,1.0,0.0,0.0,0.0
temple.R,1.0,0.0,-0.0,0.0
jaw.R,1.0,-0.0,-0.0,-0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,-0.0,0.0
brow.T.R,1.0,0.0,0.0,-0.0
brow.T.R.001,1.0,-0.0,-0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,0.0
brow.T.R.003,1.0,-0.0,-0.0,0.0
eye.L,1.0,0.0,0.0,-0.0
eye.R,1.0,0.0,0.0,-0.0
cheek.T.L,1.0,-0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,0.0,-0.0,0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,-0.0,-0.0,-0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,-0.0,-0.0,-0.0
teeth.B,1.0,-0.0,-0.0,-0.0
tongue,1.0,0.0,0.0,0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.52,0.5177,0.6792,0.0191
forearm.L,0.6716,-0.1596,0.0845,0.7186
hand.L,0.5979,0.412,-0.6679,0.1632
palm.01.L,0.9249,-0.1214,-0.1331,-0.3349
f_index.01.L,0.9953,-0.0717,-0.0429,-0.0489
f_index.02.L,0.9973,-0.0721,0.0147,0.0023
f_index.03.L,0.9906,-0.1323,0.0071,0.0328
thumb.01.L,0.9461,-0.2021,-0.253,0.0018
thumb.02.L,0.9979,-0.0476,-0.0431,-0.0042
thumb.03.L,0.991,-0.0429,0.1073,-0.0671
palm.02.L,0.9235,-0.0674,-0.1276,-0.3554
f_middle.01.L,0.99,-0.1335,-0.0459,0.001
f_middle.02.L,0.9911,-0.1266,0.0384,0.0124
f_middle.03.L,0.9965,-0.078,0.0196,0.0205
palm.03.L,0.9213,-0.0485,-0.1146,-0.3683
f_ring.01.L,0.9832,-0.1802,-0.0175,0.0253
f_ring.02.L,0.9969,-0.0728,0.021,0.0207
f_ring.03.L,0.9861,-0.1566,0.0412,0.0367
palm.04.L,0.9082,-0.0326,-0.1271,-0.3974
f_pinky.01.L,0.9549,-0.2859,0.0672,0.0431
f_pinky.02.L,0.9996,-0.0199,0.0016,0.0179
f_pinky.03.L,0.9842,-0.1719,0.0411,0.0118
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.4361,0.4499,-0.7755,0.0773
forearm.R,0.492,-0.136,-0.1183,-0.8517
hand.R,0.8309,0.209,0.507,0.0941
palm.01.R,0.9256,-0.2294,0.2541,0.1613
f_index.01.R,0.9953,-0.0717,0.0429,0.0489
f_index.02.R,0.9973,-0.0721,-0.0147,-0.0023
f_index.03.R,0.9935,-0.1091,-0.0079,-0.0326
thumb.01.R,0.9461,-0.2021,0.253,-0.0018
thumb.02.R,0.9979,-0.0476,0.0431,0.0042
thumb.03.R,0.991,-0.0429,-0.1073,0.0671
palm.02.R,0.9357,-0.1633,0.2557,0.1802
f_middle.01.R,0.99,-0.1335,0.0459,-0.001
f_middle.02.R,0.9911,-0.1265,-0.0384,-0.0124
f_middle.03.R,0.9971,-0.0712,-0.0198,-0.0204
palm.03.R,0.9387,-0.122,0.2575,0.1942
f_ring.01.R,0.9832,-0.1802,0.0175,-0.0253
f_ring.02.R,0.9969,-0.0728,-0.021,-0.0207
f_ring.03.R,0.978,-0.2009,-0.0395,-0.0385
palm.04.R,0.9312,-0.0896,0.2764,0.2203
f_pinky.01.R,0.9551,-0.2861,-0.066,-0.0404
f_pinky.02.R,0.9996,-0.0199,-0.0016,-0.0179
f_pinky.03.R,0.9923,-0.1161,-0.0421,-0.012
breast.L,1.0,0.0,0.0,0.0
breast.R,1.0,0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.002,-0.0025,-0.9843,-0.1764
shin.L,0.9953,-0.0898,-0.0365,0.0031
foot.L,0.4572,0.8886,0.0368,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,0.0,-0.0
thigh.R,0.0016,-0.0028,0.9843,0.1765
shin.R,0.9953,-0.0898,0.037,-0.0033
foot.R,0.457,0.8887,-0.037,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,-0.0,-0.0
