motion_name,SG ASL Dentist 2026-4-28
pose_name,SG ASL Dentist 2026-4-28 P1
export_date,2026-4-28
current_frame,41
frame_budget,41

bone_name,w,x,y,z
bicepfk_L,0.7257,0.5973,0.3159,0.1297
forearmfk_L,0.8634,-0.0281,-0.0555,0.5007
handfk_L,0.9057,0.2475,0.3327,-0.0878
bicepfk_R,0.8498,0.4246,0.1258,-0.2858
forearmfk_R,0.3603,-0.0595,0.0255,-0.9306
handfk_R,0.7698,-0.316,0.5536,-0.0329
thighfk_L,0.9997,-0.0124,-0.0208,-0.0002
shinfk_L,0.9996,0.0269,0.0091,0.004
footfk_L,0.0289,-0.0263,0.9991,0.0192
toefk_L,1.0,0.0004,-0.0003,-0.0
thighfk_R,0.9995,-0.0131,0.0277,-0.0005
shinfk_R,0.9996,0.027,-0.0088,-0.0043
footfk_R,0.0289,-0.0264,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0,0.0005,-0.0006
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,-0.0004,0.0004,-0.0002
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8937,0.0124,-0.4424,0.0729
thumbfk_02_R,0.9968,0.0607,0.0515,0.0108
thumbfk_03_R,0.9968,-0.0536,-0.0487,0.033
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0283
pinkyfk_01_R,0.6861,0.6894,0.2136,0.0914
pinkyfk_02_R,0.616,0.7877,0.0,0.0081
pinkyfk_03_R,0.7957,0.6057,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.997,0.0,-0.0551,0.0551
indexfk_01_R,0.848,0.5235,0.0545,0.0616
indexfk_02_R,0.5798,0.8148,0.0,-0.0
indexfk_03_R,0.8391,0.5439,0.0,0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0074,0.0074
middlefk_01_R,0.7398,0.6656,0.0958,0.023
middlefk_02_R,0.6569,0.754,-0.0,0.0
middlefk_03_R,0.7566,0.6539,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0236,-0.0157
ringfk_01_R,0.7053,0.7002,0.1073,0.0293
ringfk_02_R,0.6711,0.7414,-0.0,-0.0001
ringfk_03_R,0.7628,0.6466,-0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9919,0.0363,0.1146,-0.0413
collar_L,0.9979,0.0435,0.0036,0.0478
neckfk,1.0,0.0033,-0.001,0.0056
headfk,0.9999,0.0061,0.0004,0.0104
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,-0.0006,-0.0011
chest_3,0.9998,-0.0194,-0.0041,-0.0089
chest_2,1.0,-0.0001,-0.001,-0.0013
chest_1,1.0,0.0007,-0.0023,-0.0031
hip,1.0,-0.0015,0.0034,0.0005
