motion_name,SG ASL Deny 2026-4-29 metarig A
pose_name,SG ASL Deny 2026-4-29 metarig A P2
export_date,2026-4-29
current_frame,72
frame_budget,29

bone_name,w,x,y,z
spine,0.9922,-0.1248,0.0003,0.001
spine.001,0.9979,0.064,-0.0008,-0.0013
spine.002,0.9969,0.0774,0.0169,0.0009
spine.003,0.9994,-0.0239,-0.0214,-0.0083
spine.004,0.98,-0.1991,-0.0004,-0.0002
spine.005,0.9956,0.094,0.001,-0.0006
spine.006,0.996,0.089,0.002,-0.0014
face,1.0,-0.0,-0.0,0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,0.0,0.0,0.0
nose.002,1.0,0.0,-0.0,-0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,-0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,0.0,-0.0,-0.0
chin,1.0,-0.0,-0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,-0.0,-0.0,0.0
ear.L.001,1.0,0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,0.0,-0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,0.0,-0.0,0.0
ear.R.001,1.0,-0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,0.0,-0.0,-0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,-0.0,0.0
brow.B.L.002,1.0,0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,-0.0
lid.T.L,1.0,0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,-0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,-0.0,-0.0
lid.B.L.003,1.0,0.0,-0.0,0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,0.0,-0.0
brow.B.R.003,1.0,-0.0,0.0,0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,0.0,-0.0,0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,0.0,-0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,0.0
lid.B.R.003,1.0,-0.0,0.0,-0.0
forehead.L,1.0,0.0,-0.0,0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,0.0,-0.0,-0.0
temple.L,1.0,0.0,0.0,-0.0
jaw.L,1.0,0.0,-0.0,-0.0
jaw.L.001,1.0,-0.0,0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,0.0,-0.0,0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,0.0,0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,0.0,0.0,0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,-0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,0.0,-0.0,0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,0.0,-0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,0.0
eye.L,1.0,0.0,-0.0,0.0
eye.R,1.0,0.0,-0.0,0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,0.0,-0.0,0.0
nose.L,1.0,-0.0,-0.0,-0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,-0.0,0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,-0.0,-0.0,-0.0
nose.R.001,1.0,0.0,-0.0,0.0
teeth.T,1.0,-0.0,-0.0,-0.0
teeth.B,1.0,-0.0,-0.0,-0.0
tongue,1.0,-0.0,0.0,-0.0
tongue.001,1.0,-0.0,0.0,-0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.6615,0.4525,0.5966,0.0412
forearm.L,0.6465,-0.156,0.0946,0.7408
hand.L,0.7418,0.0054,-0.6627,-0.1025
palm.01.L,0.9687,-0.1812,-0.1234,-0.1161
f_index.01.L,0.8343,0.5413,-0.0438,0.0952
f_index.02.L,0.7216,0.6921,0.0115,-0.0093
f_index.03.L,0.9061,0.4217,0.0239,0.0241
thumb.01.L,0.9706,-0.1655,-0.1699,-0.0407
thumb.02.L,0.9837,-0.1092,-0.0736,0.1222
thumb.03.L,0.9981,-0.0571,0.0231,-0.0023
palm.02.L,0.9746,-0.1371,-0.1622,-0.0712
f_middle.01.L,0.8362,0.539,-0.0875,0.05
f_middle.02.L,0.7114,0.7016,0.0335,-0.0225
f_middle.03.L,0.7997,0.5997,0.0283,0.0025
palm.03.L,0.9739,-0.112,-0.1877,-0.0603
f_ring.01.L,0.8634,0.5019,-0.0517,0.0001
f_ring.02.L,0.7483,0.6627,0.0294,-0.0005
f_ring.03.L,0.8957,0.4413,0.0548,0.0061
palm.04.L,0.9693,-0.0888,-0.1867,-0.133
f_pinky.01.L,0.9104,0.4128,-0.0247,0.0139
f_pinky.02.L,0.6388,0.7693,0.0126,0.0025
f_pinky.03.L,0.8431,0.5371,0.0249,-0.0006
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.6997,0.4259,-0.566,0.0931
forearm.R,0.5972,-0.154,-0.0976,-0.7811
hand.R,0.9342,0.0519,0.3518,0.027
palm.01.R,0.9318,-0.1307,0.2987,0.1599
f_index.01.R,0.845,0.5249,0.0445,-0.0924
f_index.02.R,0.7219,0.6918,-0.0115,0.0093
f_index.03.R,0.9059,0.4222,-0.0239,-0.0241
thumb.01.R,0.9692,-0.1674,0.1746,0.0473
thumb.02.R,0.9839,-0.1086,0.0739,-0.1209
thumb.03.R,0.9981,-0.0573,-0.0233,0.0024
palm.02.R,0.9322,-0.0806,0.3331,0.1163
f_middle.01.R,0.8359,0.5391,0.0902,-0.0489
f_middle.02.R,0.7088,0.7042,-0.0334,0.0227
f_middle.03.R,0.8133,0.5811,-0.0282,-0.0031
palm.03.R,0.9295,-0.0377,0.3494,0.1116
f_ring.01.R,0.8627,0.503,0.0522,0.0002
f_ring.02.R,0.7461,0.6652,-0.0294,0.0006
f_ring.03.R,0.9011,0.4301,-0.0547,-0.0067
palm.04.R,0.9349,0.0016,0.3326,0.124
f_pinky.01.R,0.9142,0.3992,0.0693,0.0052
f_pinky.02.R,0.641,0.7675,-0.0125,-0.0025
f_pinky.03.R,0.8455,0.5334,-0.0249,0.0005
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,0.0,0.0,-0.0
pelvis.R,1.0,-0.0,0.0,-0.0
thigh.L,0.0018,-0.0016,-0.9845,-0.1754
shin.L,0.9953,-0.0898,-0.037,0.0029
foot.L,0.4574,0.8885,0.0359,-0.0028
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,0.0018,-0.0037,0.9845,0.1754
shin.R,0.9953,-0.0897,0.0369,-0.0032
foot.R,0.4566,0.8889,-0.0368,0.0027
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,0.0,-0.0
