motion_name,SG ASL Deny Reject 2026-4-29
pose_name,SG ASL Deny Reject 2026-4-29 P2
export_date,2026-4-29
current_frame,48
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.7349,0.5723,0.3529,0.0885
forearmfk_L,0.8462,-0.0321,-0.0531,0.5292
handfk_L,0.9053,0.2571,0.328,-0.0822
bicepfk_R,0.8066,0.3213,0.2194,-0.4449
forearmfk_R,0.9586,-0.0176,0.0946,-0.2679
handfk_R,0.8845,-0.1079,-0.4518,-0.0437
thighfk_L,0.9998,-0.0098,-0.0183,-0.001
shinfk_L,0.9996,0.0267,0.009,0.0048
footfk_L,0.0291,-0.0264,0.999,0.0197
toefk_L,1.0,-0.0001,0.0003,0.0
thighfk_R,0.9995,-0.0112,0.0303,-0.0014
shinfk_R,0.9996,0.0268,-0.009,-0.0038
footfk_R,0.0287,-0.0265,-0.9991,-0.0174
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0007,0.0019,-0.0027
thumbfk_02_L,1.0,0.0011,-0.0015,0.0007
thumbfk_03_L,1.0,0.0003,-0.0003,0.0002
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,-0.0005,0.0,-0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9403,0.0655,-0.3265,0.0703
thumbfk_02_R,0.9955,0.0142,0.0721,-0.0601
thumbfk_03_R,0.9938,-0.0751,-0.0681,0.0463
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0262
pinkyfk_01_R,0.7208,0.6537,0.2018,0.1112
pinkyfk_02_R,0.6164,0.7874,0.0,0.0081
pinkyfk_03_R,0.783,0.622,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9953,0.0,-0.0683,0.0683
indexfk_01_R,0.7753,0.6309,0.0217,0.0213
indexfk_02_R,0.6346,0.7728,0.0,-0.0
indexfk_03_R,0.8316,0.5553,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0076,0.0076
middlefk_01_R,0.7218,0.6856,0.0934,0.0147
middlefk_02_R,0.5737,0.8191,0.0,-0.0
middlefk_03_R,0.7611,0.6486,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0247,-0.0165
ringfk_01_R,0.6793,0.7239,0.1145,0.0377
ringfk_02_R,0.7053,0.7089,0.0,-0.0001
ringfk_03_R,0.8215,0.5701,0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9924,0.0355,0.1158,-0.0191
collar_L,0.9952,0.0797,-0.0292,0.048
neckfk,1.0,-0.0017,-0.0024,-0.005
headfk,0.9999,-0.0031,-0.0064,-0.0079
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0013,-0.0004,0.0017
chest_3,0.9998,-0.0175,-0.0037,-0.005
chest_2,1.0,0.0017,-0.0003,0.0023
chest_1,1.0,0.0041,-0.0005,0.0054
hip,1.0,0.0009,0.006,0.0014
