motion_name,SG ASL Deodorant 2026-4-30
pose_name,SG ASL Deodorant 2026-4-30 P1
export_date,2026-4-30
current_frame,33
frame_budget,33

bone_name,w,x,y,z
bicepfk_L,0.9179,0.3138,0.2417,-0.0249
forearmfk_L,0.7519,-0.0401,-0.0439,0.6566
handfk_L,0.9017,0.0768,0.4201,-0.0673
bicepfk_R,0.5882,0.404,-0.3658,-0.5974
forearmfk_R,0.6092,-0.0498,0.0391,-0.7905
handfk_R,0.9328,0.0317,-0.3533,0.0636
thighfk_L,0.9997,-0.0112,-0.0228,0.0007
shinfk_L,0.9996,0.027,0.0093,0.0041
footfk_L,0.029,-0.0253,0.9991,0.0183
toefk_L,1.0,-0.0005,-0.0001,-0.0
thighfk_R,0.9996,-0.0115,0.0257,0.0003
shinfk_R,0.9996,0.0269,-0.0084,-0.0042
footfk_R,0.0288,-0.0269,-0.999,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7305,0.3818,0.4982,0.2691
thumbfk_02_L,0.9661,0.2391,-0.0789,-0.0571
thumbfk_03_L,0.9189,0.3661,0.0312,0.1439
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9995,0.0,0.0,-0.0318
pinkyfk_01_L,0.6152,0.7867,-0.0466,0.0203
pinkyfk_02_L,0.6347,0.7727,-0.0003,-0.0009
pinkyfk_03_L,0.7635,0.642,0.0518,0.0471
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9927,-0.0,0.0854,-0.0854
indexfk_01_L,0.657,0.7538,-0.0085,0.0131
indexfk_02_L,0.6601,0.751,0.0009,-0.0127
indexfk_03_L,0.7587,0.6499,0.0223,0.0386
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0075,-0.0075
middlefk_01_L,0.735,0.6781,-0.0021,-0.0086
middlefk_02_L,0.6563,0.7542,-0.0176,0.0094
middlefk_03_L,0.6926,0.721,-0.0201,-0.0098
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9995,0.0,-0.0266,0.0177
ringfk_01_L,0.6323,0.7743,-0.0146,0.0223
ringfk_02_L,0.6968,0.7172,0.0004,-0.0134
ringfk_03_L,0.7052,0.7036,-0.0419,0.0768
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7305,0.3818,-0.4982,-0.2691
thumbfk_02_R,0.9661,0.2391,0.0789,0.0571
thumbfk_03_R,0.9189,0.3661,-0.0312,-0.1439
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9995,0.0,0.0,-0.0318
pinkyfk_01_R,0.6152,0.7867,0.0466,-0.0203
pinkyfk_02_R,0.6347,0.7727,0.0003,0.0009
pinkyfk_03_R,0.7635,0.642,-0.0518,-0.0471
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9927,0.0,-0.0854,0.0854
indexfk_01_R,0.657,0.7538,0.0085,-0.0131
indexfk_02_R,0.6601,0.751,-0.0009,0.0127
indexfk_03_R,0.7587,0.6499,-0.0223,-0.0386
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0075,0.0075
middlefk_01_R,0.735,0.6781,0.0021,0.0086
middlefk_02_R,0.6563,0.7542,0.0176,-0.0094
middlefk_03_R,0.6926,0.721,0.0201,0.0098
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9995,-0.0,0.0266,-0.0177
ringfk_01_R,0.6323,0.7743,0.0146,-0.0223
ringfk_02_R,0.6968,0.7172,-0.0004,0.0134
ringfk_03_R,0.7052,0.7036,0.0419,-0.0768
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9918,0.0332,0.1099,-0.0558
collar_L,0.9953,0.0527,-0.013,0.0799
neckfk,1.0,-0.0028,-0.0028,0.002
headfk,1.0,-0.0053,-0.0043,0.0049
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0015,0.0012,-0.0006
chest_3,0.9998,-0.0173,-0.0016,-0.0082
chest_2,1.0,0.002,0.0015,-0.0009
chest_1,1.0,0.0051,0.0044,-0.0019
hip,1.0,-0.0001,0.0014,-0.0005
