motion_name,SG ASL Depart Alt 2026-4-30
pose_name,SG ASL Depart Alt 2026-4-30 P2
export_date,2026-4-30
current_frame,55
frame_budget,25

bone_name,w,x,y,z
bicepfk_L,0.7824,0.5459,0.2257,0.1973
forearmfk_L,0.6999,-0.0445,-0.045,0.7114
handfk_L,0.741,0.1257,0.6554,-0.0748
bicepfk_R,0.8825,0.3472,0.316,-0.0273
forearmfk_R,0.8394,-0.0413,0.065,-0.538
handfk_R,0.8025,-0.0314,-0.5931,-0.0576
thighfk_L,0.9998,-0.0058,-0.0183,-0.0041
shinfk_L,0.9996,0.0268,0.0095,0.0037
footfk_L,0.029,-0.0255,0.999,0.021
toefk_L,1.0,0.0006,0.0015,0.0
thighfk_R,0.9995,0.0055,0.0302,-0.0056
shinfk_R,0.9999,0.0047,-0.0088,-0.0056
footfk_R,0.0292,-0.0258,-0.9991,-0.0151
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.993,0.0589,0.0587,-0.0839
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.001
pinkyfk_01_L,0.9935,-0.0229,-0.0717,-0.0856
pinkyfk_02_L,0.9999,0.0119,0.0,-0.0001
pinkyfk_03_L,0.9996,0.0288,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9989,-0.047,0.005,-0.0001
indexfk_02_L,0.9998,0.019,-0.0,0.0
indexfk_03_L,1.0,-0.0003,0.0,-0.0004
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9962,-0.0351,-0.0792,-0.0085
middlefk_02_L,0.9997,0.0264,0.0,-0.0
middlefk_03_L,1.0,-0.0077,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9975,-0.0015,-0.0709,0.0067
ringfk_02_L,0.9999,-0.0126,0.0,-0.0
ringfk_03_L,0.9999,-0.0132,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9475,0.0239,-0.2679,-0.1726
thumbfk_02_R,0.992,0.0911,0.0858,0.017
thumbfk_03_R,0.9996,-0.0188,-0.0171,0.0116
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0013
pinkyfk_01_R,0.9737,-0.0227,0.0626,0.2177
pinkyfk_02_R,0.9991,0.043,-0.0,0.0004
pinkyfk_03_R,0.9961,0.0887,-0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.004,0.004
indexfk_01_R,0.9991,0.0397,0.01,0.0053
indexfk_02_R,1.0,-0.0012,0.0,-0.0
indexfk_03_R,1.0,-0.001,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0067,0.0067
middlefk_01_R,0.7847,0.6136,0.0884,-0.0021
middlefk_02_R,0.6574,0.7536,-0.0,-0.0
middlefk_03_R,0.7701,0.638,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0192,-0.0128
ringfk_01_R,0.7945,0.5951,0.0892,0.0819
ringfk_02_R,0.6457,0.7636,-0.0,-0.0001
ringfk_03_R,0.8596,0.511,0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9951,-0.0238,0.0961,-0.0081
collar_L,0.9974,0.0537,-0.0119,0.0471
neckfk,0.9999,-0.0105,-0.0106,0.0034
headfk,0.9996,-0.0197,-0.0174,0.0108
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0001,-0.0022,-0.0009
chest_3,0.9998,-0.0193,-0.0062,-0.0087
chest_2,1.0,-0.0,-0.0031,-0.0009
chest_1,1.0,0.0002,-0.0073,-0.0026
hip,1.0,0.0052,0.0061,0.0048
