motion_name,SG ASL Department 2026-4-30
pose_name,SG ASL Department 2026-4-30 P3
export_date,2026-4-30
current_frame,56
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.9355,0.2154,-0.1663,0.2253
forearmfk_L,0.5715,-0.0502,-0.0336,0.8184
handfk_L,0.8174,-0.274,-0.4897,0.1304
bicepfk_R,0.7994,0.45,0.1128,-0.3817
forearmfk_R,0.7358,-0.0469,0.0525,-0.6736
handfk_R,0.6773,-0.0087,0.6681,-0.308
thighfk_L,0.9996,-0.0118,-0.0274,0.0009
shinfk_L,0.9996,0.0267,0.0091,0.0042
footfk_L,0.029,-0.0262,0.9991,0.0176
toefk_L,1.0,0.0003,-0.0003,-0.0
thighfk_R,0.9997,-0.0111,0.0211,0.0005
shinfk_R,0.9996,0.0269,-0.0084,-0.0042
footfk_R,0.0288,-0.0266,-0.999,-0.0192
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.735,0.3173,0.4789,0.3602
thumbfk_02_L,0.987,0.1504,0.0525,0.0195
thumbfk_03_L,0.9732,0.2042,-0.0277,-0.1018
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.027
pinkyfk_01_L,0.7108,0.6973,-0.0341,0.086
pinkyfk_02_L,0.7564,0.6537,0.0005,-0.0224
pinkyfk_03_L,0.7394,0.6692,-0.0075,0.0735
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9988,-0.0148,-0.0019,0.0464
indexfk_02_L,0.9997,0.0198,0.0123,-0.0022
indexfk_03_L,0.9999,0.0153,-0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0063,-0.0063
middlefk_01_L,0.8058,0.588,-0.0016,0.0697
middlefk_02_L,0.9456,0.3254,-0.0001,-0.0002
middlefk_03_L,0.9532,0.3023,0.0006,-0.0001
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0242,0.0161
ringfk_01_L,0.6892,0.7191,-0.0628,0.0629
ringfk_02_L,0.7876,0.616,-0.0016,-0.0158
ringfk_03_L,0.7849,0.6164,-0.0018,0.0627
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7276,0.3147,-0.4659,-0.3929
thumbfk_02_R,0.9869,0.1562,-0.0285,-0.0289
thumbfk_03_R,0.9707,0.2241,0.0583,0.0642
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.027
pinkyfk_01_R,0.7115,0.6959,0.0243,-0.0946
pinkyfk_02_R,0.7428,0.6691,-0.0009,0.0229
pinkyfk_03_R,0.7011,0.709,0.0103,-0.0754
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9974,-0.0612,0.0027,-0.0382
indexfk_02_R,0.9999,-0.0014,-0.0122,0.0024
indexfk_03_R,0.9999,-0.01,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0063,0.0063
middlefk_01_R,0.802,0.5935,0.0013,-0.0676
middlefk_02_R,0.9445,0.3287,0.0001,0.0002
middlefk_03_R,0.9476,0.3194,-0.0006,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.024,-0.016
ringfk_01_R,0.6952,0.7136,0.0691,-0.0528
ringfk_02_R,0.7558,0.6546,0.0006,0.015
ringfk_03_R,0.8021,0.5937,0.0001,-0.0638
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9915,0.0727,0.0817,-0.0698
collar_L,0.9778,0.1583,-0.0369,0.1324
neckfk,1.0,-0.0059,0.003,-0.0022
headfk,0.9999,-0.011,0.0046,-0.0051
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0008,-0.0014,0.0001
chest_3,0.9998,-0.0204,-0.0051,-0.0073
chest_2,1.0,-0.0011,-0.0018,0.0004
chest_1,1.0,-0.0025,-0.0042,0.0009
hip,1.0,-0.0002,-0.0032,-0.0008
