motion_name,SG ASL Departure 2026-5-6
pose_name,SG ASL Departure 2026-5-6 P1
export_date,2026-5-6
current_frame,49
frame_budget,49

bone_name,w,x,y,z
bicepfk_L,0.7332,0.5526,0.3629,0.1594
forearmfk_L,0.8495,-0.0327,-0.0542,0.5239
handfk_L,0.9019,0.2627,0.3191,-0.1256
bicepfk_R,0.8642,0.1202,0.3095,-0.3781
forearmfk_R,0.6122,-0.0518,0.0365,-0.7882
handfk_R,0.849,-0.027,0.4935,-0.1867
thighfk_L,0.9996,-0.0112,-0.0246,0.0002
shinfk_L,0.9996,0.0271,0.0085,0.0042
footfk_L,0.0287,-0.0269,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0112,0.0239,-0.0001
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.029,-0.0262,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,-0.0014,0.0004,0.0028
thumbfk_03_L,1.0,0.0003,-0.0003,0.0002
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6885,0.2429,-0.6139,-0.3002
thumbfk_02_R,0.9965,0.0817,-0.0174,-0.0041
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0091
pinkyfk_01_R,0.9647,0.2562,0.0614,0.0044
pinkyfk_02_R,0.9598,0.2552,0.1041,0.0528
pinkyfk_03_R,0.9655,0.2604,-0.0,-0.0001
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,-0.0,-0.0144,0.0144
indexfk_01_R,0.9846,0.1462,0.0225,0.093
indexfk_02_R,0.9391,0.3428,-0.0032,-0.0248
indexfk_03_R,0.9655,0.2603,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0024,0.0024
middlefk_01_R,0.9688,0.2415,0.0327,0.0458
middlefk_02_R,0.9319,0.3466,0.1056,0.0133
middlefk_03_R,0.9754,0.2172,0.0117,0.0363
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,0.0,0.0084,-0.0056
ringfk_01_R,0.9595,0.277,0.046,0.024
ringfk_02_R,0.9531,0.2893,0.0869,0.0201
ringfk_03_R,0.9656,0.2602,0.0,-0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9955,0.0445,0.0808,-0.0217
collar_L,0.9975,0.0698,-0.0069,-0.001
neckfk,0.9996,0.0118,-0.015,0.0211
headfk,0.9986,0.0214,-0.0197,0.0439
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0004,0.0015,-0.0038
chest_3,0.9997,-0.0198,-0.0011,-0.0125
chest_2,1.0,-0.0003,0.0015,-0.0053
chest_1,0.9999,-0.0011,0.0035,-0.0115
hip,1.0,0.0,0.0,0.0
