motion_name,SG ASL Depend 2026-5-18
pose_name,SG ASL Depend 2026-5-18 P1
export_date,2026-5-18
current_frame,29
frame_budget,29

bone_name,w,x,y,z
bicepfk_L,0.8832,0.4431,0.0405,0.1484
forearmfk_L,0.5809,-0.0517,-0.0378,0.8114
handfk_L,0.7994,-0.3219,0.5067,0.0265
bicepfk_R,0.8546,0.4986,-0.0612,-0.1317
forearmfk_R,0.7048,-0.0447,0.0481,-0.7064
handfk_R,0.8286,-0.3925,-0.3992,-0.0093
thighfk_L,0.9997,-0.0094,-0.0235,0.0004
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.029,-0.0264,0.9991,0.0184
toefk_L,1.0,-0.0003,0.0003,0.0
thighfk_R,0.9996,-0.0096,0.0251,-0.0001
shinfk_R,0.9996,0.0271,-0.0089,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7993,0.4255,0.3768,0.1952
thumbfk_02_L,0.988,0.1009,-0.0199,-0.1149
thumbfk_03_L,0.9932,0.0766,-0.011,-0.087
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0222
pinkyfk_01_L,0.8031,0.5833,-0.111,0.0496
pinkyfk_02_L,0.64,0.7678,0.0007,-0.0302
pinkyfk_03_L,0.6389,0.7606,-0.0711,0.0907
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9998,0.0,0.0127,-0.0127
indexfk_01_L,0.9904,0.1275,0.0237,0.0476
indexfk_02_L,0.9995,0.0307,-0.0,0.0
indexfk_03_L,0.9996,0.0276,-0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0086,-0.0086
middlefk_01_L,0.6496,0.7583,-0.053,-0.0108
middlefk_02_L,0.74,0.6723,-0.0184,0.0078
middlefk_03_L,0.5987,0.7996,-0.0215,-0.0412
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0228,0.0152
ringfk_01_L,0.7242,0.6829,-0.0953,-0.0134
ringfk_02_L,0.691,0.7227,-0.0002,-0.0132
ringfk_03_L,0.6814,0.7278,-0.0416,0.0659
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7906,0.4234,-0.4107,-0.1644
thumbfk_02_R,0.9886,0.1051,0.0272,0.1043
thumbfk_03_R,0.9904,0.1176,0.0399,0.0609
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0215
pinkyfk_01_R,0.8141,0.5667,0.1166,-0.049
pinkyfk_02_R,0.6324,0.774,-0.0014,0.0307
pinkyfk_03_R,0.5772,0.8084,0.0763,-0.0864
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9996,0.0,-0.0199,0.0199
indexfk_01_R,0.9759,0.2,-0.0277,-0.0827
indexfk_02_R,1.0,-0.0009,0.0,-0.0
indexfk_03_R,0.9999,0.0107,0.0,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0089,0.0089
middlefk_01_R,0.6306,0.7755,0.0311,0.0003
middlefk_02_R,0.7834,0.6212,0.0182,-0.0084
middlefk_03_R,0.6037,0.7959,0.0219,0.0412
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0215,-0.0143
ringfk_01_R,0.7534,0.6532,0.0762,0.0046
ringfk_02_R,0.6642,0.7474,-0.0005,0.0132
ringfk_03_R,0.6568,0.75,0.0426,-0.0652
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.997,0.0626,0.0446,-0.0026
collar_L,0.9918,0.1183,-0.0129,0.0475
neckfk,1.0,-0.001,-0.0014,-0.0014
headfk,1.0,-0.002,-0.0031,-0.002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0004,-0.0003,-0.0009
chest_3,0.9998,-0.0199,-0.0035,-0.0086
chest_2,1.0,-0.0006,-0.0004,-0.0012
chest_1,1.0,-0.0014,-0.0009,-0.0026
hip,1.0,0.0019,0.0008,-0.0002
