motion_name,SG ASL Depend on Me 2026-5-9
pose_name,SG ASL Depend on Me 2026-5-9 P4
export_date,2026-5-9
current_frame,53
frame_budget,7

bone_name,w,x,y,z
bicepfk_L,0.8748,0.4639,0.1288,0.0533
forearmfk_L,0.4501,-0.0562,-0.0278,0.8908
handfk_L,0.8452,0.4699,-0.2491,0.0529
bicepfk_R,0.8148,0.5413,-0.2042,-0.0379
forearmfk_R,0.4915,-0.0547,0.0314,-0.8686
handfk_R,0.8971,0.3817,0.1691,-0.1448
thighfk_L,0.9996,-0.0113,-0.0243,0.0002
shinfk_L,0.9996,0.0273,0.0091,0.004
footfk_L,0.0291,-0.0263,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0113,0.0243,-0.0002
shinfk_R,0.9996,0.0273,-0.0088,-0.0044
footfk_R,0.0287,-0.0264,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8008,0.4097,0.4047,0.1645
thumbfk_02_L,0.9892,0.1061,-0.0306,-0.0967
thumbfk_03_L,0.9907,0.1149,-0.0366,-0.0637
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.021
pinkyfk_01_L,0.8234,0.5526,-0.1187,0.0508
pinkyfk_02_L,0.6659,0.7455,0.0007,-0.0294
pinkyfk_03_L,0.6356,0.7632,-0.0735,0.0905
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9994,0.0,0.0249,-0.0249
indexfk_01_L,0.969,0.2461,0.0147,0.015
indexfk_02_L,1.0,0.0018,0.0,0.0
indexfk_03_L,0.9999,-0.0152,-0.0,-0.0004
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0068,-0.0068
middlefk_01_L,0.7799,0.6233,-0.0524,-0.0216
middlefk_02_L,0.7473,0.6642,-0.0178,0.0082
middlefk_03_L,0.758,0.6506,-0.0284,-0.0357
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,-0.0,-0.019,0.0126
ringfk_01_L,0.8065,0.5883,-0.0584,0.0086
ringfk_02_L,0.7143,0.6998,-0.0001,-0.0132
ringfk_03_L,0.6616,0.7459,-0.0441,0.0636
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7924,0.4229,-0.4051,-0.1707
thumbfk_02_R,0.9891,0.106,0.0309,0.0973
thumbfk_03_R,0.9916,0.103,0.0279,0.0725
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0212
pinkyfk_01_R,0.8192,0.5597,0.1148,-0.0508
pinkyfk_02_R,0.628,0.7776,-0.0016,0.0298
pinkyfk_03_R,0.5982,0.7927,0.078,-0.0873
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,-0.0,-0.0122,0.0122
indexfk_01_R,0.9874,0.1245,-0.03,-0.0926
indexfk_02_R,0.9999,-0.0156,0.0,-0.0
indexfk_03_R,0.9999,0.0108,0.0,0.0005
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0081,0.0081
middlefk_01_R,0.6881,0.7241,0.0452,0.013
middlefk_02_R,0.7253,0.6882,0.0181,-0.0079
middlefk_03_R,0.6184,0.7845,0.0224,0.0408
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0203,-0.0135
ringfk_01_R,0.7799,0.6211,0.0766,0.0106
ringfk_02_R,0.6462,0.7631,-0.0007,0.0132
ringfk_03_R,0.6982,0.7115,0.0435,-0.0667
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9969,0.0605,0.0357,-0.0346
collar_L,0.9908,0.1223,-0.0285,0.0506
neckfk,1.0,0.0007,0.0005,-0.0005
headfk,1.0,0.0013,0.0008,-0.0011
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0032,-0.0074
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,-0.0002,-0.0003,0.0001
hip,1.0,0.0,0.0,0.0
