motion_name,SG ASL Depend on Me Var 2026-5-9
pose_name,SG ASL Depend on Me Var 2026-5-9 P2
export_date,2026-5-9
current_frame,56
frame_budget,28

bone_name,w,x,y,z
bicepfk_L,0.8028,0.5341,0.2391,0.1142
forearmfk_L,0.4164,-0.0565,-0.0266,0.907
handfk_L,0.927,0.3192,-0.1962,-0.015
bicepfk_R,0.8587,0.4953,-0.1316,-0.0052
forearmfk_R,0.4532,-0.0534,0.0282,-0.8894
handfk_R,0.8159,0.4818,0.2973,-0.1178
thighfk_L,0.9997,-0.0101,-0.024,0.0002
shinfk_L,0.9996,0.0271,0.0089,0.0042
footfk_L,0.0289,-0.0264,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0101,0.0245,-0.0002
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.029,-0.0263,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8083,0.4038,0.3995,0.155
thumbfk_02_L,0.99,0.1036,-0.0314,-0.091
thumbfk_03_L,0.9902,0.1191,-0.0408,-0.0607
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.02
pinkyfk_01_L,0.8383,0.5295,-0.1173,0.0556
pinkyfk_02_L,0.7056,0.708,0.0003,-0.0292
pinkyfk_03_L,0.6467,0.7537,-0.0716,0.0924
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9997,0.0,0.0177,-0.0177
indexfk_01_L,0.9842,0.1765,0.0059,-0.0127
indexfk_02_L,0.9993,0.0363,-0.0,-0.0
indexfk_03_L,1.0,-0.008,-0.0,-0.0004
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0068,-0.0068
middlefk_01_L,0.7783,0.6247,-0.0579,-0.0262
middlefk_02_L,0.7393,0.6731,-0.018,0.0079
middlefk_03_L,0.7438,0.6669,-0.0281,-0.0364
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0181,0.012
ringfk_01_L,0.8236,0.564,-0.0589,-0.0059
ringfk_02_L,0.7071,0.707,0.0001,-0.0132
ringfk_03_L,0.7678,0.6358,-0.0368,0.0701
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.804,0.4075,-0.4058,-0.1511
thumbfk_02_R,0.9897,0.1045,0.0314,0.0932
thumbfk_03_R,0.9901,0.1196,0.0412,0.0604
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0197
pinkyfk_01_R,0.8433,0.5218,0.1175,-0.0515
pinkyfk_02_R,0.706,0.7076,-0.0002,0.0292
pinkyfk_03_R,0.6424,0.7574,0.0718,-0.0921
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0007,0.0007
indexfk_01_R,0.9967,0.0072,-0.0065,-0.0803
indexfk_02_R,0.9999,0.0168,0.0,-0.0
indexfk_03_R,0.9998,0.0205,0.0,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0068,0.0068
middlefk_01_R,0.7776,0.6264,0.0506,0.02
middlefk_02_R,0.7561,0.6542,0.0176,-0.0086
middlefk_03_R,0.7474,0.6628,0.0282,0.0362
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0179,-0.0119
ringfk_01_R,0.8262,0.56,0.0611,0.0054
ringfk_02_R,0.7094,0.7047,-0.0,0.0132
ringfk_03_R,0.7814,0.619,0.0344,-0.0714
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9968,0.0693,0.0359,-0.0184
collar_L,0.9922,0.1131,-0.0186,0.0487
neckfk,1.0,0.0003,-0.0013,0.0002
headfk,1.0,0.0007,-0.0023,0.0009
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0002,0.0005,-0.0005
chest_3,0.9998,-0.0195,-0.0026,-0.008
chest_2,1.0,-0.0002,0.0005,-0.0007
chest_1,1.0,-0.0005,0.0012,-0.0015
hip,1.0,0.0013,0.0003,-0.0
