motion_name,SG ASL Dependent 2026-5-18 metarig A
pose_name,SG ASL Dependent 2026-5-18 metarig A P4
export_date,2026-5-18
current_frame,93
frame_budget,18

bone_name,w,x,y,z
spine,0.9911,-0.1328,0.0104,-0.0007
spine.001,0.9977,0.0656,0.0186,-0.001
spine.002,0.9966,0.078,0.0257,0.0009
spine.003,0.9996,-0.0234,-0.0125,-0.0078
spine.004,0.98,-0.1988,0.0059,-0.0014
spine.005,0.9948,0.0999,-0.0163,0.0057
spine.006,0.9945,0.1003,-0.0265,0.0172
face,1.0,0.0,-0.0,0.0
nose,1.0,-0.0,0.0,-0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,0.0,0.0,-0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,0.0,0.0,0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,-0.0,0.0,-0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,0.0,0.0,-0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,0.0,-0.0
ear.L.004,1.0,-0.0,-0.0,-0.0
ear.R,1.0,-0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,-0.0,-0.0,-0.0
ear.R.003,1.0,0.0,0.0,0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,-0.0,0.0
lip.T.R.001,1.0,0.0,-0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,0.0,0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,-0.0
lid.T.L,1.0,0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,0.0,0.0,0.0
lid.T.L.003,1.0,0.0,0.0,-0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,-0.0,-0.0,-0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,0.0,-0.0,-0.0
lid.T.R.003,1.0,0.0,0.0,-0.0
lid.B.R,1.0,0.0,0.0,0.0
lid.B.R.001,1.0,0.0,-0.0,0.0
lid.B.R.002,1.0,0.0,0.0,-0.0
lid.B.R.003,1.0,0.0,-0.0,-0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,0.0
brow.T.L,1.0,0.0,0.0,-0.0
brow.T.L.001,1.0,0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,-0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,-0.0,0.0,0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,-0.0,0.0,0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,-0.0,-0.0,-0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,-0.0,-0.0,0.0
cheek.B.R,1.0,0.0,0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,-0.0,0.0,0.0
brow.T.R.001,1.0,0.0,-0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,0.0
brow.T.R.003,1.0,-0.0,-0.0,0.0
eye.L,1.0,-0.0,0.0,-0.0
eye.R,1.0,-0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,-0.0,0.0,0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,-0.0,-0.0,-0.0
nose.R.001,1.0,0.0,0.0,-0.0
teeth.T,1.0,0.0,-0.0,-0.0
teeth.B,1.0,0.0,-0.0,-0.0
tongue,1.0,-0.0,-0.0,0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,0.0,-0.0,0.0
shoulder.L,1.0,-0.0,-0.0,0.0
upper_arm.L,0.4388,0.6245,0.6425,0.0672
forearm.L,0.8845,-0.1781,0.0193,0.4307
hand.L,0.6503,0.3616,0.6644,0.0702
palm.01.L,0.5535,-0.144,-0.778,-0.2601
f_index.01.L,0.9918,-0.0855,0.093,-0.0191
f_index.02.L,0.9983,-0.0565,0.0147,0.0021
f_index.03.L,0.9922,-0.12,0.0075,0.0327
thumb.01.L,0.9414,0.1118,0.009,0.318
thumb.02.L,0.9964,-0.0029,-0.0832,-0.0136
thumb.03.L,0.845,0.5218,-0.0945,0.0697
palm.02.L,0.5745,-0.0258,-0.7753,-0.2612
f_middle.01.L,0.8851,0.46,-0.0626,0.034
f_middle.02.L,0.8035,0.5948,0.0225,-0.0095
f_middle.03.L,0.7852,0.6186,0.0038,-0.0264
palm.03.L,0.5713,0.0661,-0.7711,-0.2732
f_ring.01.L,0.9421,0.3336,0.0029,0.0338
f_ring.02.L,0.7498,0.661,0.0287,-0.0112
f_ring.03.L,0.8748,0.4789,0.0343,0.065
palm.04.L,0.5699,0.2102,-0.7404,-0.2879
f_pinky.01.L,0.9508,0.2393,0.1043,0.167
f_pinky.02.L,0.7267,0.6867,0.0108,-0.0131
f_pinky.03.L,0.7481,0.6587,-0.0268,0.0762
shoulder.R,1.0,-0.0,0.0,-0.0
upper_arm.R,0.5119,0.5036,-0.6938,0.0542
forearm.R,0.7825,-0.1718,-0.0533,-0.596
hand.R,0.7991,0.2463,-0.5483,-0.0145
palm.01.R,0.6342,-0.1579,0.7312,0.1956
f_index.01.R,0.9922,-0.0988,0.0248,-0.0723
f_index.02.R,0.9975,-0.0691,-0.0147,-0.0023
f_index.03.R,0.9949,-0.095,-0.0084,-0.0325
thumb.01.R,0.9448,0.0762,-0.0636,-0.3124
thumb.02.R,0.9966,-0.0043,0.0809,0.0135
thumb.03.R,0.8461,0.5205,0.0928,-0.0676
palm.02.R,0.6565,-0.0426,0.7257,0.2014
f_middle.01.R,0.9011,0.4286,0.0559,-0.0344
f_middle.02.R,0.8164,0.5769,-0.0233,0.0081
f_middle.03.R,0.7949,0.6061,-0.0037,0.0258
palm.03.R,0.654,0.0468,0.7247,0.212
f_ring.01.R,0.9484,0.3147,0.0002,-0.038
f_ring.02.R,0.7482,0.6627,-0.0287,0.0113
f_ring.03.R,0.8835,0.4621,-0.0364,-0.0668
palm.04.R,0.6629,0.1514,0.7029,0.2088
f_pinky.01.R,0.9661,0.199,-0.0696,-0.1491
f_pinky.02.R,0.7322,0.6809,-0.0107,0.013
f_pinky.03.R,0.7402,0.6675,0.027,-0.0756
breast.L,1.0,0.0,0.0,0.0
breast.R,1.0,0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,0.012,-0.0004,-0.9833,-0.1816
shin.L,0.9953,-0.0899,-0.0368,0.0031
foot.L,0.4587,0.8878,0.0369,-0.0029
toe.L,0.9988,-0.0355,-0.0327,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,-0.0084,-0.0048,0.9829,0.1837
shin.R,0.9953,-0.0899,0.0372,-0.0033
foot.R,0.4568,0.8888,-0.037,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
