motion_name,SG ASL Deplete 2026-5-18
pose_name,SG ASL Deplete 2026-5-18 P1
export_date,2026-5-18
current_frame,42
frame_budget,42

bone_name,w,x,y,z
bicepfk_L,0.7847,0.576,0.1761,0.1463
forearmfk_L,0.6591,-0.0446,-0.0442,0.7495
handfk_L,0.7377,-0.0911,-0.6676,-0.0422
bicepfk_R,0.7422,0.6114,-0.1249,-0.2446
forearmfk_R,0.7338,-0.0408,0.0477,-0.6764
handfk_R,0.9156,0.3654,0.1182,-0.1189
thighfk_L,0.9993,-0.014,-0.0347,0.0011
shinfk_L,0.9996,0.027,0.0086,0.0042
footfk_L,0.0289,-0.0265,0.9991,0.0172
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0118,0.0137,0.0008
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.029,-0.0263,-0.999,-0.02
toefk_R,1.0,0.0006,-0.0001,0.0
thumbfk_01_L,0.9362,0.034,0.2686,0.2242
thumbfk_02_L,0.9909,0.0966,-0.0917,-0.0174
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0013
pinkyfk_01_L,0.9912,0.0448,-0.0838,-0.0927
pinkyfk_02_L,0.9992,0.0387,-0.0,-0.0004
pinkyfk_03_L,0.9997,-0.0251,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0031,-0.0031
indexfk_01_L,0.9995,0.0307,0.0024,-0.0042
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,0.998,0.0631,-0.0,-0.0005
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0005,0.0001,-0.0
middlefk_02_L,1.0,-0.0008,-0.0,0.0
middlefk_03_L,0.9995,0.0325,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0006,0.0004
ringfk_01_L,0.9957,0.0242,-0.0717,-0.0538
ringfk_02_L,0.9994,0.0341,-0.0,0.0
ringfk_03_L,0.9994,0.0345,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9702,0.1518,-0.1761,-0.0689
thumbfk_02_R,0.9968,0.0691,0.0209,0.035
thumbfk_03_R,0.9964,0.0815,0.0077,0.0215
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0063
pinkyfk_01_R,0.9828,0.1792,0.0449,-0.001
pinkyfk_02_R,0.9724,0.2333,0.0003,0.0058
pinkyfk_03_R,0.9735,0.2275,0.0093,-0.0228
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,0.0,-0.0147,0.0147
indexfk_01_R,0.9892,0.1464,-0.0034,0.0087
indexfk_02_R,0.9834,0.1815,-0.0035,0.0043
indexfk_03_R,0.9919,0.1272,-0.0037,-0.0047
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0012,0.0012
middlefk_01_R,0.9928,0.1198,0.0065,0.0058
middlefk_02_R,0.9872,0.1596,0.0059,-0.0023
middlefk_03_R,0.9901,0.1401,0.0044,0.0039
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0057,-0.0038
ringfk_01_R,0.9817,0.1901,0.0142,0.0035
ringfk_02_R,0.9697,0.2443,-0.0008,0.0058
ringfk_03_R,0.9799,0.1977,0.0109,-0.0243
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9971,0.0325,0.0649,-0.0246
collar_L,0.9958,0.0726,-0.0198,0.0514
neckfk,0.9997,-0.0098,-0.0219,0.0064
headfk,0.9989,-0.0187,-0.0367,0.0209
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0005,-0.0011,-0.0012
chest_3,0.9998,-0.0186,-0.0047,-0.009
chest_2,1.0,0.0007,-0.0017,-0.0014
chest_1,1.0,0.0016,-0.0038,-0.0034
hip,0.9999,-0.0018,-0.0105,-0.0012
