motion_name,SG ASL Deploy Alt 2026-5-19
pose_name,SG ASL Deploy Alt 2026-5-19 P3
export_date,2026-5-19
current_frame,62
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.7505,0.5621,0.0543,0.3434
forearmfk_L,0.7437,-0.0409,-0.0481,0.6655
handfk_L,0.7821,0.1193,0.6078,-0.068
bicepfk_R,0.7772,0.5611,-0.058,-0.2791
forearmfk_R,0.6247,-0.0449,0.0432,-0.7783
handfk_R,0.8754,-0.1507,0.4547,-0.0644
thighfk_L,0.9996,-0.0113,-0.0242,-0.0
shinfk_L,0.9996,0.0269,0.0091,0.0042
footfk_L,0.029,-0.0261,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0114,0.0243,-0.0004
shinfk_R,0.9996,0.0269,-0.0091,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7977,0.3503,0.4594,0.1732
thumbfk_02_L,0.9727,0.2171,-0.0458,-0.0675
thumbfk_03_L,0.9502,0.2921,0.0755,0.0782
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.0297
pinkyfk_01_L,0.6623,0.7429,-0.0967,-0.0087
pinkyfk_02_L,0.6906,0.7232,0.0003,-0.0003
pinkyfk_03_L,0.813,0.578,0.0558,0.0418
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9945,-0.0,0.0737,-0.0737
indexfk_01_L,0.7401,0.672,-0.0218,-0.0139
indexfk_02_L,0.7709,0.6369,-0.0011,-0.0121
indexfk_03_L,0.8294,0.5569,0.0262,0.035
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0074,-0.0074
middlefk_01_L,0.7404,0.6719,-0.0148,-0.0103
middlefk_02_L,0.7545,0.656,-0.016,0.0116
middlefk_03_L,0.7892,0.6137,-0.0214,-0.0061
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9995,0.0,-0.0258,0.0172
ringfk_01_L,0.6536,0.7561,-0.031,0.0127
ringfk_02_L,0.7852,0.6191,-0.0017,-0.0133
ringfk_03_L,0.7534,0.6518,-0.0309,0.0816
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8696,0.32,-0.3702,-0.0661
thumbfk_02_R,0.9791,0.1802,0.0374,0.087
thumbfk_03_R,0.9802,0.1862,0.0354,0.0574
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0173
pinkyfk_01_R,0.8772,0.4685,0.0846,-0.0621
pinkyfk_02_R,0.7829,0.6215,0.0024,0.0282
pinkyfk_03_R,0.6762,0.7274,0.0682,-0.0946
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9994,-0.0344,-0.004,0.0074
indexfk_02_R,0.9998,0.0158,-0.012,0.0021
indexfk_03_R,0.9999,0.0113,0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9983,-0.0315,0.0423,0.0235
middlefk_02_R,0.9997,0.0148,0.0188,-0.006
middlefk_03_R,1.0,-0.0005,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0167,-0.0111
ringfk_01_R,0.8493,0.5274,0.0235,-0.0031
ringfk_02_R,0.7289,0.6845,0.0004,0.0132
ringfk_03_R,0.7678,0.6359,0.0357,-0.0705
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9931,0.0807,0.0791,-0.0304
collar_L,0.9939,0.0897,-0.043,0.0484
neckfk,1.0,-0.0013,-0.0015,-0.0004
headfk,1.0,-0.0042,-0.0027,0.0001
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0007,0.0018,-0.001
chest_3,0.9997,-0.0209,-0.0009,-0.0088
chest_2,1.0,-0.0016,0.0022,-0.0017
chest_1,1.0,-0.0037,0.005,-0.0036
hip,1.0,0.0,0.0,0.0
