motion_name,SG ASL Deport Alt 2026-5-19
pose_name,SG ASL Deport Alt 2026-5-19 P1
export_date,2026-5-19
current_frame,28
frame_budget,28

bone_name,w,x,y,z
bicepfk_L,0.7452,0.559,-0.0293,0.3625
forearmfk_L,0.7695,-0.0459,-0.0575,0.6344
handfk_L,0.9859,-0.0536,0.068,-0.1433
bicepfk_R,0.8267,0.4356,0.1562,-0.3201
forearmfk_R,0.8661,-0.034,0.0532,-0.4958
handfk_R,0.9453,-0.3121,0.0485,0.082
thighfk_L,0.9996,-0.012,-0.0252,0.0001
shinfk_L,0.9996,0.0271,0.009,0.0038
footfk_L,0.0287,-0.0259,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0118,0.0233,-0.0002
shinfk_R,0.9996,0.0271,-0.0085,-0.0042
footfk_R,0.0291,-0.0262,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9318,0.2282,0.2649,0.0977
thumbfk_02_L,0.9929,0.1031,-0.0291,-0.0508
thumbfk_03_L,0.9927,0.1156,-0.0179,-0.0279
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0052
pinkyfk_01_L,0.9814,0.1413,-0.1242,0.0387
pinkyfk_02_L,0.9409,0.3386,-0.0004,-0.0099
pinkyfk_03_L,0.9408,0.3364,-0.018,0.0379
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9997,-0.0,0.0177,-0.0177
indexfk_01_L,0.9842,0.1762,0.0051,-0.0159
indexfk_02_L,0.9784,0.2066,0.0052,-0.0054
indexfk_03_L,0.9897,0.1427,0.0043,0.0056
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0024,-0.0024
middlefk_01_L,0.9713,0.2371,-0.0134,-0.0102
middlefk_02_L,0.9882,0.1526,-0.0088,0.0034
middlefk_03_L,0.9899,0.1418,-0.005,-0.0045
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0046,0.0031
ringfk_01_L,0.9851,0.1485,-0.0784,0.0381
ringfk_02_L,0.9404,0.34,0.0008,-0.0085
ringfk_03_L,0.9554,0.2928,-0.0165,0.0351
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9318,0.2282,-0.2649,-0.0977
thumbfk_02_R,0.9929,0.1031,0.0291,0.0508
thumbfk_03_R,0.9927,0.1156,0.0179,0.0279
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.006
pinkyfk_01_R,0.9799,0.1702,0.0984,0.033
pinkyfk_02_R,0.9409,0.3386,0.0004,0.0099
pinkyfk_03_R,0.9408,0.3364,0.018,-0.0379
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9997,0.0,-0.0177,0.0177
indexfk_01_R,0.9842,0.1762,-0.0051,0.0159
indexfk_02_R,0.9784,0.2066,-0.0052,0.0054
indexfk_03_R,0.9897,0.1427,-0.0043,-0.0056
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0024,0.0024
middlefk_01_R,0.9713,0.2371,0.0134,0.0102
middlefk_02_R,0.9882,0.1526,0.0088,-0.0034
middlefk_03_R,0.9899,0.1418,0.005,0.0045
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.005,-0.0033
ringfk_01_R,0.9842,0.1646,0.0659,-0.0014
ringfk_02_R,0.9404,0.34,-0.0008,0.0085
ringfk_03_R,0.9554,0.2927,0.0165,-0.0351
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9939,0.018,0.1018,-0.0387
collar_L,0.9885,0.0911,-0.071,0.0978
neckfk,1.0,-0.0013,-0.0011,0.0002
headfk,1.0,-0.0022,-0.0019,0.0008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0194,-0.0024,-0.0072
chest_2,1.0,-0.0001,0.0008,0.0001
chest_1,1.0,0.0,0.0012,-0.0002
hip,1.0,-0.0006,-0.0009,0.0
