motion_name,SG ASL Derail 2026-5-23
pose_name,SG ASL Derail 2026-5-23 P3
export_date,2026-5-23
current_frame,65
frame_budget,33

bone_name,w,x,y,z
bicepfk_L,0.8515,0.4794,0.2126,0.0055
forearmfk_L,0.6093,-0.0475,-0.0389,0.7905
handfk_L,0.9966,0.0571,-0.0575,-0.0152
bicepfk_R,0.822,0.5266,-0.1854,-0.1128
forearmfk_R,0.6981,-0.0428,0.0456,-0.7132
handfk_R,0.9476,-0.3066,0.03,0.0851
thighfk_L,0.9997,-0.0109,-0.0236,0.0002
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0263,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.011,0.0249,-0.0002
shinfk_R,0.9996,0.027,-0.0086,-0.0042
footfk_R,0.0286,-0.0267,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7834,0.4244,0.422,0.1676
thumbfk_02_L,0.9891,0.107,-0.0316,-0.0958
thumbfk_03_L,0.9909,0.112,-0.0341,-0.0671
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.0209
pinkyfk_01_L,0.8248,0.5506,-0.1195,0.0486
pinkyfk_02_L,0.6862,0.7268,0.0006,-0.0299
pinkyfk_03_L,0.6343,0.7639,-0.0739,0.0931
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0019,0.0058,0.0022
indexfk_02_L,1.0,-0.0005,0.0,0.0
indexfk_03_L,1.0,-0.0005,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.007,-0.007
middlefk_01_L,0.7613,0.6451,-0.0605,-0.0266
middlefk_02_L,0.7349,0.6779,-0.0185,0.0078
middlefk_03_L,0.7335,0.6781,-0.028,-0.0374
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,-0.0,-0.0187,0.0125
ringfk_01_L,0.8105,0.582,-0.0656,-0.0068
ringfk_02_L,0.6972,0.7167,0.0002,-0.0135
ringfk_03_L,0.764,0.6402,-0.0364,0.072
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7825,0.425,-0.4316,-0.1443
thumbfk_02_R,0.9895,0.1059,0.031,0.0937
thumbfk_03_R,0.9911,0.1095,0.0323,0.0687
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,-0.0,-0.0,-0.021
pinkyfk_01_R,0.8232,0.5533,0.1157,-0.0536
pinkyfk_02_R,0.6648,0.7464,-0.0012,0.0301
pinkyfk_03_R,0.6119,0.782,0.0765,-0.091
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9993,-0.0115,-0.0057,-0.0364
indexfk_02_R,0.9989,-0.0476,-0.0002,0.0
indexfk_03_R,0.9997,-0.0233,-0.0002,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0071,0.0071
middlefk_01_R,0.7601,0.6461,0.0632,0.0295
middlefk_02_R,0.7091,0.7048,0.0189,-0.007
middlefk_03_R,0.7,0.7126,0.0262,0.0387
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0184,-0.0123
ringfk_01_R,0.8168,0.5735,0.0625,0.008
ringfk_02_R,0.6707,0.7416,-0.0007,0.0134
ringfk_03_R,0.7345,0.6738,0.0396,-0.0703
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9973,0.0533,0.0395,0.0321
collar_L,0.9954,0.0926,-0.0203,0.0102
neckfk,1.0,-0.0005,-0.0002,0.0005
headfk,1.0,-0.0012,-0.0001,0.0011
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0033,-0.0076
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0,-0.0003,-0.0002
hip,1.0,0.0003,0.0006,0.0
