motion_name,SG ASL Descend Ladder 2026-5-24
pose_name,SG ASL Descend Ladder 2026-5-24 P2
export_date,2026-5-24
current_frame,54
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.7783,0.1667,-0.309,0.5206
forearmfk_L,0.812,-0.026,-0.0458,0.5812
handfk_L,0.8666,-0.1664,0.4699,0.0213
bicepfk_R,0.8365,0.2102,0.2898,-0.4148
forearmfk_R,0.8176,-0.0343,0.0544,-0.5722
handfk_R,0.9085,-0.0266,-0.4118,0.0661
thighfk_L,0.9995,-0.0089,-0.0298,-0.0007
shinfk_L,0.9996,0.0269,0.0097,0.0041
footfk_L,0.0291,-0.0258,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0078,0.0187,-0.0012
shinfk_R,0.9996,0.0267,-0.008,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9486,0.2969,-0.0938,-0.0569
thumbfk_02_L,0.9985,0.0021,0.0526,-0.0117
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0115
pinkyfk_01_L,0.9449,0.3215,-0.0615,-0.0002
pinkyfk_02_L,0.9401,0.3202,-0.1075,-0.0456
pinkyfk_03_L,0.9454,0.3258,0.0,0.0001
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9996,0.0,0.0212,-0.0212
indexfk_01_L,0.9723,0.2132,-0.0288,-0.0913
indexfk_02_L,0.9134,0.4062,0.0049,0.0245
indexfk_03_L,0.9455,0.3256,0.0,0.0
indexfk_04_L,0.9977,0.0683,-0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0031,-0.0031
middlefk_01_L,0.95,0.3072,-0.0358,-0.0435
middlefk_02_L,0.9061,0.4095,-0.1063,-0.0061
middlefk_03_L,0.9583,0.2833,-0.0142,-0.0354
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0105,0.007
ringfk_01_L,0.9383,0.3419,-0.0476,-0.0208
ringfk_02_L,0.9311,0.3537,-0.0881,-0.0141
ringfk_03_L,0.9455,0.3255,0.0,0.0001
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6387,0.469,-0.5056,-0.3413
thumbfk_02_R,0.9656,0.2324,0.1096,0.0405
thumbfk_03_R,0.9065,0.3796,0.0552,-0.1764
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9993,0.0,0.0,-0.0372
pinkyfk_01_R,0.4869,0.868,0.0956,-0.0168
pinkyfk_02_R,0.5208,0.8537,0.0006,0.003
pinkyfk_03_R,0.6881,0.7236,-0.0369,-0.041
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9911,0.0,-0.0945,0.0945
indexfk_01_R,0.586,0.8102,0.0088,-0.0112
indexfk_02_R,0.5713,0.8207,-0.0015,0.0103
indexfk_03_R,0.709,0.7043,-0.015,-0.0332
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0087,0.0087
middlefk_01_R,0.6463,0.7627,0.0238,-0.0013
middlefk_02_R,0.615,0.7884,0.0135,-0.0068
middlefk_03_R,0.6099,0.7923,0.0156,0.008
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9993,0.0,0.0315,-0.021
ringfk_01_R,0.496,0.8668,0.0399,-0.034
ringfk_02_R,0.6645,0.7472,-0.0008,0.0104
ringfk_03_R,0.5541,0.8297,0.0432,-0.052
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.99,-0.0238,0.1389,-0.0104
collar_L,0.9981,0.0489,-0.0368,-0.0109
neckfk,0.9998,-0.0038,-0.021,-0.0056
headfk,0.9992,-0.0074,-0.0403,-0.002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.001,0.0054,0.0006
chest_3,0.9998,-0.0184,0.0041,-0.0064
chest_2,1.0,0.0008,0.0074,0.0001
chest_1,0.9999,0.0022,0.0166,0.0002
hip,1.0,0.0032,-0.0055,0.0009
