motion_name,SG ASL Descend Stairs Alt 2026-5-24
pose_name,SG ASL Descend Stairs Alt 2026-5-24 P6
export_date,2026-5-24
current_frame,81
frame_budget,9

bone_name,w,x,y,z
bicepfk_L,0.694,0.6574,0.2937,-0.0033
forearmfk_L,0.8619,-0.0299,-0.0554,0.5032
handfk_L,0.9098,0.2069,0.3503,-0.0822
bicepfk_R,0.773,0.632,-0.0511,-0.02
forearmfk_R,0.7173,-0.0455,0.0508,-0.6934
handfk_R,0.7416,0.4022,-0.4225,0.3312
thighfk_L,0.9994,-0.0199,-0.0273,0.0018
shinfk_L,0.9996,0.0269,0.0087,0.0042
footfk_L,0.0289,-0.0262,0.9991,0.0181
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0191,0.0211,0.0019
shinfk_R,0.9996,0.0269,-0.0091,-0.0042
footfk_R,0.029,-0.0265,-0.999,-0.0207
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,-0.0005,0.0,-0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,-0.0003,0.0,0.0001
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,0.0043,0.0017,0.003
thumbfk_02_R,1.0,-0.0043,-0.0047,-0.0001
thumbfk_03_R,1.0,0.0003,0.0003,-0.0002
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0149
pinkyfk_01_R,0.9043,0.408,0.0613,-0.1092
pinkyfk_02_R,0.8227,0.5684,0.0,0.0058
pinkyfk_03_R,0.9215,0.3883,-0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9992,0.0,-0.0291,0.0291
indexfk_01_R,0.9563,0.2879,-0.0319,-0.0398
indexfk_02_R,1.0,0.0049,0.0,0.0
indexfk_03_R,1.0,0.0064,0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9983,-0.0517,0.0279,-0.0042
middlefk_02_R,1.0,-0.0023,0.0,0.0
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0174,-0.0116
ringfk_01_R,0.8351,0.5439,0.0826,0.0039
ringfk_02_R,0.7517,0.6595,0.0,-0.0001
ringfk_03_R,0.9026,0.4305,-0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9785,-0.0501,0.1642,-0.114
collar_L,0.9862,0.0171,-0.0427,0.1593
neckfk,0.9999,-0.0085,-0.0095,0.0096
headfk,0.9996,-0.0161,-0.0132,0.0212
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0016,-0.0017,-0.0036
chest_3,0.9998,-0.0172,-0.0054,-0.0122
chest_2,1.0,0.0023,-0.0029,-0.0044
chest_1,0.9999,0.005,-0.0062,-0.0102
hip,1.0,-0.0089,-0.0032,-0.0021
