motion_name,SG ASL Descendant 2026-5-25
pose_name,SG ASL Descendant 2026-5-25 P1
export_date,2026-5-25
current_frame,39
frame_budget,39

bone_name,w,x,y,z
bicepfk_L,0.8383,0.3322,0.2135,0.3758
forearmfk_L,0.4644,-0.0541,-0.0376,0.8832
handfk_L,0.9692,0.2212,0.0482,-0.0969
bicepfk_R,0.9174,0.3432,0.1907,-0.0651
forearmfk_R,0.4298,-0.0481,0.0371,-0.9009
handfk_R,0.9472,0.2798,0.1014,-0.1191
thighfk_L,0.9996,-0.0147,-0.0248,0.0007
shinfk_L,0.9996,0.0269,0.0091,0.0042
footfk_L,0.0289,-0.0264,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0145,0.0237,0.0005
shinfk_R,0.9996,0.027,-0.0087,-0.0043
footfk_R,0.029,-0.0265,-0.999,-0.0194
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8636,0.201,0.4523,0.0959
thumbfk_02_L,0.9851,0.1182,-0.1076,-0.0638
thumbfk_03_L,0.9332,0.3097,-0.0733,-0.1669
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,-0.0,-0.0006
pinkyfk_01_L,0.9989,0.0185,-0.0215,-0.0376
pinkyfk_02_L,0.9978,0.0656,0.0078,-0.0082
pinkyfk_03_L,0.9983,0.053,0.0034,0.0258
pinkyfk_04_L,0.9988,0.0491,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.002,-0.002
indexfk_01_L,0.9675,-0.0012,0.2399,-0.08
indexfk_02_L,0.9968,0.0796,0.009,-0.0021
indexfk_03_L,0.9986,0.0519,-0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9962,-0.0019,-0.0618,-0.0618
middlefk_02_L,0.9962,0.086,-0.0141,0.0051
middlefk_03_L,0.9987,0.0506,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9996,-0.0069,0.0084,-0.0249
ringfk_02_L,0.997,0.076,0.0036,-0.0109
ringfk_03_L,0.9991,0.043,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8471,0.2267,-0.4684,-0.108
thumbfk_02_R,0.9833,0.1249,0.1142,0.0663
thumbfk_03_R,0.9315,0.314,0.0747,0.1674
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0006
pinkyfk_01_R,0.9987,0.0188,0.0226,0.042
pinkyfk_02_R,0.9977,0.0671,-0.0078,0.0082
pinkyfk_03_R,0.9982,0.0538,-0.0033,-0.0258
pinkyfk_04_R,0.9988,0.0491,0.0,0.0
indexinte_metacarpal_R,1.0,-0.0,-0.0031,0.0031
indexfk_01_R,0.9674,0.01,-0.243,0.0712
indexfk_02_R,0.9971,0.0751,-0.009,0.0021
indexfk_03_R,0.9987,0.0511,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0001,0.0
middlefk_01_R,0.9963,0.0129,0.0566,0.0641
middlefk_02_R,0.997,0.076,0.0141,-0.0053
middlefk_03_R,0.9987,0.0516,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0001,-0.0001
ringfk_01_R,0.9998,0.0037,-0.0075,0.0206
ringfk_02_R,0.997,0.0759,-0.0035,0.0109
ringfk_03_R,0.9994,0.0357,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9954,0.0076,0.0948,-0.0122
collar_L,0.9933,0.0902,-0.0363,0.0619
neckfk,1.0,-0.0004,0.0005,0.0014
headfk,1.0,-0.0008,0.0016,0.0025
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0006,-0.0018,-0.0008
chest_3,0.9997,-0.0201,-0.0057,-0.0085
chest_2,1.0,-0.0008,-0.0026,-0.0008
chest_1,1.0,-0.0017,-0.0059,-0.0018
hip,1.0,-0.0035,-0.0006,-0.0007
