motion_name,SG ASL Descendant 2026-5-25 metarig A
pose_name,SG ASL Descendant 2026-5-25 metarig A P1
export_date,2026-5-25
current_frame,39
frame_budget,39

bone_name,w,x,y,z
spine,0.9916,-0.1293,-0.0007,-0.0006
spine.001,0.998,0.0628,-0.0058,-0.0021
spine.002,0.9969,0.0767,0.015,0.0004
spine.003,0.9994,-0.0246,-0.0232,-0.0089
spine.004,0.9799,-0.1997,-0.0019,-0.0004
spine.005,0.9952,0.0973,0.0003,0.0015
spine.006,0.9954,0.0954,0.002,0.0027
face,1.0,-0.0,-0.0,0.0
nose,1.0,-0.0,0.0,-0.0
nose.001,1.0,0.0,-0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,-0.0,-0.0,-0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,-0.0
lip.B.L,1.0,-0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,-0.0,-0.0
jaw,1.0,-0.0,-0.0,-0.0
chin,1.0,-0.0,0.0,-0.0
chin.001,1.0,0.0,-0.0,0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,0.0,0.0,0.0
ear.L.002,1.0,-0.0,0.0,0.0
ear.L.003,1.0,0.0,-0.0,-0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,0.0,0.0,0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.L,1.0,0.0,-0.0,-0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,0.0
brow.B.L.003,1.0,0.0,-0.0,-0.0
lid.T.L,1.0,0.0,0.0,0.0
lid.T.L.001,1.0,-0.0,0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,-0.0
lid.B.L,1.0,-0.0,-0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,0.0
brow.B.R,1.0,0.0,-0.0,-0.0
brow.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,0.0,-0.0
brow.B.R.003,1.0,0.0,-0.0,-0.0
lid.T.R,1.0,0.0,-0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,-0.0,0.0,0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,0.0,0.0,-0.0
lid.B.R.002,1.0,0.0,0.0,-0.0
lid.B.R.003,1.0,0.0,-0.0,-0.0
forehead.L,1.0,-0.0,-0.0,0.0
forehead.L.001,1.0,-0.0,0.0,0.0
forehead.L.002,1.0,0.0,0.0,-0.0
temple.L,1.0,0.0,-0.0,0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,-0.0,0.0,-0.0
brow.T.L.001,1.0,0.0,-0.0,-0.0
brow.T.L.002,1.0,-0.0,-0.0,-0.0
brow.T.L.003,1.0,0.0,0.0,-0.0
forehead.R,1.0,0.0,-0.0,0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,-0.0
temple.R,1.0,0.0,-0.0,0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,-0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,0.0
cheek.B.R.001,1.0,-0.0,-0.0,-0.0
brow.T.R,1.0,0.0,-0.0,0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,0.0,0.0,-0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,0.0,0.0,-0.0
eye.R,1.0,0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,0.0,-0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,-0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,-0.0,-0.0,0.0
nose.R,1.0,-0.0,0.0,0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,-0.0,-0.0,-0.0
teeth.B,1.0,-0.0,-0.0,-0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,-0.0,0.0,0.0
tongue.002,1.0,0.0,0.0,-0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.3762,0.4629,0.7598,0.2585
forearm.L,0.4234,-0.1276,0.1193,0.889
hand.L,0.794,0.4598,-0.3924,-0.0647
palm.01.L,0.8747,-0.2426,-0.2968,-0.2964
f_index.01.L,0.9707,-0.1004,0.1912,-0.1052
f_index.02.L,0.9997,-0.0064,0.0236,-0.0015
f_index.03.L,0.9975,-0.0622,0.0095,0.0325
thumb.01.L,0.9951,-0.0322,-0.0147,0.0925
thumb.02.L,0.9928,-0.0069,-0.1198,0.0009
thumb.03.L,0.9348,0.3211,-0.089,-0.1234
palm.02.L,0.8831,-0.1717,-0.3036,-0.3139
f_middle.01.L,0.9774,-0.1879,-0.0944,-0.0201
f_middle.02.L,0.999,-0.034,0.026,0.0156
f_middle.03.L,0.9996,-0.0078,0.021,0.0191
palm.03.L,0.8853,-0.1248,-0.3028,-0.33
f_ring.01.L,0.9636,-0.2605,0.0263,0.0531
f_ring.02.L,0.9997,0.0014,0.0252,0.0079
f_ring.03.L,0.9919,-0.1141,0.0428,0.0349
palm.04.L,0.8731,-0.0802,-0.326,-0.3536
f_pinky.01.L,0.9419,-0.3003,0.0807,0.1273
f_pinky.02.L,0.9994,0.0335,0.0082,0.0081
f_pinky.03.L,0.9982,-0.0382,0.0266,0.039
shoulder.R,1.0,0.0,-0.0,-0.0
upper_arm.R,0.8192,0.3091,-0.4737,-0.095
forearm.R,0.3899,-0.1156,-0.1229,-0.9053
hand.R,0.555,0.516,0.5908,-0.2768
palm.01.R,0.8934,-0.0497,0.1651,0.4149
f_index.01.R,0.9721,-0.0898,-0.1945,0.0951
f_index.02.R,0.9997,-0.011,-0.0236,0.0015
f_index.03.R,0.9974,-0.0631,-0.0094,-0.0325
thumb.01.R,0.9936,-0.0144,-0.0089,-0.1121
thumb.02.R,0.992,0.0003,0.1262,0.0007
thumb.03.R,0.933,0.3255,0.0902,0.1239
palm.02.R,0.8882,0.0069,0.1545,0.4327
f_middle.01.R,0.9805,-0.1735,0.0894,0.0229
f_middle.02.R,0.9986,-0.0441,-0.0259,-0.0162
f_middle.03.R,0.9996,-0.0069,-0.021,-0.0191
palm.03.R,0.8842,0.0285,0.1277,0.4484
f_ring.01.R,0.9661,-0.2502,-0.0274,-0.0571
f_ring.02.R,0.9996,0.0014,-0.0252,-0.0079
f_ring.03.R,0.9911,-0.1213,-0.0425,-0.0352
palm.04.R,0.8712,0.0477,0.1314,0.4706
f_pinky.01.R,0.9427,-0.3005,-0.0778,-0.1224
f_pinky.02.R,0.9993,0.035,-0.0082,-0.0081
f_pinky.03.R,0.9982,-0.0374,-0.0265,-0.039
breast.L,1.0,0.0,0.0,-0.0
breast.R,1.0,0.0,0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0013,-0.0033,-0.9837,-0.1796
shin.L,0.9953,-0.09,-0.0365,0.0032
foot.L,0.4571,0.8886,0.0369,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,0.0023,-0.0019,0.9838,0.1795
shin.R,0.9953,-0.0899,0.037,-0.0033
foot.R,0.458,0.8882,-0.0369,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,0.0,0.0
