motion_name,SG ASL Describe 2 2026-5-25
pose_name,SG ASL Describe 2 2026-5-25 P6
export_date,2026-5-25
current_frame,108
frame_budget,17

bone_name,w,x,y,z
bicepfk_L,0.8324,0.5137,0.1211,0.1694
forearmfk_L,0.7095,-0.0411,-0.0437,0.7022
handfk_L,0.9989,-0.0297,0.003,-0.0348
bicepfk_R,0.7609,0.5861,-0.2159,-0.1755
forearmfk_R,0.7058,-0.0353,0.0413,-0.7063
handfk_R,0.9746,-0.1677,-0.1056,0.1041
thighfk_L,0.9997,-0.0109,-0.0206,0.0002
shinfk_L,0.9996,0.027,0.0089,0.0041
footfk_L,0.0288,-0.0261,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0116,0.0279,-0.0002
shinfk_R,0.9996,0.027,-0.0086,-0.0042
footfk_R,0.0288,-0.0264,-0.9991,-0.0182
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6412,0.2354,0.5851,0.437
thumbfk_02_L,0.9496,0.288,-0.1054,-0.0655
thumbfk_03_L,0.9651,0.2401,-0.0998,-0.03
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0068
pinkyfk_01_L,0.9533,-0.1504,-0.2213,-0.14
pinkyfk_02_L,0.9964,0.0847,0.0001,-0.0006
pinkyfk_03_L,0.9963,0.0861,-0.001,0.0018
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9984,-0.0,0.0401,-0.0401
indexfk_01_L,0.9201,0.3906,0.0261,0.0135
indexfk_02_L,0.8525,0.5224,-0.0101,-0.0168
indexfk_03_L,0.9563,0.2921,0.0044,0.0063
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0019,-0.0019
middlefk_01_L,0.9813,0.1876,0.0287,-0.033
middlefk_02_L,0.9956,0.0934,-0.0007,0.0003
middlefk_03_L,0.9963,0.086,-0.0005,-0.0013
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0004,0.0003
ringfk_01_L,0.9954,0.017,-0.0849,-0.0411
ringfk_02_L,0.993,0.1176,0.0042,-0.0141
ringfk_03_L,0.9968,0.0793,-0.0003,0.0016
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6394,0.2299,-0.59,-0.4361
thumbfk_02_R,0.95,0.2875,0.1036,0.0649
thumbfk_03_R,0.9658,0.2369,0.1005,0.0307
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0067
pinkyfk_01_R,0.9533,-0.1479,0.2203,0.1442
pinkyfk_02_R,0.9964,0.0847,-0.0001,0.0006
pinkyfk_03_R,0.9963,0.0863,0.001,-0.0018
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9983,0.0,-0.0407,0.0407
indexfk_01_R,0.9177,0.3962,-0.0261,-0.0142
indexfk_02_R,0.8507,0.5253,0.01,0.0168
indexfk_03_R,0.9554,0.2951,-0.0044,-0.0063
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0019,0.0019
middlefk_01_R,0.982,0.1848,-0.031,0.024
middlefk_02_R,0.9957,0.0922,0.0007,-0.0003
middlefk_03_R,0.9964,0.085,0.0005,0.0013
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0004,-0.0003
ringfk_01_R,0.9952,0.0177,0.0846,0.046
ringfk_02_R,0.9933,0.1144,-0.0041,0.0142
ringfk_03_R,0.9966,0.0822,0.0003,-0.0016
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9977,0.0587,0.029,-0.0162
collar_L,0.9932,0.1056,-0.0117,0.0482
neckfk,1.0,0.0014,0.001,-0.0011
headfk,1.0,0.0031,0.0013,-0.003
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0194,-0.0033,-0.0072
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,-0.0003,-0.0002,0.0003
hip,1.0,0.0001,0.0037,0.0
