motion_name,SG ASL Desert 1H 2026-5-26 metarig A
pose_name,SG ASL Desert 1H 2026-5-26 metarig A P3
export_date,2026-5-26
current_frame,49
frame_budget,10

bone_name,w,x,y,z
spine,0.9919,-0.1253,0.0207,-0.002
spine.001,0.9977,0.0675,-0.0043,-0.0038
spine.002,0.9968,0.0787,0.0156,-0.0004
spine.003,0.9994,-0.0225,-0.0228,-0.0096
spine.004,0.9802,-0.1982,-0.0016,-0.001
spine.005,0.9955,0.0942,0.0121,-0.0061
spine.006,0.9957,0.0886,0.0203,-0.0154
face,1.0,-0.0,0.0,-0.0
nose,1.0,-0.0,-0.0,-0.0
nose.001,1.0,-0.0,-0.0,-0.0
nose.002,1.0,-0.0,0.0,-0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,0.0,0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,-0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,-0.0,-0.0,0.0
jaw,1.0,-0.0,0.0,0.0
chin,1.0,-0.0,-0.0,-0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,0.0,0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,0.0,0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,0.0
ear.R.002,1.0,-0.0,0.0,0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,0.0,-0.0,0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,0.0,-0.0,0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,0.0
lid.B.L,1.0,-0.0,-0.0,-0.0
lid.B.L.001,1.0,-0.0,-0.0,-0.0
lid.B.L.002,1.0,-0.0,-0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,0.0,0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,0.0
lid.B.R,1.0,0.0,0.0,-0.0
lid.B.R.001,1.0,-0.0,-0.0,0.0
