motion_name,SG ASL Desert 2026-5-28
pose_name,SG ASL Desert 2026-5-28 P1
export_date,2026-5-28
current_frame,39
frame_budget,39

bone_name,w,x,y,z
bicepfk_L,0.7203,0.5692,0.365,0.1549
forearmfk_L,0.859,-0.0319,-0.0543,0.5081
handfk_L,0.9039,0.2585,0.3261,-0.0987
bicepfk_R,0.8061,0.3952,0.1525,-0.4132
forearmfk_R,0.4518,-0.0601,0.02,-0.8898
handfk_R,0.9232,0.334,0.1719,0.0806
thighfk_L,0.9997,-0.0124,-0.0216,0.0001
shinfk_L,0.9996,0.027,0.0087,0.0042
footfk_L,0.029,-0.0262,0.9991,0.019
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0129,0.0269,-0.0002
shinfk_R,0.9996,0.027,-0.009,-0.0043
footfk_R,0.0289,-0.0266,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8067,0.4049,-0.4065,-0.1416
thumbfk_02_R,0.9895,0.1041,0.0294,0.0956
thumbfk_03_R,0.9917,0.1024,0.0274,0.073
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0199
pinkyfk_01_R,0.8396,0.527,0.1206,-0.0537
pinkyfk_02_R,0.7105,0.7031,0.0001,0.03
pinkyfk_03_R,0.6444,0.7554,0.0726,-0.0941
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,1.0,-0.0029,-0.004,-0.0026
indexfk_02_R,1.0,0.0,-0.0021,0.0019
indexfk_03_R,0.9999,0.0106,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.007,0.007
middlefk_01_R,0.7638,0.6426,0.0553,0.0231
middlefk_02_R,0.7412,0.671,0.0183,-0.008
middlefk_03_R,0.7435,0.6671,0.0285,0.037
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.018,-0.012
ringfk_01_R,0.8243,0.5625,0.0638,0.0091
ringfk_02_R,0.7104,0.7036,0.0,0.0135
ringfk_03_R,0.7776,0.6235,0.0343,-0.0731
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9903,0.0419,0.1326,-0.0019
collar_L,0.9979,0.0595,-0.0251,-0.0068
neckfk,1.0,0.0002,-0.0005,0.006
headfk,0.9999,0.0008,0.0013,0.0111
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0007,0.0,-0.0015
chest_3,0.9998,-0.0189,-0.0031,-0.0095
chest_2,1.0,0.0005,-0.0002,-0.002
chest_1,1.0,0.0021,-0.0004,-0.0046
hip,1.0,-0.0015,0.0027,0.0001
