motion_name,SG ASL Deserve 2026-5-29
pose_name,SG ASL Deserve 2026-5-29 P3
export_date,2026-5-29
current_frame,52
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.7609,0.6037,0.1571,0.1783
forearmfk_L,0.7698,-0.0392,-0.0492,0.6352
handfk_L,0.615,0.1242,-0.7644,-0.1486
bicepfk_R,0.7459,0.6192,-0.2197,-0.109
forearmfk_R,0.5478,-0.0475,0.036,-0.8345
handfk_R,0.831,0.0897,0.5194,0.1779
thighfk_L,0.9996,-0.012,-0.0275,0.0007
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.0291,-0.0263,0.9991,0.0181
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0113,0.021,0.0004
shinfk_R,0.9996,0.0269,-0.008,-0.0042
footfk_R,0.0287,-0.0269,-0.999,-0.0189
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9998,-0.0117,0.0024,0.0137
thumbfk_02_L,0.999,0.0336,-0.0295,-0.0055
thumbfk_03_L,0.9997,-0.0159,0.0144,-0.0098
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0021
pinkyfk_01_L,0.9975,0.0582,-0.0375,0.0156
pinkyfk_02_L,0.9996,0.029,0.0,-0.0003
pinkyfk_03_L,0.9995,-0.0311,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0023,-0.0023
indexfk_01_L,0.9996,0.0226,0.0012,-0.0151
indexfk_02_L,0.997,0.0776,0.0,0.0
indexfk_03_L,0.9996,0.0272,-0.0,-0.0003
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
middlefk_01_L,0.9991,0.0273,-0.0205,-0.0242
middlefk_02_L,0.9965,0.0839,-0.0,-0.0
middlefk_03_L,0.9996,0.0289,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.001,0.0006
ringfk_01_L,0.9979,0.0336,-0.0267,-0.0493
ringfk_02_L,0.9969,0.0751,0.0244,-0.0068
ringfk_03_L,0.999,0.0436,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8394,0.3488,-0.3609,-0.2088
thumbfk_02_R,0.9489,0.3149,0.0027,0.0185
thumbfk_03_R,0.9492,0.3138,0.0186,-0.0137
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0282
pinkyfk_01_R,0.6933,0.7179,0.0618,-0.012
pinkyfk_02_R,0.6766,0.7364,0.0001,0.0011
pinkyfk_03_R,0.7811,0.6208,-0.0512,-0.0437
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9929,-0.0,-0.0841,0.0841
indexfk_01_R,0.667,0.7447,0.0238,-0.0062
indexfk_02_R,0.7346,0.6761,0.056,0.0118
indexfk_03_R,0.7512,0.6587,-0.0207,-0.0375
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.008,0.008
middlefk_01_R,0.6983,0.7157,0.0124,-0.01
middlefk_02_R,0.6634,0.7473,0.0369,-0.0081
middlefk_03_R,0.7716,0.634,0.0115,-0.0498
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0231,-0.0154
ringfk_01_R,0.7181,0.6951,0.0238,-0.0248
ringfk_02_R,0.7063,0.7079,0.0006,0.0121
ringfk_03_R,0.704,0.7053,0.04,-0.0732
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9963,0.0282,0.0621,-0.0519
collar_L,0.9969,0.0419,-0.0071,0.0661
neckfk,1.0,-0.0044,-0.0024,0.002
headfk,0.9999,-0.0087,-0.0035,0.0047
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0005,0.001,0.0001
chest_3,0.9998,-0.0186,-0.0019,-0.0073
chest_2,1.0,0.0006,0.0013,0.0
chest_1,1.0,0.0015,0.0031,-0.0
hip,1.0,-0.0004,-0.0032,-0.0006
