motion_name,SG ASL Design 2026-5-30
pose_name,SG ASL Design 2026-5-30 P3
export_date,2026-5-30
current_frame,63
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.8283,0.4529,-0.0456,0.3267
forearmfk_L,0.7909,-0.0373,-0.0507,0.6087
handfk_L,0.896,0.3399,-0.2753,-0.0764
bicepfk_R,0.7683,0.5711,-0.1301,-0.2581
forearmfk_R,0.64,-0.0485,0.0424,-0.7657
handfk_R,0.8633,-0.074,-0.4918,-0.0857
thighfk_L,0.9996,-0.0106,-0.0244,0.0002
shinfk_L,0.9996,0.0271,0.0087,0.0042
footfk_L,0.0288,-0.0266,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0106,0.0241,-0.0003
shinfk_R,0.9996,0.027,-0.009,-0.0042
footfk_R,0.0291,-0.0257,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0067,0.0021,0.003
thumbfk_02_L,0.9791,0.1468,-0.1409,-0.006
thumbfk_03_L,0.997,0.0522,-0.0474,0.0322
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0016
pinkyfk_01_L,0.9928,0.0471,-0.1077,-0.0224
pinkyfk_02_L,0.9971,0.0765,0.0,-0.0008
pinkyfk_03_L,1.0,-0.0062,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,0.0,0.0094,-0.0094
indexfk_01_L,0.9921,0.0962,-0.0588,-0.055
indexfk_02_L,0.9872,0.1593,-0.0,-0.0
indexfk_03_L,0.9989,0.0474,-0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0006,-0.0006
middlefk_01_L,0.9856,0.054,0.1604,-0.0073
middlefk_02_L,0.9752,0.2213,0.0,-0.0
middlefk_03_L,0.9986,0.0534,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0036,0.0024
ringfk_01_L,0.9775,0.1253,-0.1582,-0.0615
ringfk_02_L,0.9987,0.0516,0.0,0.0
ringfk_03_L,0.9983,0.0574,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6167,0.3697,-0.5663,-0.4028
thumbfk_02_R,0.9878,0.1503,-0.0335,-0.0228
thumbfk_03_R,0.9626,0.2549,0.0845,0.0369
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0245
pinkyfk_01_R,0.7623,0.6422,0.0555,-0.0588
pinkyfk_02_R,0.7822,0.6226,0.0008,0.0211
pinkyfk_03_R,0.7505,0.6568,0.0051,-0.0723
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.999,-0.0271,0.0013,-0.0355
indexfk_02_R,0.9996,0.0258,-0.0119,0.0021
indexfk_03_R,1.0,0.0049,0.0,-0.0001
indexfk_04_R,0.9978,0.066,0.0,-0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0055,0.0055
middlefk_01_R,0.8505,0.5211,0.0253,-0.0671
middlefk_02_R,0.9414,0.3374,0.0,0.0002
middlefk_03_R,0.945,0.327,-0.0006,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0226,-0.0151
ringfk_01_R,0.7276,0.6812,0.0649,-0.0482
ringfk_02_R,0.7848,0.6196,0.001,0.0148
ringfk_03_R,0.7964,0.6018,0.0017,-0.0603
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9954,0.0803,0.052,-0.0049
collar_L,0.9899,0.1149,-0.0233,0.0802
neckfk,1.0,-0.0023,-0.0037,0.0011
headfk,1.0,-0.0043,-0.0064,0.0037
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0002,0.0013,-0.0007
chest_3,0.9998,-0.0198,-0.0014,-0.0082
chest_2,1.0,-0.0005,0.0017,-0.0011
chest_1,1.0,-0.0006,0.0038,-0.0027
hip,1.0,0.0007,-0.0001,0.0001
