motion_name,SG ASL Desire Other 2026-6-1
pose_name,SG ASL Desire Other 2026-6-1 P1
export_date,2026-6-1
current_frame,40
frame_budget,40

bone_name,w,x,y,z
bicepfk_L,0.7313,0.573,0.3407,0.1441
forearmfk_L,0.8571,-0.0308,-0.0543,0.5114
handfk_L,0.9051,0.2584,0.3215,-0.1034
bicepfk_R,0.7077,0.5121,-0.2024,-0.4426
forearmfk_R,0.266,-0.0504,0.0211,-0.9624
handfk_R,0.9047,-0.1398,-0.3649,0.1698
thighfk_L,0.9999,-0.0106,-0.0126,0.0005
shinfk_L,0.9996,0.0271,0.009,0.0043
footfk_L,0.0289,-0.0263,0.999,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9993,-0.013,0.0359,0.0001
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.029,-0.0264,-0.9991,-0.0179
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,-0.0003,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0003,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,-0.0005,-0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8378,0.2544,-0.4802,-0.053
thumbfk_02_R,0.9815,0.1295,0.1184,0.0761
thumbfk_03_R,0.8871,0.4076,0.1174,0.1817
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0011
pinkyfk_01_R,0.9984,-0.032,0.0042,0.0465
pinkyfk_02_R,0.9997,0.0182,-0.0102,0.0096
pinkyfk_03_R,0.9993,0.0169,-0.0025,-0.0319
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9506,-0.0605,-0.2958,0.0726
indexfk_02_R,0.9998,0.0174,-0.0113,0.002
indexfk_03_R,1.0,0.0003,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9936,-0.0881,0.0561,0.0442
middlefk_02_R,0.9996,0.0203,0.0177,-0.0055
middlefk_03_R,1.0,-0.0017,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9967,-0.0687,-0.0367,0.0248
ringfk_02_R,0.9995,0.0289,-0.0051,0.0132
ringfk_03_R,1.0,-0.0013,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.991,0.0576,0.1128,-0.0429
collar_L,0.9979,0.0613,-0.0023,0.023
neckfk,0.9998,0.007,-0.0173,0.0122
headfk,0.9992,0.013,-0.0265,0.0283
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0003,-0.0009,-0.0016
chest_3,0.9998,-0.0197,-0.0043,-0.0095
chest_2,1.0,-0.0003,-0.0014,-0.0019
chest_1,1.0,-0.0009,-0.0031,-0.0044
hip,0.9999,-0.0005,0.0116,-0.0002
